Ao, ﻿Ao
tomar, tomar
um, um
gol, gol
aos, a o
45min, 45min
do, de o
segundo, segundo
tempo, tempo
,, ,
o, o
Palmeiras, Palmeiras
empatou, empatar
ontem, ontem
com, com
a, o
Ferroviária, Ferroviária
por, por
1, 1
a, a
1, 1
,, ,
em, em
Araraquara, Araraquara
., .

, 

A, o
equipe, equipe
soma, somar
agora, agora
40, 40
pontos, ponto
e, e
divide, dividir
a, o
quarta, quarto
colocação, colocação
do, de o
campeonato, campeonato
com, com
o, o
Guarani, Guarani
., .

, 

Márcio, Márcio
Araújo, Araújo
,, ,
que, que
dirigiu, dirigir
o, o
Palmeiras, Palmeiras
pela, por o
última, último
vez, vez
(, (
o, o
novo, novo
técnico, técnico
já, já
é, ser
Carlos, Carlos
Alberto, Alberto
Silva, Silva
), )
,, ,
montou, montar
um, um
esquema, esquema
defensivo, defensivo
., .

, 

Com, com
o, o
colombiano, colombiano
Losano, Losano
no, em o
lugar, lugar
de, de
Magrão, Magrão
,, ,
a, o
equipe, equipe
jogou, jogar
praticamente, praticamente
com, com
cinco, cinco
homens, homem
no, em o
meio-campo, meio-campo
e, e
apenas, apenas
um, um
atacante, atacante
,, ,
Maurílio, Maurílio
., .

, 

Mas, mas
foi, ser
o, o
suficiente, suficiente
para, para
dominar, dominar
a, o
Ferroviária, Ferroviária
,, ,
que, que
em, em
nenhum, nenhum
momento, momento
ameaçou, ameaçar
Velloso, Velloso
., .

, 

O, o
gol, gol
palmeirense, palmeirense
saiu, sair
aos, a o
25min, 25min
do, de o
primeiro, primeiro
tempo, tempo
., .
Índio, Índio
cobrou, cobrar
falta, falta
pela, por o
direita, direita
., .
Cléber, Cléber
,, ,
na, em o
pequena, pequeno
área, área
,, ,
chutou, chutar
e, e
marcou, marcar
., .

, 

O, o
Palmeiras, Palmeiras
então, então
desperdiçou, desperdiçar
várias, vários
chances, chance
de, de
gol, gol
,, ,
especialmente, especialmente
em, em
cruzamentos, cruzamento
na, em o
área, área
e, e
em, em
contra-ataques, contra-ataques
., .
A, o
equipe, equipe
teve, ter
ainda, ainda
quatro, quatro
bolas, bola
na, em o
trave, trave
., .

, 

Aos, a o
45min, 45min
do, de o
segundo, segundo
tempo, tempo
,, ,
a, o
Ferroviária, Ferroviária
empatou, empatar
com, com
Marquinhos, Marquinhos
,, ,
que, que
cobrou, cobrar
falta, falta
no, em o
canto, canto
direito, direito
baixo, baixo
de, de
Velloso, Velloso
., .

, 

