A, ﻿A
seleção, seleção
olímpica, olímpico
brasileira, brasileira
tem, ter
sido, ser
prejudicada, prejudicar
devido, devido
à, a o
vontade, vontade
da, de o
CBF, CBF
de, de
faturar, faturar
alto, alto
com, com
os, o
jogos, jogo
da, de o
seleção, seleção
principal, principal
., .

, 

O, o
técnico, técnico
Mario, Mario
Jorge, Jorge
Zagallo, Zagallo
ainda, ainda
não, não
realizou, realizar
nenhuma, nenhum
partida, partida
com, com
a, o
seleção, seleção
olímpica, olímpico
em, em
95, 95
., .

, 

Para, para
pagar, pagar
o, o
cachê, cachê
integral, integral
_, _
cerca, cerca
de, de
US$, US$
500, 500
mil, mil
_, _
,, ,
os, o
promotores, promotor
dos, de o
jogos, jogo
exigem, exigir
a, o
presença, presença
da, de o
seleção, seleção
com, com
jogadores, jogador
que, que
conquistaram, conquistar
a, o
Copa, copa
de, de
94, 94
., .

, 

`, `
`, `
O, o
pessoal, pessoal
quer, querer
ver, ver
os, o
tetracampeões, tetracampeão
;, ;
não, não
podemos, poder
levar, levar
o, o
time, time
olímpico, olímpico
'', ''
,, ,
afirma, afirmar
Zagallo, Zagallo
., .

, 

Ao, a o
tornar-se, tornar-se
treinador, treinador
das, de o
seleções, seleção
adulta, adulto
e, e
olímpica, olímpico
,, ,
no, em o
ano, ano
passado, passado
,, ,
Zagallo, Zagallo
afirmou, afirmar
que, que
seu, seu
maior, grande
objetivo, objetivo
nos, em o
dois, dois
primeiros, primeiro
anos, ano
seria, ser
a, o
conquista, conquista
do, de o
torneio, torneio
de, de
futebol, futebol
da, de o
Olimpíada-96, Olimpíada-96
., .

, 

As, o
datas, data
disponíveis, disponível
no, em o
calendário, calendário
brasileiro, brasileiro
são, ser
utilizadas, utilizar
pela, por o
CBF, CBF
para, para
promover, promover
amistosos, amistoso
., .
Se, se
o, o
time, time
olímpico, olímpico
ocupasse, ocupar
qualquer, qualquer
dessas, de esse
datas, data
,, ,
a, a
cada, cada
partida, partida
a, o
CBF, CBF
perderia, perder
mais, mais
de, de
US$, US$
1, 1
milhão, milhão
., .

, 

Há, haver
jogadores, jogador
que, que
integram, integrar
as, o
duas, dois
seleções, seleção
,, ,
como, como
Zé, Zé
Elias, Elias
e, e
Sávio, Sávio
., .
Mas, mas
,, ,
convocando, convocar
os, o
adultos, adulto
por, por
obrigação, obrigação
,, ,
Zagallo, Zagallo
não, não
consegue, conseguir
treinar, treinar
os, o
olímpicos, olímpico
., .

, 

Só, só
atletas, atleta
nascidos, nascir
a, a
partir, partir
de, de
1º, 1º
de, de
janeiro, janeiro
de, de
73, 73
podem, poder
disputar, disputar
,, ,
em, em
março, março
de, de
96, 96
,, ,
o, o
torneio, torneio
classificatório, classificatório
para, para
os, o
Jogos, Jogos
Olímpicos, Olímpicos
., .
Quem, quem
se, se
classificar, classificar
tem, ter
direito, direito
a, a
inscrever, inscrever
na, em o
Olimpíada, olimpíada
três, três
jogadores, jogador
com, com
idade, idade
livre, livre
., .
(, (
MM, MM
), )

, 

