Meus, ﻿Meu
amigos, amigo
,, ,
meus, meu
inimigos, inimigo
,, ,
o, o
grande, grande
teste, teste
na, em o
nova, novo
etapa, etapa
do, de o
rodízio, rodízio
de, de
convocações, convocação
deste, de este
enigma, enigma
chamado, chamar
Zagallo, Zagallo
é, ser
o, o
da, de o
centopéia, centopéia
palmeirense, palmeirense
Rivaldo, Rivaldo
., .

, 

Acho, achar
que, que
o, o
caso, caso
do, de o
Roberto, Roberto
`, `r
`, `
Eu, Eu
Sou, Sou
Terrível, Terrível
'', ''
Carlos, Carlos
é, ser
pacífico, pacífico
:, :
a, o
lateral, lateral
esquerda, esquerdo
é, ser
dele, de ele
e, e
do, de o
Leonardo, Leonardo
-sendo, -sendo
que, que
o, o
último, último
pode, poder
muito, muito
bem, bem
ser, ser
aproveitado, aproveitar
na, em o
vaga, vaga
de, de
meio-campista, meio-campista
., .

, 

Mas, mas
o, o
Rivaldo, Rivaldo
tem, ter
bastante, bastante
competidores, competidor
para, para
a, o
sua, seu
posição, posição
., .
Na, em o
seleção, seleção
,, ,
ele, ele
está, estar
1, 1
a, a
1, 1
(, (
e, e
este, este
jogo, jogo
,, ,
como, como
lembra, lembrar
a, o
lambida, lambida
MPB, MPB
,, ,
não, não
pode, poder
ficar, ficar
1, 1
a, a
1, 1
), )
., .

, 

Jogou, Jogou
muito, muito
bem, bem
na, em o
sua, seu
estréia, estréia
,, ,
nem, nem
parecia, parecer
que, que
fazia, fazer
sua, seu
vernissage, vernissage
com, com
a, o
camisa, camisa
canarinho, canarinho
., .
No, em o
segundo, segundo
teste, teste
,, ,
segundo, segundo
a, o
comissão, comissão
técnica, técnico
,, ,
amarelou, amarelar
., .

, 

Tem, ter
outra, outro
chance, chance
., .
Rivaldo, Rivaldo
é, ser
hoje, hoje
o, o
jogador, jogador
mais, mais
importante, importante
do, de o
Palmeiras, Palmeiras
., .
E, e
tem, ter
se, se
saído, sair
muito, muito
bem, bem
nas, em o
partidas, partida
internacionais, internacional
,, ,
acumulando, acumular
uma, um
experiência, experiência
importante, importante
para, para
voltar, voltar
à, a o
seleção, seleção
., .

, 

Repeteco, Repeteco
:, :
Rivaldo, Rivaldo
é, ser
um, um
dos, de o
jogadores, jogador
mais, mais
modernos, moderno
do, de o
Brasil, Brasil
., .
Tem, ter
fôlego, fôlego
,, ,
velocidade, velocidade
,, ,
marca, marca
,, ,
posiciona, posicionar
,, ,
dribla, dribla
,, ,
chuta, chuta
(, (
com, com
a, o
esquerda, esquerda
), )
,, ,
cabeceia, cabecear
,, ,
apresenta-se, apresentar se
para, para
o, o
jogo, jogo
,, ,
aparenta, aparentar
frieza, frieza
., .

, 

Rivaldo, Rivaldo
volta, voltar
como, como
uma, um
promessa, promessa
lá, lá
no, em o
campo, campo
prometido, prometer
., .
Só, só
depende, depender
dele, de ele
., .

, 

No, em o
domingo, domingo
,, ,
a, a
Juventus, Juventus
,, ,
de, de
Turim, Turim
,, ,
também, também
conhecida, conhecer
como, como
a, o
Velha, Velho
Senhora, Senhora
,, ,
líder, líder
disparada, disparar
do, de o
Campeonato, Campeonato
Italiano, Italiano
,, ,
tomou, tomar
uma, um
tripleta, tripleta
da, de o
Lazio, Lazio
., .
Os, o
três, três
gols, gol
saíram, sair
no, em o
segundo, segundo
tempo, tempo
., .

, 

A, o
Juve, Juve
tem, ter
dois, dois
jogos, jogo
contra, contra
o, o
Parma, Parma
,, ,
o, o
segundo, segundo
do, de o
Campeonato, Campeonato
Italiano, Italiano
,, ,
pela, por o
frente, frente
., .
Na, em o
quarta, quarta
17, 17
,, ,
em, em
Milão, Milão
,, ,
faz, fazer
o, o
jogo, jogo
de, de
volta, volta
da, de o
Copa, copa
da, de o
Uefa, Uefa
., .
No, em o
primeiro, primeiro
jogo, jogo
,, ,
deu, dar
Parma, Parma
por, por
1, 1
a, a
0, 0
., .

, 

(, (
É, ser
o, o
clássico, clássico
dos, de o
Baggios, Baggios
:, :
o, o
Roberto, Roberto
,, ,
atacante, atacante
,, ,
pelo, por o
time, time
da, de o
terra, terra
da, de o
Fiat, Fiat
,, ,
que, que
,, ,
depois, depois
daquele, de aquele
pênalti, pênalti
perdido, perder
na, em o
Copa, copa
e, e
de, de
uma, um
contusão, contusão
,, ,
voltou, voltar
a, a
jogar, jogar
bola, bola
,, ,
mas, mas
parece, parecer
que, que
vai, ir
deixar, deixar
o, o
time, time
., .

, 

O, o
Dino, Dino
,, ,
meio-campista, meio-campista
,, ,
pelo, por o
time, time
da, de o
terra, terra
da, de o
Parmalat, Parmalat
,, ,
que, que
fez, fazer
o, o
gol, gol
da, de o
vitória, vitória
no, em o
jogo, jogo
de, de
ida, ida
), )
., .

, 

No, em o
domingo, domingo
21, 21
os, o
dois, dois
times, time
voltam, voltar
a, a
se, se
enfrentar, enfrentar
,, ,
desta, de $2e
vez, vez
pelo, por o
Campeonato, Campeonato
Italiano, Italiano
,, ,
em, em
Turim, Turim
., .
A, o
rodada, rodada
deste, de este
domingo, domingo
(, (
14, 14
), )
pode, poder
definir, definir
o, o
título, título
da, de o
temporada, temporada
94/95, 94/95
., .

, 

Se, se
não, não
definir, definir
,, ,
a, o
coisa, coisa
fica, ficar
mesmo, mesmo
para, para
a, o
casa, casa
da, de o
Velha, Velho
Senhora, Senhora
,, ,
no, em o
dia, dia
21, 21
., .
Ali, ali
,, ,
quem, quem
levará, levar
a, o
vantagem, vantagem
é, ser
a, o
Juve, Juve
,, ,
muitos, muito
pontos, ponto
à, a o
frente, frente
do, de o
Parma, Parma
., .

, 

No, em o
dia, dia
24, 24
,, ,
em, em
Viena, Viena
,, ,
outro, outro
time, time
italiano, italiano
estará, estar
entrando, entrar
em, em
campo, campo
para, para
uma, um
decisão, decisão
., .
O, o
Milan, Milan
pega, pegar
o, o
Ajax, ajax
na, em o
final, final
da, de o
Copa, copa
dos, de o
Campeões, Campeões
da, de o
Europa, Europa
,, ,
o, o
mais, mais
importante, importante
título, título
europeu, europeu
de, de
clubes, clube
., .

, 

No, em o
final, final
da, de o
história, história
,, ,
as, o
torcidas, torcida
dos, de o
atualmente, atualmente
três, três
times, time
mais, mais
importantes, importante
da, de o
Itália, Itália
poderão, poder
ficar, ficar
contentes, contente
:, :

, 

A, o
da, de o
Juve, Juve
,, ,
com, com
o, o
Italiano, Italiano
;, ;
a, o
do, de o
Parma, Parma
,, ,
com, com
o, o
título, título
da, de o
Uefa, Uefa
;, ;
a, o
do, de o
Milan, Milan
,, ,
com, com
a, o
Copa, Copa
dos, de o
Campeões, Campeões
da, de o
Europa, Europa
., .

, 

A, o
crise, crise
financeira, financeiro
atinge, atingir
o, o
Campeonato, Campeonato
Italiano, Italiano
,, ,
o, o
mais, mais
caro, caro
do, de o
mundo, mundo
., .
Alguns, algum
times, time
,, ,
como, como
o, o
Napoli, Napoli
e, e
o, o
Torino, Torino
,, ,
decretaram, decretar
uma, um
falência, falência
`, `
`, `
branca, branco
'', ''
., .

, 

Será, ser
a, o
síndrome, síndrome
Palmeiras, Palmeiras
que, que
também, também
gorjeia, gorjear
pelas, por o
terras, terra
de, de
lá, lá
?, ?

, 

Matinas, Matinas
Suzuki, Suzuki
Jr., Jr.
escreve, escrever
às, a o
terças, terça
,, ,
quintas, quintas
e, e
sábados, sábado

, 

