Uma, ﻿Uma
câmara, câmara
acionada, acionar
por, por
controle, controle
remoto, remoto
e, e
um, um
zepelim, zepelim
são, ser
as, o
duas, dois
novas, novo
armas, arma
que, que
a, o
polícia, polícia
pretende, pretender
usar, usar
contra, contra
a, o
violência, violência
nos, em o
estádios, estádio
de, de
futebol, futebol
., .

, 

O, o
zepelim, zepelimr
de, de
oito, oito
metros, metro
de, de
comprimento, comprimento
carregará, carregar
a, o
câmara, câmara
., .
O, o
objetivo, objetivo
será, ser
filmar, filmar
e, e
localizar, localizar
os, o
torcedores, torcedor
violentos, violento
., .

, 

O, o
zepelim, zepelim
é, ser
uma, um
espécie, espécie
de, de
balão, balão
em, em
forma, forma
de, de
charuto, charuto
que, que
é, ser
dirigível, dirigível
., .
A, o
PM, PM
está, estar
pagando, pagar
US$, US$
90, 90
mil, mil
por, por
um, um
que, que
usará, usar
gás, gás
hélio, hélio
e, e
terá, ter
controle, controle
remoto, remoto
., .

, 

Ele, ele
levará, levar
combustível, combustível
para, para
voar, voar
por, por
45, 45
minutos, minuto
e, e
poderá, poder
alcançar, alcançar
uma, um
altura, altura
de, de
40, 40
metros, metro
., .
A, o
previsão, previsão
é, ser
que, que
a, o
novidade, novidade
esteja, estar
em, em
São, São
Paulo, Paulo
dentro, dentro
de, de
45, 45
dias, dia
., .

, 

Segundo, segundo
o, o
coronel, coronel
Roberto, Roberto
Lemes, Lemes
,, ,
50, 50
,, ,
diretor, diretor
de, de
Comunicação, Comunicação
Social, Social
da, de o
PM, PM
,, ,
a, o
câmara, câmara
do, de o
zepelim, zepelim
será, ser
ligada, ligar
a, a
um, um
monitor, monitor
de, de
vídeo, vídeo
no, em o
estádio, estádio
., .

, 

Após, após
a, o
identificação, identificação
e, e
localização, localização
dos, de o
torcedores, torcedor
violentos, violento
,, ,
um, um
grupo, grupo
de, de
policiais, policial
será, ser
deslocado, deslocar
para, para
a, o
arquibancada, arquibancada
a, a
fim, fim
de, de
prender, prender
o, o
grupo, grupo
., .
Caso, caso
os, o
torcedores, torcedor
consigam, consigar
fugir, fugir
,, ,
as, o
fitas, fita
de, de
vídeo, vídeo
servirão, servir
como, como
prova, prova
criminal, criminal
., .

, 

O, o
projeto, projeto
da, de o
PM, PM
também, também
envolve, envolver
a, o
compra, compra
de, de
34, 34
bonecos, boneco
de, de
plástico, plástico
de, de
seis, seis
metros, metro
de, de
altura, altura
., .
Os, o
bonecos, boneco
vestirão, vestir
fardas, farr
da, de o
PM, PM
e, e
terão, ter
letreiros, letreiro
com, com
mensagens, mensagem
educativas, educativo
nas, em o
portas, porta
dos, de o
estádios, estádio
., .

, 

", "
Estamos, estar
tentando, tentar
que, que
uma, um
confecção, confecção
faça, fazer
camisas, camisa
dos, de o
clubes, clube
para, para
vestir, vestir
os, o
bonecos, boneco
'', ''
,, ,
disse, dizer
o, o
coronel, coronel
., .
Cada, cada
boneco, boneco
custará, custar
R$, R$
3.000, 3.000
por, por
mês, mês
para, para
a, o
PM, PM
., .
Assim, assim
como, como
o, ele
zepelim, zepelimr
,, ,
eles, eles
foram, ser
encomendados, encomendados
nos, em o
Estados, Estados
Unidos, Unidos
., .

, 

De, de
acordo, acordo
com, com
Lemes, Lemes
,, ,
o, o
projeto, projeto
está, estar
sendo, ser
bancado, bancar
com, com
custo, custo
zero, zero
para, para
o, o
Estado, estado
., .
O, o
zepelim, zepelim
e, e
os, o
bonecos, boneco
serão, ser
pagos, pagar
através, através
da, de o
venda, venda
de, de
anúncios, anúncio
publicitários, publicitário
., .

, 

Quatro, quatro
empresas, empresa
já, já
teriam, ter
fechado, fechar
contratos, contrato
com, com
a, o
PM, PM
:, :
A, o
M2, M2
Marketing, Marketing
,, ,
a, a
Bradesco, Bradesco
Seguros, Seguros
,, ,
a, o
Coca-Cola, Coca-Cola
e, e
a, o
Sul-América, Sul-América
Seguros, Seguros
., .

, 

Elas, elas
terão, ter
suas, seu
marcas, marca
ao, a o
lado, lado
dos, de o
logotipos, logotipo
da, de o
PM, PM
nos, em o
bonecos, boneco
e, e
no, em o
zepelim, zepelimr
,, ,
que, que
também, também
carregará, carregar
um, um
telão, telão
que, que
passará, passar
mensagens, mensagem
ao, a o
público, público
., .
Essa, esse
é, ser
a, o
primeira, primeiro
vez, vez
que, que
equipamentos, equipamento
da, de o
PM, PM
terão, ter
patrocinadores, patrocinador
., .

, 

Os, o
bonecos, boneco
e, e
o, ele
zepelim, zepelimr
também, também
deverão, dever
ser, ser
usados, usar
para, para
outros, outro
tipos, tipo
de, de
policiamento, policiamento
., .
Segundo, segundo
Lemes, Lemes
,, ,
o, o
projeto, projeto
prevê, prever
que, que
o, ele
zepelim, zepelimr
sobrevoe, sobrevoe
e, e
filme, filme
rebeliões, rebelião
em, em
presídios, presídio
e, e
oriente, oriente
o, o
trânsito, trânsito
nas, em o
cidades, cidade
e, e
nas, em o
estradas, estrada
., .

, 

Os, o
bonecos, boneco
também, também
poderão, poder
ser, ser
usados, usar
nas, em o
praias, praia
`, `
`, `
com, com
roupas, roupa
de, de
salva-vidas, salva-vida
'', ''
,, ,
nas, em o
estradas, estrada
e, e
no, em o
trânsito, trânsito
., .
", "
Eles, eles
(, (
os, o
bonecos, boneco
), )
podem, poder
ser, ser
vistos, ver
a, a
uma, um
distância, distância
de, de
quase, quase
dois, dois
quilômetros, quilômetro
'', ''
,, ,
disse, dizer
., .

, 

