Quatro, ﻿Quatro
jogadores, jogador
da, de o
NBA, NBA
foram, ser
multados, multar
pela, por o
entidade, entidade
por, por
comportamento, comportamento
nada, nada
exemplar, exemplar
durante, durante
a, o
partida, partida
entre, entre
San, San
Antonio, Antonio
e, e
Denver, Denver
Nuggets, Nuggets
,, ,
sábado, sábado
passado, passado
., .

, 

Dennis, Dennis
Rodman, Rodman
,, ,
Jack, Jack
Haley, Haley
e, e
Avery, Avery
Johnson, Johnson
,, ,
do, de o
San, San
Antonio, Antonio
,, ,
e, e
Gary, Gary
Grant, Grant
,, ,
do, de o
Denver, Denver
,, ,
se, se
envolveram, envolver
em, em
brigas, briga
durante, durante
a, o
partida, partida
., .

, 

Os, o
quatro, quatro
receberam, receber
punições, punição
,, ,
anunciadas, anunciar
ontem, ontem
pelo, por o
vice-presidente, vice-presidente
da, de o
NBA, NBA
,, ,
Rod, Rod
Thorn, Thorn
., .

, 

Dennis, Dennis
Rodman, Rodman
,, ,
que, que
já, já
havia, haver
se, se
envolvido, envolver
em, em
outras, outro
brigas, briga
nesta, em este
temporada, temporada
,, ,
foi, ser
multado, multar
em, em
US$, US$
7.500, 7.500
por, por
derrubar, derrubar
o, o
pivô, pivô
Dikembe, Dikembe
Mutombo, Mutombo
no, em o
primeiro, primeiro
quarto, quarto
da, de o
partida, partida
., .

, 

Haley, Haley
também, também
terá, ter
que, que
pagar, pagar
a, o
mesma, mesmo
quantia, quantia
., .
Ele, ele
deu, dar
um, um
soco, soco
em, em
Gary, Gary
Grant, Grant
após, após
o, o
fim, fim
do, de o
jogo, jogo
., .

, 

O, o
San, San
Antonio, Antonio
Spurs, Spurs
venceu, vencer
por, por
122, 122
a, a
96, 96
., .

, 

Grant, Grant
,, ,
por, por
sua, sua
vez, vez
,, ,
foi, ser
multado, multar
por, por
iniciar, iniciar
uma, um
briga, briga
com, com
Avery, Avery
Johnson, Johnson
,, ,
do, de o
San, San
Antonio, Antonio
,, ,
a, a
seis, seis
minutos, minuto
do, de o
fim, fim
do, de o
jogo, jogo
., .

, 

Por, por
isso, isso
,, ,
terá, ter
que, que
pagar, pagar
uma, um
multa, multa
de, de
US$, US$
5.000, 5.000
., .

, 

Johnson, Johnson
não, não
partiu, partir
para, para
a, o
briga, briga
,, ,
mas, mas
atirou, atirar
a, o
bola, bola
em, em
Grant, Grant
., .
Pelo, por o
ato, ato
,, ,
pagará, pagar
US$, US$
2.500, 2.500
., .

, 

Haley, Haley
e, e
Johnson, Johnson
ainda, ainda
foram, ser
expulsos, expulso
da, de o
partida, partida
e, e
,, ,
por, por
isso, isso
,, ,
receberam, receber
uma, um
multa, multa
adicional, adicional
de, de
US$, US$
1.000, 1.000
da, de o
NBA, NBA
., .

, 

O, o
segundo, segundo
jogo, jogo
do, de o
confronto, confronto
estava, estar
marcado, marcado
para, para
ontem, ontem
à, a o
noite, noite
,, ,
novamente, novamente
em, em
San, San
Antonio, Antonio
., .

, 

Contrato, Contrato

, 

O, o
Sacramento, Sacramento
Kings, Kings
,, ,
eliminado, eliminar
na, em o
fase, fase
de, de
classificação, classificação
,, ,
renovou, renovar
contrato, contrato
por, por
três, três
anos, ano
com, com
seu, seu
técnico, técnico
,, ,
Garry, Garry
St, St
., .
Jean, Jean
., .

, 

Em, em
seu, seu
terceiro, terceiro
ano, ano
com, com
o, o
Sacramento, Sacramento
,, ,
St, St
., .
Jean, Jean
venceu, vencer
39, 39
e, e
perdeu, perder
43, 43
partidas, partida
., .
A, o
campanha, campanha
,, ,
porém, porém
,, ,
é, ser
a, o
melhor, bom
desde, desde
que, que
o, o
time, time
se, se
mudou, mudar
de, de
Kansas, Kansas
City, City
., .

, 

Sob, sob
o, o
comando, comando
de, de
St, St
., .
Jean, Jean
,, ,
o, o
Sacramento, Sacramento
ganhou, ganhar
92, 92
jogos, jogo
e, e
perdeu, perder
154, 154
., .

, 

