Jogadores, ﻿Jogadores
e, e
comissão, comissão
técnica, técnico
do, de o
Corinthians, Corinthians
criticaram, criticar
o, o
juiz, juiz
da, de o
partida, partida
de, de
ontem, ontem
,, ,
Dalmo, Dalmo
Bozzano, Bozzano
., .

, 

Segundo, segundo
os, o
corintianos, corintiano
,, ,
a, o
maior, grande
prova, prova
de, de
que, que
ele, ele
estava, estar
`, `
`, `
perdido, perder
'', ''
_, _
expressão, expressão
do, de o
vice-presidente, vice-presidente
de, de
futebol, futebol
José, José
Mansur, Mansur
Farah, Farah
_, _
foi, ser
o, o
fato, fato
de, de
ele, ele
ter, ter
mostrado, mostrar
dois, dois
cartões, cartão
amarelos, amarelos
ao, a o
zagueiro, zagueiro
André, André
Santos, Santos
., .

, 

`, `
`, `
É, ser
,, ,
acho, achar
que, que
tomei, tomeir
mesmo, mesmo
'', ''
,, ,
disse, dizer
Santos, Santos
,, ,
ao, a o
sair, sair
de, de
campo, campo
., .
Um, um
foi, ser
no, em o
primeiro, primeiro
tempo, tempo
e, e
outro, outro
no, em o
segundo, segundo
., .

, 

O, o
segundo, segundo
cartão, cartão
quase, quase
provocou, provocar
uma, um
confusão, confusão
no, em o
jogo, jogo
., .
Quando, quando
tentava, tentar
ir, ir
ao, a o
ataque, ataque
,, ,
o, o
atacante, atacante
Marques, Marques
sofreu, sofrer
entrada, entrada
violenta, violento
., .
André, André
Santos, Santos
deu, dar
um, um
berro, berro
,, ,
cobrando, cobrar
uma, um
ação, ação
do, de o
juiz, juiz
., .

, 

Mas, mas
Marques, Marques
se, se
levantou, levantar
,, ,
o, o
lance, lance
seguiu, seguir
e, e
Marques, Marques
finalizou, finalizar
,, ,
rente, rente
à, a o
trave, trave
., .

, 

No, em o
momento, momento
em, em
que, que
ia, ir
chutar, chutar
,, ,
Bozzano, Bozzano
parou, parar
o, o
jogo, jogo
e, e
marcou, marcar
falta, falta
técnica, técnico
no, em o
meio-campo, meio-campo
contra, contra
o, o
Corinthians, Corinthians
., .

, 

Mesmo, mesmo
sem, sem
ter, ter
saído, sair
o, o
gol, gol
,, ,
os, o
jogadores, jogador
foram, ir
em, em
cima, cima
de, de
Dalmo, Dalmo
Bozzano, Bozzano

, 

O, o
técnico, técnico
Eduardo, Eduardo
Amorim, Amorim
também, também
atacou, atacar
o, o
juiz, juiz
., .
`, `
`, `
Ele, ele
ficou, ficar
perseguindo, perseguir
o, o
Viola, Viola
,, ,
sem, sem
motivo, motivo
., .
Foi, ser
uma, um
atitude, atitude
até, até
infantil, infantil
'', ''
,, ,
disse, dizer
., .
Mas, mas
ele, ele
não, não
interferiu, interferir
no, em o
resultado, resultado
'', ''
,, ,
ressaltou, ressaltar
ele, ele
., .

, 

Contra, Contra
o, o
Paraná, Paraná
,, ,
quarta-feira, quarta-feira
,, ,
em, em
Curitiba, Curitiba
,, ,
pela, por o
Copa, Copa
do, de o
Brasil, Brasil
,, ,
o, o
Corinthians, Corinthians
terá, ter
as, o
voltas, volta
de, de
Zé, Zé
Elias, Elias
,, ,
Henrique, Henrique
e, e
Marcelinho, Marcelinho
e, e
,, ,
talvez, talvez
,, ,
de, de
Souza, Souza
., .

, 

O, o
time, time
,, ,
porém, porém
,, ,
deve, dever
ter, ter
um, um
novo, novo
desfalque, desfalque
:, :
o, o
zagueiro, zagueiro
Célio, Célio
Silva, Silva
saiu, sair
com, com
fortes, forte
dores, dor
no, em o
joelho, joelho
direito, direito
., .

, 

Como, como
o, o
jogador, jogador
recebeu, receber
o, o
terceiro, terceiro
cartão, cartão
amarelo, amarelo
ontem, ontem
_, _
e, e
não, não
joga, jogar
domingo, domingo
contra, contra
o, o
São, São
Paulo, Paulo
_, _
,, ,
é, ser
possível, possível
que, que
seja, ser
poupado, poupar
do, de o
jogo, jogo
de, de
quarta-feira, quarta-feira
para, para
poder, poder
se, se
recuperar, recuperar
totalmente, totalmente
., .

, 

(, (
MD, MD
), )

, 

