Assim, ﻿Assim
como, como
o, o
dia, dia
em, em
que, que
o, o
homem, homem
chegou, chegar
à, a o
Lua, lua
ou, ou
em, em
que, que
o, o
papa, papa
João, João
Paulo, Paulo
2º, 2º
sofreu, sofrer
um, um
atentado, atentado
,, ,
o, o
dia, dia
da, de o
morte, morte
de, de
Ayrton, Ayrton
Senna, Senna
ficará, ficar
gravado, gravar
na, em o
memória, memória
de, de
muitas, muito
pessoas, pessoa
., .

, 

A, a
pedido, pedido
da, de o
Folha, folha
,, ,
fãs, fã
do, de o
automobilismo, automobilismo
no, em o
mundo, mundo
inteiro, inteiro
enviaram, enviar
por, por
correio, correio
eletrônico, eletrônico
,, ,
através, através
da, de o
rede, rede
de, de
computadores, computador
Compuserve, Compuserve
,, ,
mensagens, mensagem
contando, contar
como, como
viveram, viver
o, o
1º, 1º
de, de
maio, maio
de, de
94, 94
., .

, 

Do, de o
Canadá, Canadá
à, a o
Nova, Nova
Zelândia, Zelândia
,, ,
os, o
sentimentos, sentimento
foram, ser
muitas, muitas
vezes, vez
os, o
mesmos, mesmo
,, ,
como, como
o, o
mau, mau
pressentimento, pressentimento
devido, devido
à, a o
morte, morte
do, de o
austríaco, austríaco
Roland, Roland
Ratzenberger, Ratzenberger
,, ,
na, em o
véspera, véspera
,, ,
e, e
a, o
lembrança, lembrança
de, de
outros, outro
mitos, mito
da, de o
F-1, F-1
mortos, morto
nas, em o
pistas, pista
,, ,
como, como
Gilles, Gilles
Villeneuve, Villeneuve
(, (
82, 82
), )
e, e
Jim, Jim
Clark, Clark
(, (
68, 68
), )
., .

, 

Leia, Leia
,, ,
a, a
seguir, seguir
,, ,
trechos, trecho
dessas, de esse
mensagens, mensagem
., .

, 

ESTADOS, ESTADOS
UNIDOS, UNIDOS

, 

`, `
`, `
Acordei, Acordei
para, para
assistir, assistir
a, o
prova, prova
às, a o
4h45, 4h45
., .
Quando, quando
vi, ver
Senna, Senna
sair, sair
da, de o
pista, pista
,, ,
pensei, pensar
:, :
`, `
Merda, Merda
,, ,
três, três
abandonos, abandono
seguidos, seguir
', '
., .
Quando, quando
o, o
carro, carro
parou, parar
e, e
ele, ele
não, não
saiu, sair
,, ,
meu, meu
coração, coração
parou, parar
., .

, 

Ao, a o
saber, saber
que, que
ele, ele
sofrera, sofrer
ferimentos, ferimento
graves, grave
na, em o
cabeça, cabeça
,, ,
acordei, acordar
meu, meu
marido, marido
,, ,
que, que
é, ser
brasileiro, brasileiro
., .

, 

Quando, quando
soube, saber
da, de o
morte, morte
cerebral, cerebral
,, ,
não, não
pude, puder
acreditar, acreditar
., .
Liguei, Liguei
para, para
um, um
amigo, amigo
no, em o
Rio, Rio
para, para
conferir, conferir
., .
Ao, a o
desligar, desligar
,, ,
sentei-me, sentei-me
no, em o
chão, chão
e, e
chorei, chorar
como, como
nunca, nunca
na, em o
minha, meu
vida, vida
., .
Meu, meu
marido, marido
me, eu
abraçou, abraçar
., .
Choramos, Choramos
por, por
uns, um
20, 20
minutos, minuto
., .

, 

Fui, ser
ao, a o
GP, GP
Brasil, Brasil
deste, de este
ano, ano
., .
Fiquei, Fiquei
desapontada, desapontar
com, com
tão, tão
pouca, pouco
homenagem, homenagem
ao, a o
Ayrton, Ayrton
., .

, 

Na, em o
saída, saída
do, de o
cemitério, cemitério
,, ,
chorava, chorar
descontroladamente, descontroladamente
., .
Minha, minha
cunhada, cunhar
tentou, tentar
me, eu
consolar, consolar
em, em
português, português
., .
Só, só
entendi, entendi
uma, um
parte, parte
., .
Talvez, talvez
eu, eu
não, não
quisesse, quiser
entender, entender
., .
Ainda, ainda
não, não
quero, querer
acreditar, acreditar
que, que
é, ser
verdade, verdade
., .
'', ''
Colleen, Colleen
Magee, Magee
,, ,
27, 27
,, ,
cidade, cidade
de, de
Sparks, Sparks
., .

, 

`, `
`, `
Tinha, ter
gravado, gravar
a, o
corrida, corrida
,, ,
para, para
vê-la, vê-la
depois, depois
., .
Quando, quando
eu, eu
estava, estar
saindo, sair
para, para
o, o
trabalho, trabalho
,, ,
minha, meu
mulher, mulher
,, ,
que, que
assistira, assistirar
ao, a o
noticiário, noticiário
,, ,
gritou, gritar
:, :
`, `
Senna, Senna
morreu, morrer
!, !
', '

, 

Achei, achar
que, que
ela, ele
fizera, fizer
confusão, confusão
com, com
Ratzenberger, Ratzenberger
., .
Mas, mas
,, ,
ao, a o
abrir, abrir
o, o
jornal, jornal
no, em o
trem, tr
,, ,
a, o
foto, foto
de, de
Senna, Senna
estava, estar
na, em o
primeira, primeiro
página, página
., .
Tive, ter
vontade, vontade
de, de
dizer, dizer
a, a
todos, todo
no, em o
vagão, vagão
que, que
uma, um
lenda, lenda
das, de o
corridas, corrida
tinha, ter
desaparecido, desaparecir
., .

, 

Aquele, aquele
dia, dia
permanecerá, permanecer
gravado, gravar
na, em o
minha, meu
cabeça, cabeça
,, ,
como, como
o, o
dia, dia
da, de o
morte, morte
de, de
John, John
Lennon, Lennon
ou, ou
da, de o
explosão, explosão
do, de o
ônibus, ônibus
espacial, espacial
., .
'', ''
Iori, Iori
Suzuki, Suzuki
,, ,
32, 32
,, ,
Nova, Nova
York, York
., .

, 

`, `
`, `
Eu, eu
esperava, esperar
mais, mais
coisas, coisa
ruins, ruim
naquele, em aquele
fim-de-semana, fim-de-semana
,, ,
depois, depois
do, de o
acidente, acidente
de, de
Ratzenberger, Ratzenberger
;, ;
uma, um
premonição, premonição
,, ,
como, como
muitos, muito
outros, outro
disseram, dizer
depois, depois
., .

, 

Após, após
o, o
incidente, incidente
da, de o
largada, largar
(, (
fragmentos, fragmento
de, de
carros, carro
atingiram, atingir
torcedores, torcedor
), )
,, ,
pensei, pensar
que, que
nada, nada
mais, mais
pudesse, poder
ocorrer, ocorrer
e, e
relaxei, relaxei
., .

, 

Quando, quando
a, o
prova, prova
recomeçou, recomeçar
,, ,
torci, torcer
para, para
que, que
Schumacher, Schumacher
passasse, passar
Senna, Senna
., .
Então, então
houve, haver
a, o
batida, batida
., .

, 

Soube, Soube
instantaneamente, instantaneamente
,, ,
no, em o
meu, meu
coração, coração
,, ,
que, que
ele, ele
se, se
fora, ser
., .
Esperei, Esperei
horas, hora
para, para
ouvir, ouvir
que, que
estava, estar
errada, errado
., .
Não, não
estava, estar
., .
Senti-me, Senti-me
culpada, culpar
por, por
ter, ter
esperado, esperar
a, o
tragédia, tragédia
e, e
tê-la, tê-la
visto, ver
,, ,
por, por
ter, ter
desejado, desejar
um, um
desfecho, desfecho
que, que
tirasse, tirar
Senna, Senna
da, de o
liderança, liderança
., .
'', ''
Susan, Susan
Zenel, Zenel
,, ,
39, 39
,, ,
Washington, Washington
., .

, 

`, `
`, `
Obtive, Obtive
uma, um
credencial, credencial
de, de
fotógrafo, fotógrafo
para, para
o, o
GP, GP
., .
Soube, Soube
que, que
Ayrton, Ayrton
batera, bater
,, ,
mas, mas
estava, estar
na, em o
pista, pista
tirando, tirar
fotos, foto
., .
Nos, em o
boxes, boxe
,, ,
ouvi, ouvir
o, o
anúncio, anúncio
na, em o
TV, tv
,, ,
primeiro, primeiro
em, em
italiano, italiano
:, :
`, `
E, e
morto, morto
Senna, Senna
!, !
', '

, 

A, o
primeira, primeiro
coisa, coisa
que, que
me, eu
tocou, tocar
foi, ser
o, o
silêncio, silêncio
na, em o
área, área
dos, de o
boxes, boxe
., .
Todo, todo
o, o
ruído, ruído
e, e
as, o
conversas, conversa
pararam, parar
,, ,
substituídos, substituir
por, por
sussurros, sussurro
e, e
lágrimas, lágrima
., .

, 

Vendo, ver
o, o
vídeo, vídeo
meses, mês
depois, depois
,, ,
uma, um
coisa, coisa
que, que
me, eu
espantou, espantar
foi, ser
o, o
instante, instante
em, em
que, que
puseram, puser
Ayrton, Ayrton
no, em o
helicóptero, helicóptero
., .

, 

Sid, Sid
Watkins, Watkins
,, ,
que, que
conheço, conhecer
bem, bem
,, ,
não, não
o, ele
acompanhou, acompanhar
a, a
bordo, bordo
., .
Conhecendo, conhecer
sua, seu
especialidade, especialidade
,, ,
neurocirurgia, neurocirurgia
,, ,
achei, achar
que, que
significava, significar
que, que
não, não
havia, haver
esperança, esperança
., .
'', ''
Raymond, Raymond
Ninness, Ninness
,, ,
53, 53
,, ,
East, East
Point, Point
., .

, 

`, `
`, `
Estava, estar
visitando, visitar
meu, meu
primo, primo
em, em
Long, Long
Beach, Beach
,, ,
no, em o
dia, dia
1º, 1º
de, de
maio, maio
., .
Assistimos, Assistimos
a, a
um, um
VT, VT
da, de o
prova, prova
,, ,
à, a o
noite, noite
,, ,
em, em
um, um
bar, bar
., .
Tínhamos, Tínhamos
bebido, beber
razoavelmente, razoavelmente
,, ,
mas, mas
admito, admitar
que, que
foi, ser
um, um
choque, choque
., .

, 

Não, não
gostava, gostar
de, de
Senna, Senna
,, ,
assim, assim
como, como
de, de
nenhum, nenhum
outro, outro
esportista, esportista
em, em
geral, geral
., .
Para, para
ser, ser
sincero, sincero
,, ,
minha, meu
mulher, mulher
e, e
eu, eu
o, ele
considerávamos, considerávar
pirado, pirar
,, ,
na, em o
pior, mau
das, de o
hipóteses, hipótese
,, ,
e, e
um, um
imbecil, imbecil
,, ,
na, em o
melhor, bom
das, de o
hipóteses, hipótese
., .

, 

Mas, mas
o, o
homem, homem
era, ser
um, um
piloto, piloto
impressionante, impressionante
..., ...
realmente, realmente
impressionante, impressionante
., .
Ele, ele
era, ser
bom, bom
para, para
seu, seu
esporte, esporte
e, e
seu, seu
país, país
., .

, 

Acho, achar
forte, forte
demais, demais
dizer, dizer
que, que
ele, ele
era, ser
amado, amar
no, em o
mundo, mundo
inteiro, inteiro
., .
O, o
interessante, interessante
é, ser
a, o
forma, forma
como, como
ele, ele
era, ser
visto, ver
em, em
seu, seu
país, país
., .

, 

Ver, ver
mulheres, mulher
adultas, adulto
beijando, beijar
o, o
capacete, capacete
de, de
Senna, Senna
no, em o
funeral, funeral
foi, ser
uma, um
das, de o
cenas, cena
mais, mais
bizarras, bizarra
da, de o
história, história
da, de o
televisão, televisão
., .

, 

O, o
público, público
brasileiro, brasileiro
pode, poder
ficar, ficar
tranquilo, tranquilo
:, :
Senna, Senna
era, ser
conhecido, conhecido
,, ,
festejado, festejar
e, e
criticado, criticar
,, ,
e, e
será, ser
sempre, sempre
respeitado, respeitar
pelos, por o
torcedores, torcedor
do, de o
mundo, mundo
inteiro, inteiro
;, ;
mas, mas
nunca, nunca
da, de o
forma, forma
como, como
era, ser
em, em
seu, seu
país, país
., .
'', ''
Richard, Richard
Straude, Straude
,, ,
34, 34
,, ,
Gulf, Gulf
Breeze, Breeze
., .

, 

REINO, REINO
UNIDO, UNIDO

, 

`, `
`, `
Sou, ser
corredora, corredor
de, de
kart, kart
e, e
quero, querer
chegar, chegar
à, a o
F-1, F-1
., .
Naquele, em aquele
dia, dia
,, ,
fui, ser
a, a
Coventry, Coventry
assistir, assistir
à, a o
final, final
de, de
um, um
torneio, torneio
de, de
speedway, speedway
(, (
motociclismo, motociclismo
em, em
pista, pista
oval, oval
de, de
areia, areia
), )
., .

, 

Soube, Soube
que, que
Senna, Senna
tinha, ter
batido, bater
quando, quando
ouvi, ouvir
