Único, ﻿Único
representante, representante
paulista, paulista
nas, em o
semifinais, semifinal
da, de o
Copa, copa
do, de o
Brasil, Brasil
,, ,
o, o
Corinthians, Corinthians
enfrenta, enfrentar
na, em o
próxima, próximo
quarta-feira, quarta-feira
o, o
Vasco, Vasco
da, de o
Gama, Gama
,, ,
no, em o
Maracanã, Maracanã
,, ,
no, em o
Rio, Rio
,, ,
às, a o
20h45, 20h45
., .

, 

A, o
competição, competição
garante, garantir
uma, um
vaga, vaga
na, em o
Libertadores, Libertadores
da, de o
América, América
96, 96
(, (
o, o
mais, mais
importante, importante
torneio, torneio
sul-americano, sul-americano
interclubes, interclube
), )
., .

, 

As, o
duas, dois
equipes, equipe
voltam, voltar
a, a
jogar, jogar
no, em o
dia, dia
30, 30
no, em o
Pacaembu, Pacaembu
., .

, 

Com, com
essa, esse
tabela, tabela
,, ,
a, o
partida, partida
entre, entre
Corinthians, Corinthians
e, e
Araçatuba, Araçatuba
,, ,
marcada, marcar
para, para
o, o
dia, dia
seguinte, seguinte
ao, a o
jogo, jogo
de, de
ida, ida
com, com
o, o
Vasco, Vasco
,, ,
pode, poder
ser, ser
adiada, adiar
., .

, 

A, o
outra, outro
semifinal, semifinal
reúne, reunir
Grêmio, Grêmio
e, e
Flamengo, Flamengo
., .

, 

O, o
primeiro, primeiro
jogo, jogo
será, ser
também, também
no, em o
Maracanã, maracanã
,, ,
na, em o
próxima, próximo
terça-feira, terça-feira
,, ,
dia, dia
23, 23
., .

, 

A, o
definição, definição
de, de
quem, quem
irá, ir
à, a o
final, final
do, de o
torneio, torneio
acontece, acontecer
no, em o
estádio, estádio
Olímpico, Olímpico
,, ,
em, em
Porto, Porto
Alegre, Alegre
,, ,
no, em o
dia, dia
31, 31
., .

, 

O, o
Corinthians, Corinthians
conseguiu, conseguir
sua, seu
vaga, vaga
para, para
a, o
semifinal, semifinal
superando, superar
o, o
Paraná, Paraná
Clube, Clube
_, _
0, 0
a, a
0, 0
,, ,
em, em
Curitiba, Curitiba
,, ,
e, e
2, 2
a, a
1, 1
,, ,
em, em
São, São
Paulo, Paulo
., .

, 

O, o
próximo, próximo
adversário, adversário
corintiano, corintiano
chegou, chegar
às, a o
semifinais, semifinal
desclassificando, desclassificando
o, o
Atlético-MG, Atlético-MG
., .

, 

Vasco, Vasco
e, e
Atlético-MG, Atlético-MG
venceram, vencer
por, por
1, 1
a, a
0, 0
seus, seu
jogos, jogo
fora, fora
de, de
casa, casa
e, e
a, o
classificação, classificação
foi, ser
determinada, determinar
nos, em o
pênaltis, pênaltis
por, por
4, 4
a, a
1, 1
em, em
favor, favor
do, de o
Vasco, Vasco
,, ,
no, em o
último, último
jogo, jogo
no, em o
estádio, estádio
Mineirão, Mineirão
,, ,
na, em o
quinta-feira, quinta-feira
., .

, 

O, o
Grêmio, Grêmio
passou, passar
para, para
esta, este
fase, fase
ao, a o
derrotar, derrotar
o, o
São, São
Paulo, Paulo
por, por
2, 2
a, a
0, 0
,, ,
em, em
Porto, Porto
Alegre, Alegre
_, _
o, o
primeiro, primeiro
jogo, jogo
terminou, terminar
empatado, empatar
em, em
1, 1
a, a
1, 1
., .

, 

Na, em o
fase, fase
anterior, anterior
,, ,
a, o
equipe, equipe
gaúcha, gaúchar
já, já
havia, haver
eliminado, eliminar
o, o
Palmeiras, Palmeiras
,, ,
o, o
terceiro, terceiro
time, time
de, de
São, São
Paulo, Paulo
no, em o
torneio, torneio
., .

, 

O, o
Flamengo, Flamengo
conquistou, conquistar
sua, seu
vaga, vaga
na, em o
semifinal, semifinal
superando, superar
o, o
Cruzeiro, Cruzeiro
., .

, 

O, o
equipe, equipe
de, de
Wanderley, Wanderley
Luxemburgo, Luxemburgo
venceu, vencer
por, por
1, 1
a, a
0, 0
no, em o
Mineirão, Mineirão
e, e
empatou, empatar
em, em
1, 1
a, a
1, 1
no, em o
Maracanã, maracanã
., .

, 

A, o
Copa, Copa
do, de o
Brasil, Brasil
é, ser
uma, um
competição, competição
nacional, nacional
que, que
reúne, reunir
os, o
melhores, bom
colocados, colocado
nos, em o
campeonatos, campeonato
regionais, regional
do, de o
ano, ano
anterior, anterior
., .

, 

As, o
equipes, equipe
disputam, disputar
chaves, chave
simples, simples
com, com
jogos, jogo
de, de
ida, ida
e, e
volta, volta
,, ,
classificando-se, classificandor se
a, o
equipe, equipe
com, com
melhor, bom
desempenho, desempenho
., .

, 

A, o
competição, competição
existe, existir
desde, desde
1989, 1989
., .
O, o
time, time
com, com
mais, mais
títulos, título
do, de o
torneio, torneio
é, ser
o, o
Grêmio, Grêmio
_, _
campeão, campeão
em, em
89, 89
e, e
no, em o
ano, ano
passado, passado
., .

, 

Cruzeiro, Cruzeiro
(, (
93, 93
), )
,, ,
Internacional, Internacional
(, (
92, 92
), )
,, ,
Criciúma, Criciúma
(, (
91, 91
), )
e, e
Flamengo, Flamengo
(, (
90, 90
), )
têm, ter
um, um
título, título
cada, cada
., .

, 

