Franklin, ﻿Franklin
Edmundo, Edmundo
Rijkaard, Rijkaard
,, ,
32, 32
,, ,
encerra, encerrar
a, o
sua, seu
carreira, carreira
de, de
jogador, jogador
como, como
queria, querer
:, :
campeão, campeão
holandês, holandês
e, e
campeão, campeão
da, de o
Copa, copa
dos, de o
Campeões, Campeões
pelo, por o
Ajax, Ajax
,, ,
de, de
Amsterdã, Amsterdã
., .

, 

Ontem, ontem
,, ,
ele, ele
comandou, comandar
o, o
seu, seu
jovem, jovem
time, time
a, a
um, um
fato, fato
que, que
parecia, parecer
impossível, impossível
:, :
ganhar, ganhar
do, de o
Milan, Milan
,, ,
equipe, equipe
que, que
o, o
próprio, próprio
Rijkaard, Rijkaard
ajudou, ajudar
a, a
tornar, tornar
imbatível, imbatível
., .

, 

Ele, ele
festejou, festejar
a, o
sua, seu
vitória, vitória
como, como
um, um
dos, de o
três, três
teens, teen
negros, negro
que, que
nasceram, nascer
em, em
dias, dia
primeiros, primeiro
de, de
1976, 1976
(, (
Kanu, Kanu
,, ,
Seedorf, Seedorf
e, e
Kluivert, Kluivert
), )
., .

, 

Com, com
a, o
saúde, saúde
de, de
ontem, ontem
,, ,
poderia, poder
jogar, jogar
mais, mais
., .

, 

Frank, Frank
Rijkaard, Rijkaard
entra, entrar
para, para
a, o
galeria, galeria
dos, de o
cinco, cinco
jogadores, jogador
que, que
já, já
ganharam, ganhar
a, o
Copa, copa
dos, de o
Campeões, Campeões
por, por
dois, dois
times, time
diferentes, diferente
., .

, 

Além, além
dele, de ele
,, ,
Miodrag, Miodrag
Belodedici, Belodedici
,, ,
Ronald, Ronald
Koeman, Koeman
,, ,
e, e
os, o
milaneses, milanese
Dejan, Dejan
Savicevic, Savicevic
,, ,
que, que
ontem, ontem
não, não
jogou, jogar
,, ,
e, e
Marcel, Marcel
Desailly, Desailly
., .

, 

Desailly, Desailly
não, não
conseguiu, conseguir
atingir, atingir
uma, um
marca, marca
notável, notável
:, :
se, se
o, o
Milan, Milan
vencesse, vencesse
,, ,
seria, ser
três, três
vezes, vez
seguidas, seguir
campeão, campeão
., .

, 

Além, além
dele, de ele
,, ,
no, em o
Milan, Milan
,, ,
foram, ser
destaques, destaques
os, o
lateral, lateral
esquerdo, esquerdo
Maldini, Maldini
,, ,
o, o
meio-campista, meio-campista
Albertini, Albertini
e, e
o, o
atacante, atacante
Simone, Simone
., .

, 

No, em o
primeiro, primeiro
tempo, tempo
,, ,
graças, graças
à, a o
marcação, marcação
de, de
Desailly, Desailly
e, e
Albertini, Albertini
,, ,
e, e
o, o
constante, constante
deslocamento, deslocamento
de, de
Boban, Boban
,, ,
o, o
Milan, Milan
mandou, mandar
no, em o
jogo, jogo
., .

, 

O, o
Ajax, Ajax
era, ser
um, um
time, time
estático, estático
,, ,
lento, lento
,, ,
sem, sem
flutuação, flutuação
,, ,
com, com
os, o
jogadores, jogador
fixos, fixo
,, ,
o, o
que, que
facilitava, facilitar
amplamente, amplamente
o, o
já, já
eficiente, eficiente
trabalho, trabalho
de, de
marcação, marcação
do, de o
Milan, Milan
., .

, 

O, o
grande, grande
erro, erro
do, de o
técnico, técnico
Fabio, Fabio
Capello, Capello
foi, ser
o, o
de, de
não, não
ter, ter
mexido, mexir
no, em o
time, time
pelos, por o
15min, 15min
do, de o
segundo, segundo
tempo, tempo
,, ,
quando, quando
ficou, ficar
visível, visível
que, que
o, o
Milan, Milan
perdia, perder
o, o
meio-campo, meio-campo
., .

, 

A, o
vitória, vitória
consagra, consagro
um, um
novo, novo
técnico, técnico
:, :
Louis, Louis
Va, Va
Call, Call
,, ,
43, 43
,, ,
que, que
em, em
seu, seu
primeiro, primeiro
trabalho, trabalho
efetivo, efetivo
como, como
técnico, técnico
ganhou, ganhar
,, ,
com, com
o, o
Ajax, Ajax
,, ,
a, o
Copa, Copa
da, de o
Uefa, Uefa
92, 92
,, ,
a, o
Copa, copa
da, de o
Holanda, Holanda
de, de
93, 93
e, e
os, o
Campeonatos, Campeonatos
Holandeses, Holandeses
de, de
94, 94
e, e
95, 95
., .

, 

(, (
MSJr, MSJr
., .
), )

, 

