Os, ﻿Os
jogadores, jogador
da, de o
seleção, seleção
brasileira, brasileiro
masculina, masculina
de, de
vôlei, vôlei
,, ,
que, que
inicia, iniciar
dia, dia
19, 19
a, o
disputa, disputa
da, de o
Liga, Liga
Mundial, Mundial
contra, contra
a, o
Espanha, Espanha
,, ,
defendem, defender
a, o
popularização, popularização
do, de o
esporte, esporte
no, em o
país, país
., .

, 

Segundo, segundo
o, o
atacante, atacante
Giovane, Giovane
,, ,
a, o
Superliga, Superliga
Nacional, Nacional
pode, poder
ser, ser
o, o
caminho, caminho
para, para
que, que
o, o
Brasil, Brasil
continue, continuar
tendo, ter
uma, um
das, de o
melhores, bom
seleções, seleção
de, de
vôlei, vôlei
do, de o
mundo, mundo
., .

, 

`, `
`, `
A, o
conquista, conquista
do, de o
ouro, ouro
em, em
Barcelona, Barcelona
aumentou, aumentar
o, o
público, público
do, de o
vôlei, vôlei
no, em o
Brasil, Brasil
., .
Com, com
a, o
Superliga, Superliga
,, ,
podemos, poder
manter, manter
o, o
esporte, esporte
em, em
evidência, evidência
'', ''
,, ,
afirmou, afirmar
., .

, 

Segundo, segundo
ele, ele
,, ,
a, o
diferença, diferença
entre, entre
a, o
Superliga, Superliga
Nacional, Nacional
e, e
os, o
campeonatos, campeonato
de, de
vôlei, vôlei
na, em o
Itália, Itália
é, ser
que, que
,, ,
na, em o
Europa, Europa
,, ,
a, o
modalidade, modalidade
tem, ter
mais, mais
tradição, tradição
., .

, 

`, `
`, `
Aqui, Aqui
no, em o
Brasil, Brasil
ainda, ainda
é, ser
um, um
esporte, esporte
novo, novo
., .
Mas, mas
em, em
termos, termos
de, de
organização, organização
,, ,
nós, nós
não, não
devemos, dever
nada, nada
a, a
ninguém, ninguém
., .
'', ''

, 

Giovane, Giovane
diz, dizer
que, que
,, ,
na, em o
Itália, Itália
,, ,
existe, existir
uma, um
maior, grande
rivalidade, rivalidade
entre, entre
os, o
clubes, clube
., .
`, `
`, `
São, ser
times, time
que, que
representam, representar
uma, um
cidade, cidade
., .
A, o
rivalidade, rivalidade
sadia, sadir
é, ser
estimulante, estimulante
., .
'', ''

, 

A, o
Frangosul-, Frangosul-
Ginástica, Ginástica
,, ,
de, de
Novo, Novo
Hamburgo-RS, Hamburgo-RS
,, ,
lembra, lembrar
,, ,
para, para
o, o
atacante, atacante
,, ,
os, o
clubes, clube
italianos, italiano
., .
`, `
`, `
A, o
cidade, cidade
de, de
Novo, Novo
Hamburgo, Hamburgo
toda, todo
torce, torce
para, para
a, o
Frangosul, Frangosul
'', ''
,, ,
afirmou, afirmar
., .

, 

O, o
ponta-de-rede, ponta-de-rede
Tande, Tande
concorda, concordar
com, com
Giovane, Giovane
., .
`, `
`, `
Daqui, daqui
a, a
dez, dez
anos, ano
,, ,
o, o
vôlei, vôlei
pode, poder
virar, virar
um, um
esporte, esporte
de, de
massa, massa
., .
'', ''

, 

Tande, Tande
defende, defender
a, o
Superliga, Superliga
., .
`, `
`, `
Algumas, algum
pessoas, pessoa
podem, poder
criticar, criticar
,, ,
dizer, dizer
que, que
o, o
público, público
só, só
vai, ir
na, em o
final, final
,, ,
mas, mas
é, ser
um, um
torneio, torneio
importante, importante
,, ,
que, que
deu, dar
a, o
oportunidade, oportunidade
para, para
que, que
os, o
jogadores, jogador
da, de o
seleção, seleção
jogassem, jogar
no, em o
Brasil, Brasil
., .
'', ''

, 

Tande, Tande
citou, citar
como, como
exemplo, exemplo
o, o
caso, caso
do, de o
Rio, Rio
de, de
Janeiro, Janeiro
., .
`, `
`, `
É, ser
inadmissível, inadmissível
que, que
um, um
centro, centro
como, como
o, o
Rio, Rio
não, não
tenha, ter
um, um
grande, grande
time, time
de, de
vôlei, vôlei
., .
Com, com
a, o
Superliga, Superliga
,, ,
a, o
situação, situação
pode, poder
mudar, mudar
., .
'', ''

, 

O, o
jogador, jogador
,, ,
que, que
disputou, disputar
a, o
última, último
temporada, temporada
pelo, por o
Flamengo, Flamengo
,, ,
diz, dizer
que, que
pretende, pretender
continuar, continuar
no, em o
Flamengo, Flamengo
., .
`, `
`, `
Adoro, adorar
o, o
Rio, Rio
'', ''
,, ,
declarou, declarar
., .

, 

Ele, ele
quer, querer
prosseguir, prosseguir
um, um
trabalho, trabalho
que, que
desenvolve, desenvolver
com, com
crianças, criança
carentes, carente
na, em o
cidade, cidade
., .
`, `
`, `
Estou, estar
levando, levar
crianças, criança
do, de o
morro, morro
para, para
a, o
prática, prática
do, de o
vôlei, vôlei
., .
'', ''

, 

A, o
seleção, seleção
continua, continuar
os, o
treinamentos, treinamento
em, em
São, São
Paulo, Paulo
até, até
amanhã, amanhã
