Andrada, ﻿Andrada
quer, querer
ser, ser
técnico, técnico
de, de
uma, um
equipe, equipe
brasileira, brasileiro
,, ,
de, de
preferência, preferência
o, o
Vasco, Vasco
,, ,
onde, onde
trabalhou, trabalhar
15, 15
dias, dia
em, em
94, 94
., .

, 

", "
Gostaria, Gostaria
de, de
ser, ser
o, o
treinador, treinador
de, de
goleiros, goleiro
,, ,
mas, mas
não, não
concordaram, concordar
com, com
o, o
salário, salário
que, que
pedi, pedir
'', ''
,, ,
disse, dizer
., .

, 

Depois, depois
de, de
deixar, deixar
o, o
futebol, futebol
em, em
84, 84
,, ,
além, além
de, de
tentar, tentar
ser, ser
técnico, técnico
,, ,
ele, ele
enveredou, enveredar
pela, por o
política, política
,, ,
em, em
cargos, cargo
ligados, ligar
ao, a o
esporte, esporte
na, em o
administração, administração
da, de o
Província, Província
de, de
Santa, Santa
Fé, Fé
(, (
centro, centro
da, de o
Argentina, Argentina
), )
., .

, 

Em, em
setembro, setembro
,, ,
disputará, disputar
o, o
cargo, cargo
de, de
vereador, vereador
de, de
Rosario, Rosario
,, ,
pelo, por o
partido, partido
do, de o
presidente, presidente
reeleito, reeleger
,, ,
Carlos, Carlos
Menem, Menem
., .
Hoje, hoje
,, ,
é, ser
dono, dono
de, de
uma, um
empresa, empresa
de, de
transporte, transporte
., .

, 

(, (
RB, RB
), )

, 

