Para, ﻿Par
o, o
técnico, técnico
Joãozinho, Joãozinho
,, ,
do, de o
Santos, Santos
,, ,
o, o
principal, principal
objetivo, objetivo
da, de o
equipe, equipe
na, em o
primeira, primeiro
fase, fase
do, de o
Paulista, Paulista
foi, ser
atingido, atingir
., .

, 

`, `
`, `
Matematicamente, Matematicamente
,, ,
estamos, estar
classificados, classificar
., .
Agora, agora
,, ,
a, o
briga, briga
é, ser
pela, por o
liderança, liderança
do, de o
campeonato, campeonato
., .
Vamos, ir
atrás, atrás
do, de o
São, São
Paulo, Paulo
., .
Queremos, querer
conquistar, conquistar
o, o
título, título
do, de o
segundo, segundo
turno, turno
., .
'', ''

, 

A, o
declaração, declaração
foi, ser
dada, dar
em, em
um, um
vestiário, vestiário
invadido, invadir
por, por
dezenas, dezena
de, de
torcedores, torcedor
,, ,
que, que
apresentava, apresentar
clima, clima
de, de
final, final
de, de
campeonato, campeonato
,, ,
após, após
a, o
vitória, vitória
sobre, sobre
o, o
Palmeiras, Palmeiras
., .

, 

Joãozinho, Joãozinho
considerou, considerar
`, `
`, `
brilhante, brilhante
'', ''
o, o
desempenho, desempenho
da, de o
equipe, equipe
no, em o
segundo, segundo
tempo, tempo
do, de o
jogo, jogo
de, de
anteontem, anteontem
,, ,
na, em o
vitória, vitória
de, de
3, 3
a, a
1, 1
sobre, sobre
o, o
Palmeiras, Palmeiras
., .

, 

