"O, ﻿"O
jogo, jogo
foi, ser
feio, feio
,, ,
mas, mas
não, não
por, por
nossa, nosso
culpa, culpa
., .
'', ''

, 

A, o
frase, frase
do, de o
técnico, técnico
Candinho, Candinho
,, ,
no, em o
vestiário, vestiário
,, ,
resumia, resumia
a, o
frustração, frustração
da, de o
Portuguesa, Portuguesa
por, por
ter, ter
perdido, perder
a, o
chance, chance
de, de
se, se
aproximar, aproximar
do, de o
São, São
Paulo, Paulo
na, em o
disputa, disputa
pelo, por o
ponto, ponto
extra, extra
na, em o
segunda, segundo
fase, fase
do, de o
campeonato, campeonato
., .

, 

Com, com
os, o
resultados, resultado
do, de o
fim-de-semana, fim-de-semana
,, ,
o, o
São, São
Paulo, Paulo
manteve, manter
a, o
vantagem, vantagem
de, de
quatro, quatro
pontos, ponto
na, em o
liderança, liderança
(, (
leia, ler
texto, texto
ao, a o
lado, lado
), )
., .

, 

", "
Nós, nós
queríamos, queríamos
o, o
jogo, jogo
aberto, abrir
., .
Coloquei, coloquei
dois, dois
centroavantes, centroavante
e, e
mandei, mandar
os, o
laterais, lateral
atacarem, atacar
'', ''
,, ,
acrescentou, acrescentar
Candinho, Candinho
., .
`, `
`, `
Mas, mas
eles, eles
ficaram, ficar
atrás, atrás
., .
'', ''

, 

O, o
zagueiro, zagueiro
Gilmar, Gilmar
endossou, endossar
o, o
coro, coro
do, de o
técnico, técnico
., .
`, `
`, `
Nós, nós
tentamos, tentar
jogar, jogar
,, ,
mas, mas
o, o
Corinthians, Corinthians
só, só
queria, querer
se, se
defender, defender
., .
No, em o
fim, fim
,, ,
conseguiram, conseguir
o, o
que, que
queria, querer
,, ,
um, um
ponto, ponto
e, e
a, o
classificação, classificação
., .
'', ''

, 

Para, para
Candinho, Candinho
,, ,
o, o
Corinthians, Corinthians
`, `
`, `
já, já
estava, estar
classificado, classificado
há, haver
muito, muito
tempo, tempo
'', ''
e, e
`, `
`, `
não, não
precisava, precisar
ter, ter
jogado, jogar
daquela, de aquele
maneira, maneira
'', ''
., .

, 

O, o
goleiro, goleiro
Paulo, Paulo
César, César
também, também
concordou, concordar
que, que
o, o
Corinthians, Corinthians
`, `
`, `
jogou, jogar
para, para
se, se
defender, defender
'', ''
., .

, 

De, de
tão, tão
usado, usar
,, ,
esse, esse
discurso, discurso
acabou, acabar
virando, virar
explicação, explicação
para, para
todos, todo
os, o
erros, erro
do, de o
time, time
., .

, 

", "
O, o
Corinthians, Corinthians
jogou, jogar
com, com
três, três
volantes, volante
e, e
depois, depois
colocou, colocar
mais, mais
um, um
(, (
Ezequiel, Ezequiel
), )
no, em o
segundo, segundo
tempo, tempo
., .
Assim, assim
,, ,
ficou, ficar
impossível, impossível
atacar, atacar
'', ''
,, ,
argumentou, argumentar
o, o
atacante, atacante
Flávio, Flávio
., .

, 

O, o
jogador, jogador
,, ,
porém, porém
,, ,
omitiu, omitir
dois, dois
`, `
`, `
detalhes, detalhe
'', ''
:, :
quando, quando
Ezequiel, Ezequiel
entrou, entrar
,, ,
ele, ele
já, já
havia, haver
sido, ser
substituído, substituir
;, ;
e, e
foi, ir
após, após
sua, seu
saída, saída
que, que
a, o
Portuguesa, Portuguesa
teve, ter
as, o
melhores, bom
chances, chance
., .

, 

Só, só
o, o
atacante, atacante
Paulinho, Paulinho
usou, usar
outro, outro
argumento, argumento
para, para
explicar, explicar
a, o
fraca, fraco
atuação, atuação
dos, de o
atacantes, atacante
do, de o
time, time
:, :
o, o
gramado, gramado
., .

, 

", "
A, o
bola, bola
,, ,
quando, quando
pica, picar
,, ,
pode, poder
ir, ir
para, para
qualquer, qualquer
lado, lado
., .
Por, por
isso, isso
,, ,
tivemos, tiver
que, que
jogar, jogar
com, com
bolas, bola
altas, alto
,, ,
o, o
que, que
facilitou, facilitar
o, o
trabalho, trabalho
do, de o
Corinthians, Corinthians
., .
'', ''

, 

Para, para
o, o
próximo, próximo
jogo, jogo
,, ,
Candinho, Candinho
deve, dever
ter, ter
dois, dois
desfalques, desfalque
:, :
o, o
lateral-direito, lateral-direito
Edinho, Edinho
levou, levar
o, o
terceiro, terceiro
cartão, cartão
amarelo, amarelo
,, ,
e, e
está, estar
suspenso, suspenso
;, ;
o, o
lateral-esquerdo, lateral-esquerdo
Zé, Zé
Roberto, Roberto
sofreu, sofrer
uma, um
torção, torção
no, em o
tornozelo, tornozelo
esquerdo, esquerdo
e, e
saiu, sair
com, com
suspeita, suspeita
de, de
lesão, lesão
nos, em o
ligamentos, ligamento
., .

, 

O, o
diretor, diretor
de, de
futebol, futebol
,, ,
Fernando, Fernando
Gomes, Gomes
,, ,
afirmou, afirmar
que, que
a, o
Portuguesa, Portuguesa
não, não
deverá, dever
mais, mais
fazer, fazer
contratações, contratação
para, para
a, o
segunda, segundo
fase, fase
:, :
`, `
`, `
o, o
time, time
é, ser
o, o
que, que
está, estar
aí, aí
., .
'', ''

, 

