Desta, ﻿Desta
vez, vez
,, ,
Telê, Telê
Santana, Santana
não, não
poupou, poupar
elogios, elogio
aos, a o
jogadores, jogador
do, de o
São, São
Paulo, Paulo
., .

, 

Segundo, segundo
ele, ele
,, ,
o, o
time, time
demonstrou, demonstrar
muita, muito
força, força
de, de
vontade, vontade
e, e
espírito, espírito
de, de
luta, luta
e, e
por, por
isso, isso
conseguiu, conseguir
reagir, reagir
no, em o
segundo, segundo
tempo, tempo
e, e
empatar, empatar
a, o
partida, partida
diante, diante
do, de o
Corinthians, Corinthians
., .

, 

`, `
`, `
A, o
equipe, equipe
jamais, jamais
se, se
entregou, entregar
,, ,
mesmo, mesmo
quando, quando
estava, estar
perdendo, perder
por, por
2, 2
a, a
0, 0
,, ,
e, e
chegou, chegar
a, a
um, um
empate, empate
merecido, merecer
'', ''
,, ,
disse, dizer
., .

, 

Telê, Telê
comemorou, comemorar
muito, muito
o, o
gol, gol
marcado, marcar
por, por
Bordon, Bordon
,, ,
o, o
primeiro, primeiro
do, de o
São, São
Paulo, Paulo
na, em o
partida, partida
de, de
ontem, ontem
., .

, 

É, ser
a, o
terceira, terceiro
partida, partida
seguida, seguir
em, em
que, que
o, o
São, São
Paulo, Paulo
consegue, conseguir
fazer, fazer
gols, gol
em, em
cobranças, cobrança
de, de
falta, falta
ensaiadas, ensaiar
., .
Os, o
outros, outro
dois, dois
foram, ser
feitos, fazer
por, por
Bentinho, Bentinho
,, ,
contra, contra
XV, XV
de, de
Piracicaba, Piracicaba
e, e
Grêmio, Grêmio
., .

, 

`, `
`, `
Isso, isso
me, eu
deixa, deixar
muito, muito
feliz, feliz
e, e
premia, premio
a, o
dedicação, dedicação
dos, de o
jogadores, jogador
nos, em o
treinamentos, treinamento
exaustivos, exaustivo
que, que
fazemos, fazer
durante, durante
a, o
semana, semana
'', ''
,, ,
disse, dizer
Telê, Telê
., .

, 

Após, após
os, o
treinos, treino
táticos, tático
e, e
técnicos, técnico
,, ,
Telê, Telê
tem, ter
ficado, ficar
cerca, cerca
de, de
30, 30
minutos, minuto
ensaiando, ensaiar
cobranças, cobrança
de, de
falta, falta
com, com
os, o
jogadores, jogador
Bordon, Bordon
,, ,
Bentinho, Bentinho
,, ,
Juninho, Juninho
e, e
Alemão, Alemão
., .

, 

`, `
`, `
Eu, eu
treino, treino
até, até
os, o
músculos, músculo
da, de o
perna, perna
começarem, começar
a, o
doer, doer
., .
Mas, mas
sempre, sempre
soube, saber
que, que
o, o
resultado, resultado
iria, ir
aparecer, aparecer
nos, em o
jogos, jogo
'', ''
,, ,
afirmou, afirmar
Bordon, Bordon
., .

, 

Foi, ser
o, o
primeiro, primeiro
gol, gol
que, que
o, o
zagueiro, zagueiro
marcou, marcar
como, como
profissional, profissional
., .

, 

`, `
`, `
Dou, Dou
sorte, sorte
contra, contra
o, o
Corinthians, Corinthians
'', ''
,, ,
disse, dizer
Bordon, Bordon
., .
Ele, ele
fez, fazer
um, um
gol, gol
parecido, parecer
contra, contra
o, o
rival, rival
na, em o
última, último
Copa, Copa
São, São
Paulo, Paulo
de, de
Juniores, Juniores
., .

, 

Telê, Telê
Santana, Santana
elogiou, elogiar
o, o
arbitragem, arbitragem
do, de o
italiano, italiano
Pierluigi, Pierluigi
Pairetto, Pairetto
., .

, 

`, `
`, `
Ele, ele
deixou, deixar
o, o
jogo, jogo
seguir, seguir
em, em
bom, bom
ritmo, ritmo
e, e
,, ,
principalmente, principalmente
,, ,
conseguiu, conseguir
ser, ser
respeitado, respeitar
pelos, por o
jogadores, jogador
., .
Se, se
fosse, ser
um, um
juiz, juiz
brasileiro, brasileiro
que, que
tivesse, ter
marcado, marcar
o, o
pênalti, pênalti
que, que
ele, ele
marcou, marcar
,, ,
os, o
jogadores, jogador
do, de o
Corinthians, Corinthians
logo, logo
o, ele
cercariam, cercar
e, e
dariam, darir
peitadas, peitar
'', ''
,, ,
disse, dizer
Telê, Telê
., .

, 

Com, com
o, o
empate, empate
de, de
ontem, ontem
,, ,
o, o
São, São
Paulo, Paulo
completou, completar
a, o
sua, seu
sétima, sétimo
partida, partida
invicta, invicto
no, em o
Campeonato, Campeonato
., .
A, o
última, último
derrota, derrota
foi, ser
para, para
o, o
Guarani, Guarani
,, ,
dia, dia
5, 5
de, de
abril, abril
,, ,
no, em o
Morumbi, Morumbi
., .

, 

O, o
time, time
de, de
Campinas, Campinas
é, ser
o, o
próximo, próximo
adversário, adversário
do, de o
São, São
Paulo, Paulo
,, ,
quarta-feira, quarta-feira
,, ,
em, em
Campinas, Campinas
., .

, 

O, o
lateral-esquerdo, lateral-esquerdo
André, André
,, ,
recuperado, recuperar
de, de
uma, um
fratura, fratura
no, em o
pé, pé
esquerdo, esquerdo
,, ,
inicia, iniciar
hoje, hoje
os, o
treinamentos, treinamento
com, com
bola, bola
., .

, 

Ele, ele
pode, poder
retornar, retornar
ao, a o
time, time
no, em o
próximo, próximo
domingo, domingo
,, ,
contra, contra
o, o
União, União
São, São
João, João
,, ,
no, em o
Morumbi, Morumbi
., .
Ronaldo, Ronaldo
Luís, Luís
,, ,
Pavão, Pavão
,, ,
Axel, Axel
e, e
Aílton, Aílton
continuam, continuar
machucados, machucado
., .

, 

