Seis, ﻿Sel
técnicos, técnico
foram, ser
demitidos, demitir
desde, desde
o, o
início, início
da, de o
temporada, temporada
94-95, 94-95
da, de o
NBA, NBA
., .
O, o
último, último
deles, de eles
a, a
perder, perder
o, o
emprego, emprego
foi, ser
Chris, Chris
Ford, Ford
,, ,
do, de o
Boston, Boston
Celtics, Celtics
,, ,
quarta-feira, quarta-feira
., .

, 

Ford, Ford
foi, ser
despedido, despedir
após, após
desentendimentos, desentendimento
com, com
o, o
diretor, diretor
M.L., M.L.
Carr, Carr
., .
O, o
Boston, Boston
ainda, ainda
não, não
anunciou, anunciar
o, o
novo, novo
técnico, técnico
., .

, 

Das, Das
cinco, cinco
equipes, equipe
_, _
o, o
Denver, Denver
trocou, trocar
dois, dois
técnicos, técnico
_, _
que, que
despediram, despedir
seus, seu
treinadores, treinador
,, ,
apenas, apenas
o, o
Boston, Boston
chegou, chegar
até, até
a, o
fase, fase
decisiva, decisivo
(, (
playoffs, playoff
), )
da, de o
liga, liga
., .

, 

O, o
time, time
ganhou, ganhar
35, 35
jogos, jogo
e, e
perdeu, perder
47, 47
na, em o
temporada, temporada
regular, regular
(, (
classificação, classificação
), )
., .
Mas, mas
não, não
passou, passar
da, de o
primeira, primeiro
etapa, etapa
dos, de o
playoffs, playoff
,, ,
quando, quando
foi, ser
eliminado, eliminar
pelo, por o
Orlando, Orlando
Magic, Magic
por, por
3, 3
a, a
1, 1
na, em o
série, série
melhor, bom
de, de
cinco, cinco
jogos, jogo
., .

, 

As, o
outras, outro
trocas, troca
de, de
técnicos, técnico
:, :
Denver, Denver
Nuggets, Nuggets
-, -
saiu, sair
Dan, Dan
Issel, Issel
e, e
entrou, entrar
Gene, Gene
Littles, Littles
,, ,
em, em
15, 15
de, de
janeiro, janeiro
;, ;
Golden, Golden
State, State
Warriors, Warriors
-, -
trocou, trocar
Don, Don
Nelson, Nelson
por, por
Bob, Bob
Lanier, Lanier
,, ,
em, em
13, 13
de, de
fevereiro, fevereiro
;, ;
Miami, Miami
Heat, Heat
-, -
Kevin, Kevin
Loughery, Loughery
por, por
Alvin, Alvin
Gentry, Gentry
,, ,
em, em
14, 14
de, de
fevereiro, fevereiro
;, ;
Denver, Denver
Nuggets, Nuggets
-, -
Gene, Gene
Littles, Littles
por, por
Bernie, Bernie
Bickerstaf, Bickerstaf
,, ,
em, em
20, 20
de, de
fevereiro, fevereiro
;, ;
Detroit, Detroit
Pistons, Pistons
-, -
Don, Don
Chaney, Chaney
por, por
Doug, Doug
Collins, Collins
,, ,
em, em
29, 29
de, de
abril, abril
., .

, 

