Até, ﻿Até
a, a
23ª, 23ª
rodada, rodada
do, de o
Campeonato, Campeonato
Paulista, Paulista
,, ,
Santos, Santos
é, ser
a, o
cidade, cidade
que, que
,, ,
em, em
média, média
,, ,
mais, mais
torcedores, torcedor
tem, ter
em, em
seus, seu
estádios, estádio
., .

, 

Nos, em o
11, 11
jogos, jogo
em, em
Vila, Vila
Belmiro, Belmiro
e, e
Ulrico, Ulrico
Mursa, Mursa
,, ,
os, o
dois, dois
campos, campo
onde, onde
o, o
Santos, Santos
atuou, atuar
na, em o
cidade, cidade
,, ,
223.031, 223.031
pagantes, pagante
estiveram, estar
presentes, presente
., .
Uma, um
média, média
de, de
10.138, 10.138
por, por
jogo, jogo
., .

, 

A, o
cidade, cidade
de, de
São, São
Paulo, Paulo
,, ,
que, que
tem, ter
os, o
outros, outro
quatro, quatro
grandes, grande
clubes, clube
do, de o
Estado, estado
,, ,
recebeu, receber
3,8, 3,8
vezes, vez
mais, mais
público, público
que, que
Santos, Santos
., .
Mas, mas
,, ,
na, em o
média, média
,, ,
recebe, receber
17,9, 17,9
%, %
menos, menos
torcedores, torcedor
em, em
seus, seu
estádios, estádio
., .

, 

Piracicaba, Piracicaba
está, estar
entre, entre
as, o
duas, dois
cidades, cidade
., .
A, o
liderança, liderança
passageira, passageiro
do, de o
clube, clube
local, local
,, ,
o, o
XV, XV
,, ,
no, em o
começo, começo
do, de o
torneio, torneio
,, ,
ajudou, ajudar
no, em o
desempenho, desempenho
., .

, 

A, o
cidade, cidade
tem, ter
o, o
sétimo, sétimo
melhor, bom
público, público
em, em
um, um
jogo, jogo
do, de o
Paulista, paulista
., .
Logo, logo
na, em o
primeira, primeiro
rodada, rodada
,, ,
em, em
28, 28
de, de
janeiro, janeiro
,, ,
o, o
estádio, estádio
Barão, Barão
de, de
Serra, Serra
Negra, Negra
teve, ter
21.910, 21.910
pagantes, pagante
,, ,
a, o
melhor, bom
marca, marca
fora, fora
de, de
um, um
clássico, clássico
., .

, 

Piracicaba, Piracicaba
vivia, viver
um, um
clima, clima
de, de
expectativa, expectativa
,, ,
já, já
que, que
o, o
novo, novo
patrocinador, patrocinador
da, de o
equipe, equipe
,, ,
a, o
TAM, TAM
,, ,
havia, haver
levado, levar
vários, vários
reforços, reforço
para, para
o, o
time, time
., .

, 

A, o
queda, queda
de, de
rendimento, rendimento
da, de o
equipe, equipe
,, ,
ainda, ainda
no, em o
primeiro, primeiro
turno, turno
,, ,
fez, fazer
desabar, desabar
as, o
rendas, renda
., .
Embora, embora
com, com
média, média
de, de
8.753, 8.753
pagantes, pagante
no, em o
campeonato, campeonato
,, ,
hoje, hoje
o, o
estádio, estádio
vem, vir
recebendo, receber
cerca, cerca
de, de
3.000, 3.000
pagantes, pagante
., .

, 

O, o
declínio, declínio
de, de
Piracicaba, Piracicaba
contrasta, contrastar
com, com
a, o
ascensão, ascensão
de, de
Santos, Santos
., .
A, o
boa, bom
campanha, campanha
do, de o
clube, clube
,, ,
que, que
é, ser
vice-líder, vice-líder
do, de o
campeonato, campeonato
,, ,
resultou, resultar
em, em
arrecadações, arrecadação
maiores, grande
que, que
as, o
do, de o
São, São
Paulo, Paulo
,, ,
o, o
líder, líder
., .

, 

Com, com
transmissão, transmissão
ao, a o
vivo, vivo
pela, por o
TV, tv
,, ,
em, em
uma, um
quinta-feira, quinta-feira
,, ,
o, o
jogo, jogo
Santos, Santos
x, x
Juventus, Juventus
teve, ter
3.663, 3.663
pagantes, pagante
., .
A, o
partida, partida
São, São
Paulo, Paulo
x, x
União, União
,, ,
disputada, disputar
anteontem, anteontem
,, ,
no, em o
Morumbi, Morumbi
,, ,
foi, ser
presenciada, presenciar
por, por
