Autor, ﻿Autor
dos, de o
três, três
gols, gol
da, de o
vitória, vitória
de, de
3, 3
a, a
1, 1
do, de o
Palmeiras, Palmeiras
sobre, sobre
o, o
Corinthians, Corinthians
,, ,
o, o
atacante, atacante
Magrão, Magrão
viveu, viver
ontem, ontem
o, o
seu, seu
dia, dia
de, de
herói, herói
., .

, 

Deu, deu
várias, várias
entrevistas, entrevista
,, ,
foi, ser
saudado, saudar
pelos, por o
torcedores, torcedor
nas, em o
ruas, rua
e, e
recebeu, receber
elogios, elogio
dos, de o
companheiros, companheiro
., .

, 

Há, haver
nove, nove
anos, ano
no, em o
Palmeiras, Palmeiras
,, ,
Magrão, Magrão
,, ,
21, 21
,, ,
sente, sentir
que, que
,, ,
finalmente, finalmente
,, ,
provou, provar
ter, ter
condições, condição
de, de
ser, ser
titular, titular
do, de o
time, time
., .

, 

`, `
`, `
Demorou, Demorou
., .
Trabalhei, Trabalhei
sem, sem
horizontes, horizonte
,, ,
mas, mas
jamais, jamais
desisti, desisti
de, de
jogar, jogar
no, em o
Palmeiras, Palmeiras
., .
Sabia, Sabia
que, que
a, o
minha, meu
vez, vez
iria, ir
chegar, chegar
'', ''
,, ,
afirmou, afirmar
., .

, 

(, (
AR, AR
), )

, 

Folha, Folha
-, -
O, o
que, que
mudou, mudar
na, em o
sua, seu
vida, vida
após, após
os, o
três, três
gols, gol
contra, contra
o, o
Corinthians, Corinthians
?, ?

, 

Magrão, magrão
-, -
O, o
assédio, assédio
da, de o
imprensa, imprensa
e, e
o, o
incentivo, incentivo
dos, de o
torcedores, torcedor
são, ser
as, o
principais, principal
mudanças, mudança
., .
O, o
jogo, jogo
contra, contra
o, o
Corinthians, Corinthians
foi, ser
muito, muito
importante, importante
para, para
minha, meu
vida, vida
e, e
carreira, carreira
., .
Marcou, Marcou
mesmo, mesmo
., .

, 

Mas, mas
tenho, ter
que, que
esquecê-lo, esquecê-lo
e, e
continuar, continuar
o, o
trabalho, trabalho
com, com
a, o
mesma, mesmo
humildade, humildade
de, de
antes, antes
., .
Temos, ter
um, um
jogo, jogo
importante, importante
contra, contra
o, o
América, América
., .

, 

Folha, Folha
-, -
Agora, agora
você, você
se, se
sente, sentir
preparado, preparar
para, para
ser, ser
titular, titular
do, de o
Palmeiras, Palmeiras
?, ?

, 

Magrão, magrão
-, -
O, o
importante, importante
é, ser
que, que
mostrei, mostrar
,, ,
contra, contra
o, o
Corinthians, Corinthians
,, ,
que, que
tenho, ter
condições, condição
de, de
ser, ser
titular, titular
., .
Estou, estar
preparado, preparar
para, para
conquistar, conquistar
o, o
meu, meu
espaço, espaço
,, ,
mas, mas
aceito, aceitar
voltar, voltar
para, para
a, o
reserva, reserva
normalmente, normalmente
., .

, 

Folha, Folha
-, -
Você, Você
não, não
se, se
sente, sentir
desprestigiado, desprestigiar
no, em o
clube, clube
por, por
ser, ser
um, um
jogador, jogador
formado, formar
nas, em o
categorias, categoria
de, de
base, base
?, ?

, 

Magrão, magrão
-, -
Já, já
joguei, joguar
nas, em o
seleções, seleção
brasileiras, brasileiro
de, de
juvenis, juvenis
e, e
juniores, juniores
e, e
nunca, nunca
tive, ter
o, o
mesmo, mesmo
reconhecimento, reconhecimento
no, em o
Palmeiras, Palmeiras
., .
Pela, por o
grandeza, grandeza
do, de o
clube, clube
,, ,
cobram, cobrar
muito, muito
dos, de o
jogadores, jogador
formados, formar
aqui, aqui
., .

, 

Por, por
outro, outro
lado, lado
,, ,
por, por
ser, ser
prata-da-casa, prata-da-casa
,, ,
nunca, nunca
quiseram, querer
me, eu
vender, vender
., .
Prova, prova
disso, de isso
é, ser
que, que
renovaram, renovar
meu, meu
contrato, contrato
até, até
março, março
de, de
1996, 1996
., .

, 

