Rubens, ﻿Rubens
Barrichello, Barrichello
abandonou, abandonar
o, o
GP, GP
de, de
Mônaco, Mônaco
após, após
60, 60
voltas, volta
com, com
problemas, problema
no, em o
acelerador, acelerador
de, de
seu, seu
carro, carro
., .

, 

Ao, ao
contrário, contrário
do, de o
que, que
havia, haver
acontecido, acontecer
há, há
duas, dois
semanas, semana
,, ,
em, em
Barcelona, Barcelona
,, ,
desta, de $2e
vez, vez
o, o
dispositivo, dispositivo
estava, estar
acelerando, acelerar
o, o
carro, carro
., .

, 

`, `
`, `
Tive, ter
que, que
parar, parar
,, ,
pois, pois
não, não
conseguia, conseguir
mais, mais
manter, manter
o, o
controle, controle
sobre, sobre
o, o
carro, carro
., .
Ficou, ficar
perigoso, perigoso
., .
'', ''

, 

Seu, seu
companheiro, companheiro
,, ,
Eddie, Eddie
Irvine, Irvine
,, ,
deixou, deixar
a, o
prova, prova
antes, antes
,, ,
no, em o
22º, 22º
giro, giro
., .
Uma, um
de, de
suas, seu
rodas, roda
quebrou, quebrar
,, ,
problema, problema
que, que
não, não
afetou, afetar
o, o
brasileiro, brasileiro
por, por
pouco, pouco
,, ,
segundo, segundo
ele, ele
mesmo, mesmo
., .

, 

`, `
`, `
Se, se
fizesse, fizesse
minha, meu
primeira, primeiro
parada, parada
duas, dois
voltas, volta
depois, depois
,, ,
acho, achar
que, que
ficava, ficar
sem, sem
as, o
rodas, roda
'', ''
,, ,
afirmou, afirmar
., .

, 

Tantos, tanto
problemas, problema
levaram, levar
Barrichello, Barrichello
a, a
revelar, revelar
que, que
a, o
Jordan, Jordan
passa, passar
por, por
um, um
momento, momento
delicado, delicar
., .
Eddie, Eddie
Jordan, Jordan
,, ,
proprietário, proprietário
do, de o
time, time
,, ,
e, e
a, o
Peugeot, Peugeot
vivem, viver
um, um
conflito, conflito
., .

, 

`, `
`, `
A, o
falta, falta
de, de
resultados, resultado
está, estar
fazendo, fazer
que, que
um, um
lado, lado
pressione, pressione
o, o
outro, outro
., .
Eddie, eddie
reclama, reclamar
dos, de o
motores, motor
e, e
os, o
franceses, francês
do, de o
carro, carro
,, ,
que, que
também, também
não, não
é, ser
bom, bom
'', ''
,, ,
disse, dizer
., .

, 

O, o
exemplo, exemplo
mais, mais
gritante, gritante
da, de o
falta, falta
de, de
sintonia, sintonia
dentro, dentro
da, de o
equipe, equipe
foi, ser
dado, dar
pelo, por o
próprio, próprio
piloto, piloto
., .

, 

`, `
`, `
O, o
motor, motor
que, que
eu, eu
usei, usei
no, em o
warm, warm
up, up
era, ser
mais, mais
rápido, rápido
que, que
o, o
que, que
me, eu
deram, dar
na, em o
classificação, classificação
., .
E, e
eles, eles
não, não
sabiam, sab
o, o
por, por
quê, quê
'', ''
,, ,
contou, contar
., .

, 

Quanto, quanto
ao, a o
seu, seu
relacionamento, relacionamento
com, com
o, o
time, time
,, ,
o, o
piloto, piloto
negou, negar
estar, estar
tendo, ter
problemas, problema
., .

, 

(, (
JHM, JHM
), )

, 

