Cinco, ﻿Cinco
jogadores, jogador
do, de o
Palmeiras, Palmeiras
foram, ser
convocados, convocar
ontem, ontem
para, para
o, o
jogo, jogo
da, de o
seleção, seleção
brasileira, brasileiro
contra, contra
Israel, Israel
,, ,
dia, dia
17, 17
,, ,
na, em o
cidade, cidade
israelense, israelense
de, de
Tel, Tel
Aviv, Aviv
., .

, 

O, o
zagueiro, zagueiro
Cléber, Cléber
e, e
o, o
lateral-esquerdo, lateral-esquerdo
Roberto, Roberto
Carlos, Carlos
devem, dever
ser, ser
titulares, titular
., .
O, o
meia, meia
Rivaldo, Rivaldo
tem, ter
chances, chance
., .
O, o
meias, meia
defensivos, defensivo
Flávio, Flávio
Conceição, Conceição
e, e
Amaral, Amaral
provavelmente, provavelmente
serão, ser
reservas, reserva
., .

, 

As, o
quatro, quatro
maiores, grande
novidades, novidade
da, de o
lista, lista
de, de
jogadores, jogador
são, ser
Amaral, Amaral
,, ,
o, o
lateral-esquerdo, lateral-esquerdo
Roger, Roger
(, (
Grêmio-RS, Grêmio-RS
), )
e, e
os, o
atacantes, atacante
Leandro, Leandro
(, (
Inter-RS, Inter-RS
), )
e, e
Caio, Caio
(, (
São, São
Paulo, Paulo
), )
., .

, 

Eles, eles
foram, ser
chamados, chamar
pela, por o
primeira, primeira
vez, vez
para, para
a, o
seleção, seleção
adulta, adulto
., .
Caio, Caio
integrou, integrar
a, o
seleção, seleção
que, que
conquistou, conquistar
no, em o
mês, mês
passado, passado
o, o
vice-campeonato, vice-campeonato
mundial, mundial
de, de
juniores, juniores
(, (
atletas, atleta
até, até
19, 19
anos, ano
), )
., .

, 

O, o
técnico, técnico
Mario, Mario
Jorge, Jorge
Zagallo, Zagallo
eliminou, eliminar
da, de o
lista, lista
o, o
zagueiro, zagueiro
Márcio, Márcio
Santos, Santos
(, (
do, de o
clube, clube
italiano, italiano
Fiorentina, Fiorentina
), )
,, ,
cuja, cujo
convocação, convocação
havia, haver
sido, ser
anunciada, anunciar
na, em o
semana, semana
passada, passado
., .
O, o
jogador, jogador
pediu, pedir
afastamento, afastamento
alegando, alegar
estresse, estresse
., .

, 

O, o
treinador, treinador
afirmou, afirmar
que, que
o, o
atacante, atacante
Edmundo, Edmundo
,, ,
do, de o
Palmeiras, Palmeiras
,, ,
ficará, ficar
fora, fora
da, de o
seleção, seleção
`, `
`, `
enquanto, enquanto
não, não
mudar, mudar
o, o
comportamento, comportamento
., .
Não, não
vou, ir
premiar, premiar
indisciplina, indisciplina
'', ''
., .

, 

`, `
`, `
Chamá-lo, Chamá-lo
seria, ser
um, um
prêmio, prêmio
às, a o
suas, seu
atitudes, atitude
no, em o
clube, clube
., .
Sei, saber
que, que
o, o
que, que
ele, ele
mais, mais
quer, querer
é, ser
chegar, chegar
à, a o
seleção, seleção
,, ,
mas, mas
essa, esse
não, não
é, ser
a, o
hora, hora
., .
Como, como
é, ser
craque, craque
,, ,
um, um
dia, dia
o, o
convocarei, convocarar
., .
'', ''

, 

O, o
técnico, técnico
tem, ter
uma, um
dúvida, dúvida
para, para
a, o
equipe, equipe
que, que
enfrentará, enfrentar
Israel, Israel
:, :
o, o
palmeirense, palmeirense
Rivaldo, Rivaldo
ou, ou
o, o
botafoguense, botafoguense
Sérgio, Sérgio
Manoel, Manoel
no, em o
meio, meio
., .

, 

`, `
`, `
O, o
Rivaldo, Rivaldo
começou, começar
bem, bem
na, em o
seleção, seleção
,, ,
piorou, piorar
,, ,
mas, mas
se, se
recuperou, recuperar
no, em o
clube, clube
'', ''
,, ,
disse, dizer
Zagallo, Zagallo
., .
`, `
`, `
Não, não
é, ser
como, como
o, o
Elivélton, Elivélton
(, (
Corinthians, Corinthians
), )
,, ,
que, que
teve, ter
uma, um
ascensão, ascensão
fulminante, fulminante
,, ,
afundou, afundar
e, e
não, não
se, se
levantou, levantar
mais, mais
., .
'', ''

, 

O, o
provável, provável
time, time
titular, titular
é, ser
o, o
seguinte, seguinte
:, :
Zetti, Zetti
;, ;
Cafu, Cafu
,, ,
Aldair, Aldair
,, ,
Cléber, Cléber
e, e
Roberto, Roberto
Carlos, Carlos
;, ;
