Várias, ﻿Vária
medidas, medido
propostas, propor
pelo, por o
projeto, projeto
de, de
lei, lei
do, de o
deputado, deputado
Arlindo, Arlindo
Chinaglia, Chinaglia
(, (
PT-SP, PT-SP
), )
estão, estar
provocando, provocar
polêmica, polêmica
., .

, 

Para, para
Jamelão, Jamelão
,, ,
presidente, presidente
da, de o
torcida, torcida
corintiana, corintiano
Gaviões, Gaviões
da, de o
Fiel, Fiel
,, ,
a, o
maior, grande
de, de
São, São
Paulo, Paulo
,, ,
é, ser
preciso, preciso
levar, levar
em, em
consideração, consideração
o, o
impacto, impacto
econômico, econômico
das, de o
medidas, medida
., .

, 

`, `
`, `
Apoiamos, Apoiamos
a, o
numeração, numeração
das, de o
cadeiras, cadeira
e, e
a, o
instalação, instalação
de, de
sistemas, sistema
de, de
vídeo, vídeo
,, ,
mas, mas
o, o
futebol, futebol
é, ser
a, o
única, único
festa, festa
do, de o
povo, povo
e, e
isso, isso
vai, ir
encarecer, encarecer
o, o
ingresso, ingresso
., .
Foi, ser
o, o
que, que
aconteceu, acontecer
no, em o
Pacaembu, Pacaembu
,, ,
que, que
instalou, instalar
cadeiras, cadeira
novas, novo
e, e
numeradas, numerado
'', ''
,, ,
afirmou, afirmar
., .

, 

O, o
presidente, presidente
do, de o
Santos, Santos
,, ,
Samir, Samir
Abdul, Abdul
Hack, Hack
,, ,
acredita, acreditar
que, que
a, o
modernização, modernização
dos, de o
estádios, estádio
terá, ter
um, um
custo, custo
,, ,
mas, mas
que, que
ele, ele
pode, poder
ser, ser
amortizado, amortizar
de, de
outras, outro
maneiras, maneira
., .

, 

`, `
`, `
A, o
Federação, Federação
Paulista, Paulista
de, de
Futebol, Futebol
já, já
se, se
ofereceu, oferecer
para, para
ajudar, ajudar
o, o
Santos, Santos
a, a
colocar, colocar
assentos, assento
numerados, numerar
na, em o
Vila, Vila
Belmiro, Belmiro
'', ''
,, ,
disse, dizer
., .

, 

A, o
Fifa, Fifa
,, ,
órgão, órgão
máximo, grande
do, de o
futebol, futebol
mundial, mundial
,, ,
prevê, prever
que, que
somente, somente
estádios, estádio
com, com
todos, todo
os, o
assentos, assento
numerados, numerado
podem, poder
ser, ser
usados, usar
na, em o
Copa, Copa
do, de o
Mundo, Mundo
., .

, 

Assim, assim
,, ,
se, se
o, o
Brasil, Brasil
quiser, querer
se, se
candidatar, candidatar
a, a
abrigar, abrigar
um, um
Mundial, Mundial
,, ,
essa, esse
modernização, modernização
terá, ter
de, de
ser, ser
feita, fazer
., .

, 

Jamelão, Jamelão
defende, defender
também, também
o, o
cadastramento, cadastramento
das, de o
torcidas, torcida
organizadas, organizado
,, ,
previsto, prever
pelo, por o
projeto, projeto
., .
Mas, mas
,, ,
segundo, segundo
ele, ele
,, ,
os, o
atos, ato
de, de
violência, violência
não, não
partem, partir
dessas, de esse
torcidas, torcida
., .

, 

`, `
`, `
É, ser
preciso, preciso
controlar, controlar
a, o
venda, venda
de, de
camisetas, camiseta
falsificadas, falsificar
das, de o
torcidas, torcida
., .
As, o
pessoas, pessoa
brigam, brigar
usando, usar
essas, esse
camisas, camisa
e, e
a, o
torcida, torcida
leva, levar
a, o
fama, fama
'', ''
,, ,
disse, dizer
o, o
dirigente, dirigente
., .

, 

Segundo, segundo
o, o
tenente-coronel, tenente-coronel
Carlos, Carlos
Alberto, Alberto
de, de
Camargo, Camargo
,, ,
a, o
Polícia, Polícia
Militar, Militar
de, de
São, São
Paulo, Paulo
já, já
vem, vir
realizando, realizar
boa, bom
parte, parte
das, de o
medidas, medida
previstos, prever
pelo, por o
projeto, projeto
de, de
lei, lei
., .

, 

Ele, ele
é, ser
cético, cético
,, ,
porém, porém
,, ,
quanto, quanto
à, a o
possibilidade, possibilidade
de, de
conter, conter
a, o
violência, violência
`, `
`, `
por, por
decreto, decreto
'', ''
., .

, 

`, `
`, `
Nós, nós
acreditamos, acreditar
na, em o
força, força
das, de o
pequenas, pequeno
providências, providência
para, para
resolver, resolver
grandes, grande
problemas, problema
,, ,
e, e
não, não
em, em
uma, um
solução, solução
única, único
'', ''
,, ,
disse, dizer
., .

, 

Segundo, segundo
ele, ele
,, ,
as, o
técnicas, técnica
a, a
serem, ser
usadas, usar
no, em o
combate, combate
à, a o
violência, violência
,, ,
como, como
o, o
uso, uso
de, de
câmeras, câmera
de, de
vídeo, vídeo
,, ,
não, não
deve, dever
constar, constar
da, de o
lei, lei
., .

, 

`, `
`, `
Se, se
amanhã, amanhã
houver, haver
uma, um
técnica, técnica
melhor, bom
,, ,
seremos, ser
obrigados, obrigar
a, a
manter, manter
as, o
câmeras, câmera
,, ,
pois, pois
a, o
lei, lei
nos, nós
obrigará, obrigar
'', ''
,, ,
afirmou, afirmar
., .

, 

(, (
HuSa, HuSa
), )

, 

