Mais, ﻿Mal
do, de o
que, que
uma, um
corrida, corrida
,, ,
as, o
500, 500
Milhas, milha
de, de
Indianápolis, Indianápolis
são, ser
uma, um
festa, festa
tipicamente, tipicamente
norte-americana, norte-americano
que, que
acontece, acontecer
ao, a o
longo, longo
do, de o
mês, mês
de, de
maio, maio
., .

, 

Enquanto, enquanto
equipes, equipe
e, e
pilotos, piloto
treinam, treinar
e, e
buscam, buscar
a, o
classificação, classificação
para, para
a, o
`, `
`, `
maior, grande
corrida, corrida
do, de o
mundo, mundo
'', ''
,, ,
milhares, milhar
de, de
torcedores, torcedor
passeiam, passe
pelo, por o
Indianapolis, Indianapolis
Motor, Motor
Speedway, Speedway
., .

, 

Suas, suas
principais, principal
atividades, atividade
:, :
comprar, comprar
o, o
maior, grande
número, número
de, de
souvenires, souvenir
possível, possível
,, ,
beber, beber
cerveja, cerveja
e, e
comer, comer
., .

, 

Debaixo, debaixo
de, de
sol, sol
,, ,
homens, homem
sem, sem
camisa, camisa
e, e
mulheres, mulher
de, de
biquíni, biquíni
passeiam, passe
pelo, por o
Fanfest, Fanfest
,, ,
uma, um
feira, feira
montada, montar
no, em o
interior, interior
do, de o
autódromo, autódromo
., .

, 

Ali, ali
,, ,
visitam, visitar
as, o
barracas, barraca
,, ,
uma, um
para, para
cada, cada
piloto, piloto
., .

, 

Pode-se, Pode-se
,, ,
facilmente, facilmente
,, ,
realizar, realizar
um, um
sonho, sonho
:, :
`, `
`, `
ser, ser
'', ''
Michael, Michael
Andretti, Andretti
., .
Pela, por o
bagatela, bagatela
de, de
US$, US$
595,00, 595,00
,, ,
compra-se, comprar se
o, o
macacão, macacão
do, de o
norte-americano, norte-americano
,, ,
com, com
direito, direito
a, a
patrocinadores, patrocinador
e, e
tudo, tudo
o, o
mais, mais
., .

, 

Surpreendentemente, surpreendentemente
,, ,
o, o
carro, carro
de, de
Andretti, Andretti
sai, sair
de, de
graça, graça
para, para
o, o
torcedor, torcedor
., .

, 

Um, um
simulador, simulador
,, ,
montado, montar
por, por
uma, um
cervejaria, cervejario
,, ,
mostra, mostrar
todas, todo
as, o
sensações, sensação
de, de
pilotar, pilotar
em, em
Indianápolis, Indianápolis
., .

, 

Basta, Basta
ao, a o
torcedor, torcedor
,, ,
no, em o
entanto, entanto
,, ,
ter, ter
paciência, paciência
e, e
aguardar, aguardar
por, por
cerca, cerca
de, de
uma, um
hora, hora
na, em o
fila, fila
para, para
o, o
brinquedo, brinquedo
., .

, 

Mas, mas
,, ,
se, se
passar, passar
pelo, por o
desafio, desafio
,, ,
poderá, poder
fazer, fazer
algo, algo
que, que
Andretti, Andretti
gostaria, gostar
muito, muito
de, de
ter, ter
feito, fazer
ontem, ontem
:, :
tomar, tomar
o, o
leite, leite
da, de o
vitória, vitória
da, de o
prova, prova
., .

, 

Por, por
apenas, apenas
US$, US$
3,00, 3,00
,, ,
o, o
`, `
`, `
race, race
fan, fan
'', ''
bebe, beber
um, um
copo, copo
de, de
leite, leite
puro, puro
ou, ou
achocolatado, achocolatado
., .

, 

De, de
quebra, quebra
,, ,
leva, levar
o, o
copo, copo
_, _
com, com
a, o
inscrição, inscrição
`, `
`, `
os, o
vencedores, vencedor
bebem, beber
leite, leite
'', ''
_, _
para, para
casa, casa
., .

, 

Vencedor, Vencedor
mesmo, mesmo
,, ,
no, em o
entanto, entanto
,, ,
é, ser
quem, quem
sobrevive, sobreviver
a, a
uma, um
coxa, coxa
de, de
peru, peru
_, _
mais, mais
parece, parecer
a, o
coxa, coxa
de, de
uma, um
ema, ema
_, _
,, ,
servida, server
,, ,
por, por
US$, US$
4,50, 4,50
,, ,
na, em o
feira, feira
., .

, 

Depois, depois
dela, de ela
,, ,
só, só
mesmo, mesmo
um, um
descanso, descanso
no, em o
gramado, gramado
central, central
do, de o
circuito, circuito
., .

, 

Ou, ou
nos, em o
traillers, trailler
instalados, instalar
nas, em o
ruas, rua
que, que
cercam, cercar
a, o
pista, pista
de, de
Indianápolis, Indianápolis
., .

, 

Os, o
vizinhos, vizinho
do, de o
autódromo, autódromo
,, ,
aliás, aliás
,, ,
não, não
dormem, dormer
de, de
sábado, sábado
para, para
domingo, domingo
., .
Muitos, muito
alugam, alugar
seus, seu
quintais, quintal
como, como
estacionamento, estacionamento
para, para
quem, quem
vai, ir
assistir, assistir
à, a o
corrida, corrida
., .

, 

Na, em o
madrugada, madrugada
,, ,
os, o
`, `
`, `
race, race
fans, fans
'', ''
bebem, beber
mais, mais
cerveja, cervejo
,, ,
enquanto, enquanto
aguardam, aguardar
a, o
abertura, abertura
dos, de o
portões, portão
,, ,
às, a o
5h, 5h
., .

, 

Para, para
descontrair, descontrair
,, ,
fazem, fazer
um, um
apelo, apelo
às, a o
garotas, garota
que, que
passam, passar
pela, por o
rua, rua
:, :
`, `
`, `
show, show
us, us
your, Your
tits, Tits
'', ''
(, (
mostre-nos, mostre-nos
os, o
seus, seu
seios, seio
), )
., .
Algumas, algum
correspondem, corresponder
ao, a o
pedido, pedido
,, ,
para, para
o, o
delírio, delírio
da, de o
torcida, torcida
., .

, 

(, (
MT, MT
), )

, 

