Amistosos, ﻿Amistoso
do, de o
Brasil, Brasil
foram, ser
usados, usar
para, para
promover, promover
jogadores, jogador
ligados, ligar
ao, a o
empresário, empresário
português, português
Manuel, Manuel
Barbosa, Barbosa
., .

, 

No, em o
ano, ano
passado, passado
,, ,
antes, antes
da, de o
Copa, Copa
do, de o
Mundo, Mundo
,, ,
a, o
seleção, seleção
enfrentou, enfrentar
_, _
0, 0
a, a
0, 0
_, _
em, em
Paris, Paris
,, ,
na, em o
França, França
,, ,
um, um
`, `
`, `
combinado, combinar
'', ''
do, de o
clube, clube
Paris, Paris
Saint-Germain, Saint-Germain
(, (
PSG, PSG
), )
., .

, 

O, o
adversário, adversário
do, de o
Brasil, Brasil
deveria, dever
ser, ser
`, `
`, `
só, só
'', ''
o, o
PSG, PSG
,, ,
mas, mas
Barbosa, Barbosa
,, ,
ligado, ligar
ao, a o
clube, clube
francês, francês
,, ,
conseguiu, conseguir
que, que
o, o
jogador, jogador
brasileiro, brasileiro
Assis, Assis
,, ,
do, de o
clube, clube
suíço, suíço
Sion, Sion
,, ,
atuasse, atuar
., .

, 

A, o
operação, operação
se, se
repetiu, repetir
no, em o
último, último
dia, dia
27, 27
de, de
abril, abril
,, ,
quando, quando
a, o
seleção, seleção
enfrentou, enfrentar
o, o
Valencia, Valencia
,, ,
na, em o
Espanha, Espanha
., .

, 

Barbosa, Barbosa
transformou, transformar
o, o
clube, clube
em, em
um, um
`, `
`, `
combinado, combinar
'', ''
., .

, 

Ofereceu, Ofereceu
ao, a o
técnico, técnico
do, de o
time, time
,, ,
o, o
brasileiro, brasileiro
Carlos, Carlos
Alberto, Alberto
Parreira, Parreira
,, ,
dois, dois
argentinos, argentino
para, para
o, o
amistoso, amistoso
:, :
Latorre, Latorre
(, (
do, de o
Tenerife, Tenerife
,, ,
da, de o
Espanha, Espanha
), )
e, e
Caniggia, Caniggia
(, (
Benfica, Benfica
,, ,
de, de
Portugal, Portugal
), )
., .

, 

Com, com
medo, medo
de, de
sofrer, sofrer
uma, um
goleada, goleada
,, ,
Parreira, Parreira
aceitou, aceitar
., .

, 

A, o
seleção, seleção
não, não
recebe, receber
adicional, adicional
ao, a o
cachê, cachê
estabelecido, estabelecer
por, por
servir, servir
de, de
vitrine, vitrine
para, para
jogadores, jogador
de, de
futebol, futebol
em, em
busca, busca
de, de
novos, novo
`, `
`, `
patrões, patrão
'', ''
., .

, 

A, o
atividade, atividade
de, de
empresário, empresário
do, de o
mercado, mercado
futebolístico, futebolístico
foi, ser
regulamentada, regulamentar
pela, por o
Fifa, Fifa
(, (
entidade, entidade
que, que
dirige, dirigir
o, o
futebol, futebol
mundial, mundial
), )
em, em
94, 94
., .

, 

Barbosa, Barbosa
é, ser
um, um
dos, de o
poucos, pouco
que, que
já, já
têm, ter
carteirinha, carteirinha
de, de
empresário, empresário
distribuída, distribuir
pela, por o
Fifa, Fifa
., .
Ele, ele
é, ser
o, o
preferido, preferido
dos, de o
atletas, atleta
brasileiros, brasileiro
radicados, radicar
na, em o
Europa, Europa
., .
(, (
MM, MM
), )

, 

