Milhares, ﻿Milhar
de, de
pessoas, pessoa
recepcionaram, recepcionar
o, o
atacante, atacante
Edmundo, Edmundo
,, ,
novo, novo
jogador, jogador
do, de o
Flamengo, Flamengo
,, ,
ontem, ontem
,, ,
no, em o
Rio, Rio
de, de
Janeiro, Janeiro
., .

, 

O, o
desfile, desfile
em, em
carro, carro
do, de o
Corpo, Corpo
de, de
Bombeiros, Bombeiros
provocou, provocar
engarrafamento, engarrafamento
de, de
seis, seis
quilômetros, quilômetro
., .
A, o
polícia, polícia
não, não
avaliou, avaliar
o, o
número, número
de, de
torcedores, torcedor
nas, em o
ruas, rua
., .

, 

Em, em
homenagem, homenagem
ao, a o
atacante, atacante
,, ,
apelidado, apelidar
de, de
`, `
`, `
Animal, Animal
'', ''
,, ,
torcedores, torcedor
levaram, levar
às, a o
ruas, rua
animais, animal
de, de
estimação, estimação
., .
Um, um
circo, circo
cedeu, ceder
dois, dois
elefantes, elefante
,, ,
um, um
tigre, tigre
e, e
um, um
macaco, macaco
para, para
acompanhar, acompanhar
a, o
`, `
`, `
carreata, carreato
'', ''
., .
Edmundo, edmundo
abraçou, abraçar
o, o
chimpanzé, chimpanzé
., .

, 

De, de
manhã, manhã
,, ,
em, em
São, São
Paulo, Paulo
,, ,
o, o
ex-jogador, ex-jogador
do, de o
Palmeiras, Palmeiras
faz, fazer
cooper, cooper
no, em o
Ibirapuera, Ibirapuera
., .
Chegou, chegar
ao, a o
Rio, Rio
em, em
um, um
jatinho, jatinho
,, ,
às, a o
12h33, 12h33
., .

, 

Foi, foi
à, a o
Prefeitura, prefeitura
,, ,
onde, onde
o, o
prefeito, prefeito
César, César
Maia, Maia
,, ,
torcedor, torcedor
do, de o
Botafogo, Botafogo
,, ,
o, ele
recebeu, receber
., .
Maia, Maia
disse, dizer
apoiar, apoiar
a, o
proposta, proposta
do, de o
Flamengo, Flamengo
para, para
mudar, mudar
o, o
regulamento, regulamento
do, de o
Estadual, Estadual
,, ,
permitindo, permitir
que, que
Edmundo, Edmundo
participe, participe
das, de o
cinco, cinco
últimas, último
partidas, partida
da, de o
equipe, equipe
na, em o
competição, competição
., .

, 

A, o
primeira, primeiro
seria, ser
domingo, domingo
,, ,
contra, contra
o, o
Vasco, Vasco
., .
Pelo, por o
regulamento, regulamento
,, ,
terminou, terminar
o, o
prazo, prazo
de, de
inscrição, inscrição
de, de
jogadores, jogador
., .

, 

Com, com
entonação, entonação
semelhante, semelhante
à, a o
de, de
animadores, animador
de, de
programas, programa
de, de
auditório, auditório
,, ,
o, o
prefeito, prefeito
perguntou, perguntar
ao, a o
jogador, jogador
se, se
este, este
quer, querer
usar, usar
a, o
camisa, camisa
7, 7
ou, ou
9, 9
., .

, 

`, `
`, `
Como, como
estamos, estar
numa, em um
democracia, democracia
,, ,
cabe, caber
à, a o
nação, nação
rubro-negra, rubro-negro
decidir, decidir
'', ''
,, ,
disse, dizer
Edmundo, Edmundo
sobre, sobre
a, o
torcida, torcida
do, de o
clube, clube
., .

, 

O, o
diálogo, diálogo
estava, estar
combinado, combinado
_, _
o, o
Flamengo, Flamengo
vai, ir
promover, promover
na, em o
televisão, televisão
uma, um
enquete, enquete
com, com
a, o
torcida, torcida
para, para
definir, definir
o, o
número, número
., .
Quem, quem
ligar, ligar
vai, ir
pagar, pagar
R$, R$
3,00, 3,00
ao, a o
clube, clube
., .

, 

O, o
passe, passe
de, de
Edmundo, Edmundo
custou, custar
US$, US$
5, 5
milhões, milhão
ao, a o
Flamengo, Flamengo
., .
A, o
maior, grande
parte, parte
será, ser
paga, pagar
pela, por o
empreiteira, empreiteira
Pinto, Pinto
de, de
Almeida, Almeida
,, ,
que, que
vai, ir
construir, construir
um, um
shopping, shopping
center, center
no, em o
terreno, terreno
onde, onde
hoje, hoje
fica, ficar
o, o
estádio, estádio
do, de o
clube, clube
., .

, 

No, em o
início, início
da, de o
noite, noite
,, ,
estava, estar
prevista, previsto
uma, um
visita, visita
de, de
Edmundo, Edmundo
ao, a o
atacante, atacante
flameguista, flameguista
Romário, Romário
., .

, 

Romário, Romário
deixou, deixar
ontem, ontem
,, ,
às, a o
10h, 10h
,, ,
a, o
clínica, clínica
onde, onde
se, se
submeteu, submeter
a, o
cirurgia, cirurgia
para, para
retirar, retirar
fragmentos, fragmento
de, de
uma, um
cartilagem, cartilagem
do, de o
joelho, joelho
esquerdo, esquerdo
., .
Romário, Romário
só, só
deve, dever
voltar, voltar
a, a
jogar, jogar
em, em
39, 39
dias, dia
., .

, 

O, o
Flamengo, Flamengo
anunciou, anunciar
ontem, ontem
nova, novo
contratação, contratação
:, :
o, o
lateral, lateral
Rodrigo, Rodrigo
,, ,
do, de o
Vitória, vitória
(, (
BA, BA
), )
,, ,
convocado, convocar
para, para
a, o
seleção, seleção
brasileira, brasileiro
que, que
vai, ir
disputar, disputar
o, o
Torneio, Torneio
da, de o
Inglaterra, Inglaterra
,, ,
em, em
junho, junho
., .

, 

O, o
clube, clube
está, estar
tentando, tentar
contratar, contratar
o, o
zagueiro, zagueiro
Ronaldão, Ronaldão
(, (
Shimizu, Shimizu
,, ,
do, de o
Japão, Japão
), )
e, e
o, o
meia, meia
César, César
Sampaio, Sampaio
(, (
Yokohoma, Yokohoma
Flugels, Flugels
,, ,
também, também
do, de o
Japão, Japão
), )
., .

, 

