Porto, ﻿Porto
de, de
Galinhas, Galinhas
já, já
é, ser
o, o
máximo, grande
antes, antes
de, de
se, se
chegar, chegar
lá, lá
., .
O, o
trajeto, trajeto
de, de
cerca, cerca
de, de
50, 50
minutos, minuto
de, de
carro, carro
a, a
partir, partir
do, de o
aeroporto, aeroporto
de, de
Guararapes, Guararapes
,, ,
em, em
Recife, Recife
,, ,
já, já
prepara, preparar
o, o
felizardo, felizardo
em, em
questão, questão
:, :
uma, um
estradinha, estradinha
de, de
mão, mão
dupla, duplo
com, com
muito, muito
verde, verde
–, –
da, de o
cana, cana
–, –
,, ,
muito, muito
azul, azul
–, –
do, de o
céu, céu
,, ,
sempre, sempre
limpo, Limpo
–, –
e, e
uma, um
luz, luz
de, de
enlouquecer, enlouquecer
qualquer, qualquer
mortal, mortal
., .
Tudo, tudo
isso, isso
contiua, contiua
na, em o
chegada, chegada
,, ,
com, com
a, o
vantagem, vantagem
de, de
se, se
acrescentar, acrescentar
à, a o
cena, cena
um, um
mar, mar
,, ,
mas, mas
um, um
marzão, marzão
daqueles, de aquele
verdes, verde
–, –
ou, ou
será, ser
azul, azul
?, ?
–, –
,, ,
com, com
arrecifes, arrecifes
que, que
transformam, transformar
a, o
água, água
em, em
tons, tom
dignos, digno
do, de o
Taiti, Taiti
., .

, 

Acrescente-se, Acrescente-se
ainda, ainda
uma, um
coleção, coleção
de, de
jangadas, jangada
., .
Você, você
já, já
andou, andar
de, de
jangada, jangada
?, ?
Então, então
está, estar
mais, mais
do, de o
que, que
na, em o
hora, hora
., .
Como, como
elas, ele
só, só
circulam, circular
do, de o
lado, lado
de, de
cá, cá
das, de o
pedras, pedra
,, ,
nada, nada
de, de
riscos, risco
., .
Apenas, apenas
a, o
sensação, sensação
mais, mais
zen, zen
que, que
se, se
pode, poder
experimentar, experimentar
,, ,
uma, um
espécie, espécie
de, de
fusão, fusão
com, com
o, o
mar, mar
., .
Mas, mas
isso, isso
é, ser
só, só
o, o
começo, começo
., .
Para, para
a, o
chegada, chegada
está, estar
bom, bom
,, ,
não, não
está, estar
?, ?

, 

Só, só
que, que
tem, ter
pelo, por o
menos, menos
mais, mais
dois, dois
passeios, passeio
,, ,
fundamentais, fundamental
., .
De, de
um, um
lado, lado
,, ,
o, o
Muro, Muro
Alto, Alto
,, ,
um, um
pedaço, pedaço
de, de
praia, praia
prensado, prensar
em, em
um, um
colar, colar
de, de
arrecifes, arrecifes
,, ,
que, que
transforma, transformar
o, o
mar, mar
em, em
um, um
piscinão, piscinão
com, com
águas, água
translúcidas, translúcido
., .
E, e
o, o
melhor, bom
de, de
tudo, tudo
,, ,
sempre, sempre
vazio, vazio
., .
Mesmo, mesmo
na, em o
alta, alto
temporada, temporada
,, ,
Muro, Muro
Alto, Alto
sempre, sempre
é, ser
um, um
desfrute, desfrute
., .
Na, em o
ponta, ponta
oposta, oposto
fica, ficar
o, o
pontal, pontal
de, de
Maracaipe, Maracaipe
,, ,
um, um
encontro, encontro
do, de o
mar, mar
com, com
o, o
rio, rio
,, ,
visual, visual
também, também
para, para
400, 400
talheres, talhere
., .

, 

Como, como
em, em
vários, vários
", "
points, points
", "
do, de o
Nordeste, nordeste
,, ,
um, um
bugue, bugue
é, ser
muito, muito
bem, bem
vindo, vir
para, para
os, o
passeios, passeio
., .
Se, se
você, você
ficar, ficar
hospedado, hospedado
no, em o
Pontal, pontal
de, de
Ocaporã, Ocaporã
,, ,
o, o
melhor, bom
hotel, hotel
da, de o
região, região
(, (
tel., tel.
081-5521400, 081-5521400
), )
,, ,
além, além
de, de
usufruir, usufruir
de, de
um, um
dos, de o
mais, mais
bonitos, bonito
pedaços, pedaço
da, de o
praia, praia
–, –
e, e
quartos, quarto
pendurados, pendurar
sobre, sobre
a, o
própria, próprio
,, ,
com, com
rede, rede
e, e
todas, todo
as, o
infras, infra
necessárias, necessário
–, –
,, ,
há, haver
bugues, bugue
a, a
granel, granel
para, para
alugar, alugar
., .

, 

Na, em o
vila, vila
,, ,
os, o
passeios, passeio
ao, a o
cair, cair
da, de o
tarde, tarde
dão, dar
um, um
toque, toque
de, de
cidade, cidade
do, de o
interior, interior
,, ,
com, com
direito, direito
a, a
coco, coco
gelado, gelar
,, ,
conversas, conversa
de, de
pescador, pescador
–, –
com, com
Pinto, Pinto
,, ,
por, por
exemplo, exemplo
,, ,
o, o
mais, mais
famoso, famoso
da, de o
região, região
., .
Três, três
de, de
seus, seu
filhos, filho
são, ser
jangadeiros, jangadeiro
., .
Assim, assim
como, como
Jack, Jack
,, ,
considerado, considerar
o, o
mais, mais
simpático, simpático
e, e
prestativo, prestativo
do, de o
pedaço, pedaço
., .

, 

Para, para
aluguel, aluguel
de, de
material, material
de, de
pesca, pesca
e, e
outros, outro
apetrechos, apetrecho
de, de
mar, mar
,, ,
é, ser
só, só
procurar, procurar
o, o
Cláudio, Cláudio
no, em o
Porto, Porto
Point, Point
., .
É, ser
lá, lá
também, também
que, que
se, se
faz, fazer
contato, contato
para, para
alugar, alugar
o, o
bugue, bugar
de, de
Rita, Rita
de, de
Oliveira, Oliveira
,, ,
fotógrafa, fotógrafar
e, e
bugueira, bugueiro
arretada, arretar
., .

, 

Para, para
comer, comer
peixes, peixe
da, de o
região, região
–, –
como, como
filé, filé
de, de
agulha, agulha
–, –
,, ,
lagostas, lagosta
,, ,
polvo, polvo
etc., etc.
e, e
tal, tal
,, ,
o, o
restaurante, restaurante
do, de o
Brás, Brás
é, ser
o, o
melhor, bom
., .
E, e
,, ,
por, por
incrível, incrível
que, que
pareça, parecer
,, ,
a, o
Pimpinella, Pimpinella
serve, servir
pizzas, pizza
bem, bem
fininhas, fininho
,, ,
iguais, igual
às, a o
melhores, bom
de, de
São, São
Paulo, Paulo
,, ,
debaixo, debaixo
de, de
uma, um
cobertura, cobertura
de, de
sapê, sapê
., .
Desnecessário, desnecessário
dizer, dizer
que, que
o, o
dono, dono
,, ,
Nelson, Nelson
,, ,
é, ser
paulista, paulista
., .
Melhor, boM
,, ,
estraga, estragar
., .
E, e
como, como
ninguém, ninguém
é, ser
de, de
ferro, ferro
,, ,
a, o
noite, noite
sempre, sempre
acaba, acabar
em, em
forró, forró
., .

, 

LEIA, LEIA
MAIS, MAIS

, 

Sobre, sobre
Porto, Porto
de, de
Galinhas, Galinhas
na, em o
pág., pág.
6-12, 6-12

, 

A, o
colunista, colunista
JOYCE, JOYCE
PASCOWITCH, PASCOWITCH
viajou, viajar
a, a
convite, convite
da, de o
Transbrasil, Transbrasil
., .

, 

