Viajar, ﻿Viajar
em, em
excursão, excursão
é, ser
um, um
programa, programa
legal, legal
,, ,
acredite, acreditar
., .
Mas, mas
é, ser
indispensável, indispensável
colocar, colocar
na, em o
bagagem, bagagem
um, um
certo, certo
espírito, espírito
esportivo, esportivo
., .
Como, como
tudo, tudo
,, ,
tem, ter
prós, pró
e, e
contras, contra
., .
O, o
melhor, bom
é, ser
que, que
a, o
viagem, viagem
fica, ficar
mais, mais
divertida, divertido
., .
E, e
também, também
mais, mais
bem-planejada, bem-planejada
., .
O, o
pior, mau
é, ser
que, que
às, a o
vezes, vez
você, você
faz, fazer
o, o
que, que
não, não
quer, querer
na, em o
hora, hora
que, que
o, o
grupo, grupo
quer, querer
., .
E, e
tem, ter
poucos, pouco
momentos, momento
de, de
privacidade, privacidade
., .

, 

Os, o
passageiros, passageiro
de, de
uma, um
excursão, excursão
para, para
a, o
Disney, Disney
(, (
veja, ver
perfil, perfil
ao, a o
lado, lado
), )
quase, quase
sempre, sempre
têm, ter
dificuldades, dificuldade
com, com
o, o
inglês, inglês
., .
Fazem, Fazem
,, ,
em, em
geral, geral
,, ,
sua, seu
segunda, segundo
viagem, viagem
internacional, internacional
–, –
a, o
primeira, primeiro
foi, ser
para, para
Buenos, Buenos
Aires, Aires
e, e
Bariloche, Bariloche
,, ,
na, em o
Argentina, Argentina
., .
São, ser
famílias, família
de, de
classe, classe
média, médio
alta, alto
., .
Gastam, Gastam
muito, muito
em, em
compras, compra
–, –
em, em
média, média
,, ,
de, de
US$, US$
2.000, 2.000
/, /
CR$, CR$
700, 700
mil, mil
a, a
US$, US$
3.000, 3.000
/, /
CR$, CR$
1, 1
milhão, milhão
., .
E, e
reclamam, reclamar
–, –
muito, muito
–, –
do, de o
preço, preço
e, e
da, de o
qualidade, qualidade
da, de o
comida, comida
., .

, 

Para, para
quem, quem
está, estar
indeciso, indeciso
se, se
vai, ir
ou, ou
não, não
se, se
adaptar, adaptar
numa, em um
excursão, excursão
,, ,
 ,  
Turismo, Turismo
dá, dar
uma, um
mãozinha, mãozinha
e, e
adianta, adiantar
cinco, cinco
regras, regra
básicas, básico
que, que
obrigatoriamente, obrigatoriamente
terão, ter
de, de
ser, ser
seguidas, seguir
., .
Veja, Veja
se, se
é, ser
muito, muito
sacrifício, sacrifício
:, :

, 

Horários, Horários
-, -
São, Ser
rigorosíssimos, rigorosíssir
., .
Em, em
geral, geral
,, ,
o, o
grupo, grupo
é, ser
acordado, acordar
uma, um
hora, hora
e, e
meia, meia
antes, antes
de, de
o, o
ônibus, ônibus
seguir, seguir
para, para
os, o
parques, parque
., .
Em, em
outras, outro
palavras, palavra
,, ,
às, a o
7h30, 7h30
., .

, 

Passeios, Passeios
-, -
Todos, todo
têm, ter
a, o
orientação, orientação
de, de
um, um
guia, guia
., .
Nos, em o
parques, parque
,, ,
ele, ele
carrega, carregar
uma, um
bandeira, bandeira
,, ,
que, que
deve, dever
ser, ser
seguida, seguir
pelo, por o
grupo, grupo
., .
Há, haver
um, um
roteiro, roteiro
de, de
atrações, atração
que, que
é, ser
cumprido, cumprir
à, a o
risca, risca
., .

, 

Refeições, Refeições
-, -
Nos, em o
parques, parque
,, ,
o, o
estômago, estômago
só, só
pode, poder
roncar, roncar
na, em o
hora, hora
que, que
o, o
guia, guia
determinar, determinar
., .
E, e
o, o
cardápio, cardápio
tem, ter
que, que
agradar, agradar
–, –
é, ser
impossível, impossível
cada, cada
passageiro, passageiro
escolher, escolher
onde, onde
e, e
o, o
que, que
vai, ir
comer, comer
., .

, 

Compras, Compras
-, -
Nos, em o
parques, parque
,, ,
ficam, ficar
restritas, restrito
ao, a o
tempo, tempo
livre, livre
,, ,
isto, isto
é, ser
,, ,
uma, um
hora, hora
antes, antes
de, de
o, o
parque, parque
fechar, fechar
., .
Nos, em o
shoppings, shoppings
,, ,
há, haver
mais, mais
flexibilidade, flexibilidade
de, de
horários, horários
e, e
dá, dar
para, para
pensar, pensar
antes, antes
de, de
pagar, pagar
., .

, 

Vida, vida
noturna, noturno
-, -
Poucas, Poucas
excursões, excursão
têm, ter
programação, programação
à, a o
noite, noite
., .
Quase, quase
sempre, sempre
os, o
casais, casal
se, se
reúnem, reúnem
e, e
racham, rachar
um, um
táxi, táxi
., .
E, e
as, o
crianças, criança
?, ?
Cada, cada
dia, dia
,, ,
um, um
dos, de o
adultos, adulto
envolvidos, envolver
no, em o
problema, problema
é, ser
escalado, escalar
para, para
", "
pagar, pagar
o, o
pato, pato
", "
., .

, 

Ei, ei
,, ,
não, não
desanime, desanime
!, !
Todo, todo
sacrifício, sacrifício
tem, ter
sua, seu
recompensa, recompensa
., .
Chegou, chegar
a, o
vez, vez
de, de
conhecer, conhecer
as, o
vantagens, vantagem
de, de
se, se
viajar, viajar
em, em
grupo, grupo
., .
Analise, analise
bem, bem
uma, uma
a, a
uma, um
., .

, 

Reservas, Reservas
-, -
Apague, Apague
do, de o
seu, seu
vocabulários, vocabulário
palavras, palavra
como, como
", "
imigração, imigração
", "
,, ,
", "
check-in, check-in
", "
,, ,
", "
check-out, check-out
", "
,, ,
", "
overbooking, overbooking
", "
,, ,
problemas, problema
., .
Sempre, sempre
haverá, haver
alguém, alguém
preenchendo, preencher
fichas, ficha
e, e
formulários, formulário
para, para
você, você
., .
Aproveite, Aproveite
., .

, 

Idioma, Idioma
-, -
Sinta-se, Sinta-se
no, em o
Brasil, Brasil
–, –
mais, mais
ainda, ainda
., .
O, o
guia, guia
será, ser
seu, seu
intérprete, intérprete
,, ,
sempre, sempre
–, –
na, em o
empresa, empresa
aérea, aéreo
,, ,
no, em o
hotel, hotel
,, ,
nos, em o
parques, parque
,, ,
nas, em o
lojas, loja
,, ,
nos, em o
restaurantes, restaurante
e, e
até, até
mesmo, mesmo
se, se
você, você
quiser, querer
soltar, soltar
um, um
", "
437, 437
", "
numa, em um
americana, americana
., .

, 

Amizades, Amizades
-, -
Cada, cada
excursão, excursão
rende, render
pelo, por o
menos, menos
um, um
novo, novo
amigo, amigo
., .
Quando, quando
se, se
tratam, tratar
de, de
crianças, criança
,, ,
não, não
é, ser
preciso, preciso
muito, muito
esforço, esforço
., .
Elas, elas
se, se
enturmam, enturmar
facilmente, facilmente
e, e
em, em
pouco, pouco
tempo, tempo
não, não
querem, querer
nem, nem
saber, saber
de, de
pai, pai
,, ,
mãe, mãe
,, ,
avó, avó
e, e
cia, cia
., .

, 

Planejamento, planejamento
-, -
Os, o
guias, guia
não, não
estão, estar
lá, lá
por, por
acaso, acaso
., .
Conhecem, conhecer
os, o
parques, parque
como, como
a, o
palma, palma
de, de
suas, seu
mãos, mão
., .
Se, se
é, ser
a, o
primeira, primeiro
vez, vez
,, ,
siga-os, siga-os
,, ,
sempre, sempre
., .
O, o
ritmo, ritmo
acelerado, acelerar
é, ser
a, o
garantia, garantia
de, de
que, que
você, você
não, não
vai, ir
deixar, deixar
nenhum, nenhum
parque, parque
sem, sem
tê-lo, ter ele
conhecido, conhecer
todinho, todinho
., .

, 

Colocado, Colocado
nas, em o
balanças, balança
os, o
prós, pró
e, e
os, o
contras, contra
,, ,
é, ser
hora, hora
de, de
pesquisar, pesquisar
roteiros, roteiro
e, e
preços, preço
(, (
veja, ver
reportagem, reportagem
nesta, em este
página, página
), )
., .
Mas, mas
se, se
realmente, realmente
você, você
não, não
faz, fazer
o, o
perfil, perfil
de, de
um, um
passageiro, passageiro
de, de
excursão, excursão
,, ,
não, não
é, ser
preciso, preciso
riscar, riscar
a, o
