Uma, ﻿Uma
boa, bom
idéia, idéia
para, para
começar, começar
bem, bem
o, o
ano, ano
:, :
evite, evitar
a, o
caninha, caninha
–, –
e, e
tire, tirar
um, um
alcoólatra, alcoólatra
potencial, potencial
de, de
circulação, circulação
–, –
e, e
embarque, embarque
para, para
Curitiba, Curitiba
., .
É, ser
lá, lá
,, ,
naquela, em aquele
cidade, cidade
cheia, cheio
de, de
boas, bom
idéias, idéia
,, ,
que, que
se, se
pode, poder
comprovar, comprovar
um, um
Brasil, Brasil
que, que
teima, teima
em, em
dar, dar
certo, certo
e, e
que, que
não, não
consegue, conseguir
sair, sair
dos, de o
trilhos, trilho
do, de o
futuro, futuro
., .

, 

Curitiba, Curitiba
tem, ter
300, 300
anos, ano
e, e
poderia, poder
repetir, repetir
,, ,
à, a o
maneira, maneira
de, de
Mário, Mário
de, de
Andrade, Andrade
,, ,
que, que
é, ser
300, 300
cidades, cidade
., .
Sabe-se, saber se
que, que
é, ser
a, o
capital, capital
do, de o
sexto, sexto
Estado, estado
do, de o
país, país
,, ,
o, o
Paraná, Paraná
,, ,
mas, mas
os, o
ambientalistas, ambientalista
sabem, saber
também, também
que, que
é, ser
uma, um
espécie, espécie
de, de
capital, capital
ecológica, ecológico
brasileira, brasileiro
,, ,
como, como
os, o
planejadores, planejador
reconhecem, reconhecer
seu, seu
papel, papel
de, de
vanguarda, vanguarda
na, em o
renovação, renovação
do, de o
equipamento, equipamento
urbano, urbano
e, e
os, o
interessados, interessado
em, em
geopolítica, geopolítica
vêem, ver
nela, em ela
um, um
pólo, pólo
do, de o
Mercosul, Mercosul
–, –
até, até
", "
capital, capital
do, de o
Natal, Natal
", "
a, o
cidade, cidade
quer, querer
ser, ser
., .

, 

Lá, lá
,, ,
na, em o
terra, terra
dos, de o
pinheiros, pinheiro
,, ,
é, ser
praxe, praxe
discutir, discutir
as, o
verdades, verdade
estabelecidas, estabelecir
e, e
testar, testar
vias, via
alternativas, alternativo
., .
Assim, assim
,, ,
na, em o
medida, medida
do, de o
homem, homem
,, ,
Curitiba, Curitiba
instituiu, instituir
o, o
primeiro, primeiro
calçadão, calçadão
,, ,
empenhou-se, empenhour se
na, em o
despoluição, despoluição
visual, visual
das, de o
ruas, rua
centrais, central
,, ,
traçou, traçar
um, um
plano, plano
para, para
o, o
acelerado, acelerado
desenvolvimento, desenvolvimento
,, ,
ampliou, ampliar
e, e
reequipou, reequipar
as, o
áreas, área
verdes, verde
e, e
,, ,
para, para
variar, variar
,, ,
através, através
da, de o
Universidade, Universidade
Livre, Livre
do, de o
Meio, Meio
Ambiente, Ambiente
,, ,
está, estar
na, em o
linha, linha
de, de
frente, frente
da, de o
discussão, discussão
ecológica, ecológico
., .

, 

É, ser
essa, esse
cidade, cidade
que, que
se, se
abre, abrir
para, para
os, o
turistas, turista
., .
O, o
difícil, difícil
é, ser
ver, ver
polaquinhas, polaquinha
e, e
vampiros, vampiro
à, a o
Dalton, Dalton
Trevisan, Trevisan
., .

, 

LEIA, LEIA
MAIS, MAIS

, 

Sobre, sobre
Curitiba, Curitiba
–, –
e, e
artigo, artigo
de, de
Jaime, Jaime
Lerner, Lerner
–, –
nas, em o
págs, págs
., .
6-2, 6-2
a, a
6-8, 6-8
., .

, 

O, o
jornalista, jornalista
FEDERICO, FEDERICO
MENGOZZI, MENGOZZI
viajou, viajar
a, a
convite, convite
da, de o
Transbrasil, Transbrasil
e, e
do, de o
Mabu, Mabu
Hotel, Hotel
., .

, 

