Mega, ﻿Mego
,, ,
na, em o
verdade, verdade
,, ,
é, ser
o, o
desfiles, desfile
das, de o
escolas, escola
de, de
samba, samba
do, de o
Rio, Rio
., .
Não, não
há, haver
melhor, bom
definição, definição
para, para
um, um
espetáculo, espetáculo
protagonizado, protagonizar
por, por
60, 60
mil, mil
artistas, artista
,, ,
que, que
exige, exigir
12, 12
horas, hora
de, de
exaltação, exaltação
durante, durante
dois, dois
dias, dia
,, ,
é, ser
assistido, assistir
no, em o
Sambódromo, Sambódromo
por, por
50, 50
mil, mil
pessoas, pessoa
e, e
por, por
outras, outro
2,5, 2,5
milhões, milhão
via, via
TV, tv
., .
Se, se
em, em
verões, verão
passados, passar
tudo, tudo
era, ser
demais, demais
,, ,
massa, massa
,, ,
maneiro, maneiro
,, ,
duca, ducar
ou, ou
híper, híper
,, ,
agora, agora
a, o
moda, moda
é, ser
mega, mego
,, ,
mas, mas
no, em o
caso, caso
do, de o
Carnaval, carnaval
não, não
é, ser
exagero, exagero
., .

, 

Basta, Basta
saber, saber
que, que
o, o
Carnaval, carnaval
congrega, congrega
a, o
essência, essência
de, de
Michael, Michael
Jackson, Jackson
e, e
Madonna, Madonna
,, ,
os, o
megastars, megastar
que, que
passaram, passar
por, por
aqui, aqui
., .
Joãosinho, Joãosinho
Trinta, Trinta
,, ,
intelectual, intelectual
dos, de o
barracões, barracão
,, ,
prova, prova
compasso, compasso
por, por
compasso, compasso
que, que
o, o
estilo, estilo
break, break
de, de
Jackson, Jackson
nada, nada
mais, mais
é, ser
que, que
a, o
fragmentação, fragmentação
do, de o
samba, samba
., .
Madonna, Madonna
é, ser
censurada, censurar
por, por
sua, seu
exacerbada, exacerbado
sexualidade, sexualidade
,, ,
não, não
é, ser
?, ?
Até, até
nisso, em isso
o, o
Carnaval, Carnaval
é, ser
pioneiro, pioneiro
,, ,
com, com
a, o
inclusão, inclusão
no, em o
regulamento, regulamento
do, de o
desfile, desfile
da, de o
punição, punição
à, a o
genitália, genitália
desnuda, desnudar
., .

, 

Quando, quando
a, o
Unidos, Unidos
da, de o
Ponte, Ponte
–, –
com, com
seus, seu
4.000, 4.000
", "
pretos, preto
ou, ou
quase, quase
pretos, preto
", "
,, ,
como, como
diria, dir
o, o
personagem, personagem
de, de
enredo, enredo
Caetano, Caetano
Veloso, Veloso
–, –
iniciar, iniciar
o, o
desfile, desfile
,, ,
no, em o
dia, dia
13, 13
,, ,
às, a o
19h, 19h
,, ,
o, o
Carnaval, carnaval
mostrará, mostrar
por, por
que, que
é, ser
a, o
festa, festa
da, de o
catarse, catarse
popular, popular
., .

, 

A, o
primeira, primeiro
sensação, sensação
do, de o
desfile, desfile
deve, dever
ocorrer, ocorrer
entre, entre
22h, 22h
e, e
23h, 23h
,, ,
com, com
a, o
Viradouro, Viradouro
,, ,
que, que
nos, em o
dois, dois
anos, ano
que, que
está, estar
no, em o
Grupo, Grupo
Especial, Especial
fez, fazer
exibições, exibição
de, de
luxo, luxo
,, ,
custeada, custear
pelo, por o
dinheiro, dinheiro
de, de
José, José
Carlos, Carlos
Monassa, Monassa
,, ,
banqueiro, banqueiro
de, de
bicho, bicho
em, em
ascensão, ascensão
e, e
livre, livre
,, ,
ao, a o
menos, menos
por, por
enquanto, enquanto
,, ,
de, de
processo, processo
na, em o
Justiça, justiça
., .

, 

A, o
Viradouro, Viradouro
canta, cantar
Teresa, Teresa
de, de
Benguela, Benguela
,, ,
líder, líder
de, de
um, um
quilombo, quilombo
no, em o
Mato, Mato
Grosso, Grosso
,, ,
e, e
está, estar
nas, em o
mãos, mão
de, de
Joãosinho, Joãosinho
Trinta, Trinta
,, ,
o, o
mais, mais
autoral, autoral
dos, de o
carnavalescos, carnavalesco
., .
No, em o
Carnaval, carnaval
passado, passado
,, ,
Joãosinho, Joãosinho
foi, ser
a, a
Portugal, Portugal
comandar, comandar
o, o
", "
bole-bole, bole-bole
", "
por, por
lá, lá
., .
Volta, volta
com, com
disposição, disposição
para, para
mostrar, mostrar
que, que
Joãosinho, Joãosinho
Trinta, Trinta
,, ,
o, o
atrevido, atrevido
,, ,
não, não
morreu, morrer
., .
Não, não
se, se
assuste, assustir
se, se
o, o
carnavalesco, carnavalesco
provocativo, provocativo
dos, de o
anos, ano
80, 80
ressurgir, ressurgir
., .

, 

A, o
escola, escola
seguinte, seguinte
será, ser
a, o
Mangueira, Mangueira
,, ,
que, que
este, este
ano, ano
saiu, sair
na, em o
frente, frente
por, por
ter, ter
escolhido, escolher
um, um
enredo, enredo
(, (
Gal, Gal
,, ,
Bethânia, Bethânia
,, ,
Gil, Gil
e, e
Caetano, Caetano
), )
de, de
empatia, empatia
imediata, imediato
com, com
o, o
público, público
., .
O, o
samba, samba
da, de o
escola, escola
é, ser
o, o
mais, mais
tocado, tocar
no, em o
Rio, Rio
e, e
deve, dever
embalar, embalar
a, o
Mangueira, Mangueira
na, em o
busca, busca
de, de
mais, mais
um, um
título, título
., .

, 

Depois, depois
que, que
a, o
Mangueira, Mangueira
passar, passar
,, ,
o, o
suspense, suspense
dominará, dominar
a, o
passarela, passarela
., .
Será, ser
a, o
vez, vez
da, de o
Vila, Vila
Isabel, Isabel
,, ,
Mocidade, Mocidade
e, e
Imperatriz, Imperatriz
,, ,
pela, por o
ordem, ordem
,, ,
desfilarem, desfilar
., .
São, ser
escolas, escola
grandes, grande
e, e
ricas, rica
,, ,
que, que
somam, somar
quatro, quatro
campeonatos, campeonato
nos, em o
últimos, último
dez, dez
anos, ano
., .
O, o
passado, passado
impressiona, impressionar
,, ,
mas, mas
na, em o
avenida, avenida
não, não
basta, bastar
simplesmente, simplesmente
o, o
peso, peso
da, de o
tradição, tradição
., .

, 

Na, em o
segunda-feira, segunda-feira
,, ,
14, 14
,, ,
as, o
atrações, atração
maiores, grande
se, se
apresentam, apresentar
a, a
partir, partir
das, de o
23h, 23h
:, :
Beija-Flor, Beija-Flor
,, ,
Salgueiro, Salgueiro
,, ,
Estácio, Estácio
e, e
Portela, Portela
., .
A, o
Beija-Flor, Beija-Flor
estará, estar
nas, em o
mãos, mão
de, de
um, um
estreante, estreante
na, em o
avenida, avenida
,, ,
o, o
carnavalesco, carnavalesco
Milton, Milton
Cunha, Cunha
., .
O, o
Salgueiro, Salgueiro
tenta, tentar
o, o
bicampeonato, bicampeonato
,, ,
cantando, cantar
o, o
Rio, Rio
., .
A, o
Estácio, Estácio
terminou, terminar
a, o
produção, produção
do, de o
desfile, desfile
em, em
crise, crise
com, com
seu, seu
patrono, patrono
,, ,
o, o
bicheiro, bicheiro
José, José
Petrus, Petrus
,, ,
o, o
", "
Zinho, Zinho
", "
,, ,
e, e
,, ,
em, em
consequência, consequência
,, ,
teve, ter
dificuldades, dificuldade
financeiras, financeiro
., .
A, o
Portela, Portela
é, ser
uma, um
das, de o
escolas, escola
mais, mais
carismáticas, carismático
do, de o
Rio, Rio
,, ,
mas, mas
seu, seu
último, último
título, título
foi, ser
há, há
13, 13
anos, ano
., .

, 

PREVINA-SE, PREVINA-SE
-, -
A, o
Delegacia, Delegacia
Especial, Especial
para, para
o, o
Atendimento, atendimento
ao, a o
Turista, Turista
recomenda, recomendar
que, que
,, ,
à, a o
noite, noite
,, ,
as, o
pessoas, pessoa
não, não
andem, ander
sozinhas, sozinha
por, por
becos, beco
,, ,
passagens, passagem
subterrâneas, subterrâneo
ou, ou
vielas, viela
,, ,
não, não
levem, levar
grande, grande
quantidade, quantidade
de, de
dinheiro, dinheiro
ou, ou
jóias, jóia
,, ,
não, não
exibam, exibamr
câmaras, câmara
de, de
vídeo, vídeo
ou, ou
máquinas, máquina
fotográficas, fotográfico
., .
Na, em o
praia, praia
,, ,
os, o
turistas, turista
devem, dever
levar, levar
só, só
o, o
indispensável, indispensável
e, e
,, ,
quando, quando
tomar, tomar
táxi, táxi
,, ,
ver, ver
se, se
têm, ter
a, o
identificação, identificação
no, em o
lado, lado
direito, direito
do, de o
motorista, motorista
., .
A, o
Delegacia, Delegacia
funciona, funcionar
na, em o
avenida, avenida
Afrânio, Afrânio
de, de
Melo, Melo
Franco, Franco
,, ,
s, s
/, /
n.º, n.º
,, ,
em, em
frente, frente
ao, a o
Teatro, Teatro
Casa, Casa
Grande, Grande
,, ,
Leblon, Leblon
,, ,
tel., tel.
(, (
021, 021
