Encarar, ﻿Encarar
o, o
mundo, mundo
dos, de o
11, 11
afoxés, afoxés
,, ,
62, 62
blocos, bloco
com, com
trios, trio
elétricos, elétrico
,, ,
47, 47
blocos, bloco
de, de
percussão, percussão
,, ,
24, 24
afroblocos, afrobloco
e, e
25, 25
trios, trio
independentes, independente
será, ser
uma, um
aventura, aventura
para, para
os, o
1,5, 1,5
milhões, milhão
de, de
", "
pipocas, pipocas
", "
–, –
turistas-foliões, turistas-folião
–, –
que, que
vão, ir
descobrir, descobrir
um, um
pouco, pouco
o, o
que, que
é, ser
que, que
a, o
Bahia, Bahia
tem, ter
., .

, 

Serão, Serão
20, 20
quilômetros, quilômetro
de, de
ruas, rua
bloqueadas, bloqueado
ao, a o
trânsito, trânsito
,, ,
2.700, 2.700
pontos, ponto
de, de
venda, venda
de, de
comidas, comida
e, e
bebidas, bebida
,, ,
20, 20
centros, centro
de, de
informações, informação
,, ,
462, 462
shows, show
,, ,
3.000, 3.000
artistas, artista
,, ,
9.000, 9.000
policiais, policial
,, ,
1.000, 1.000
lixeiros, lixeiro
e, e
500, 500
mil, mil
turistas, turista
/, /
dia, dia
., .

, 

Com, com
o, o
tema, tema
", "
Estrelas, estrela
de, de
Raça, Raça
e, e
Cor, Cor
", "
,, ,
o, o
Carnaval, Carnaval
de, de
Salvador, Salvador
oferece, oferecer
vários, vários
circuitos, circuito
., .
O, o
principal, principal
é, ser
o, o
histórico, histórico
,, ,
que, que
vai, ir
da, de o
ladeira, ladeira
do, de o
Pelourinho, Pelourinho
até, até
Ondina, Ondina
,, ,
na, em o
orla, orla
marítima, marítimo
,, ,
passando, passar
pelas, por o
históricas, histórico
praças, praças
Castro, Castro
Alves, Alves
e, e
Campo, Campo
Grande, Grande
., .
Nesta, em este
última, última
,, ,
desfilam, desfilar
as, o
161, 161
entidades, entidade
carnavalescas, carnavalesco
com, com
seus, seu
170, 170
mil, mil
filiados, filiado
,, ,
além, além
das, de o
", "
pipocas, pipocas
", "
,, ,
que, que
não, não
integram, integrar
os, o
blocos, bloco
., .
Na, em o
Castro, Castro
Alves, Alves
ocorrem, ocorrer
encontros, encontro
de, de
trios, trio
elétricos, elétrico
., .
No, em o
Pelourinho, Pelourinho
,, ,
apresentam-se, apresentamr se
o, o
afoxé, afoxé
Filhos, Filhos
de, de
Gandhi, Gandhi
e, e
o, o
Olodum, Olodum
., .

, 

Fora, fora
do, de o
aperto, aperto
do, de o
circuito, circuito
histórico, histórico
,, ,
há, haver
mais, mais
conforto, conforto
na, em o
Barra, Barra
,, ,
onde, onde
os, o
trios, trio
elétricos, elétrico
desfilam, desfilar
na, em o
avenida, avenida
., .

, 

