Como, ﻿Como
as, o
superproduções, superprodução
hollywoodianas, hollywoodiano
,, ,
eles, eles
custaram, custar
milhões, milhão
e, e
milhões, milhão
de, de
dólares, dólar
., .
Mais, mais
precisamente, precisamente
,, ,
Universal, Universal
Studios, Studios
consumiu, consumir
US$, US$
600, 600
milhões, milhão
e, e
MGM, MGM
Studios, Studios
,, ,
US$, US$
500, 500
milhões, milhão
–, –
o, o
equivalente, equivalente
a, a
16, 16
mil, mil
vezes, vez
o, o
valor, valor
gasto, gastar
na, em o
construção, construção
do, de o
sambódromo, sambódromo
,, ,
no, em o
Rio, Rio
de, de
Janeiro, Janeiro
., .
Nos, em o
dois, dois
,, ,
o, o
cinema, cinema
expõe, expor
seu, seu
universo, universo
de, de
truques, truque
e, e
fantasias, fantasia
e, e
cria, criar
uma, um
verdadeira, verdadeiro
mágica, mágica
de, de
ilusões, ilusão
., .

, 

Em, em
Universal, Universal
Studios, Studios
,, ,
a, o
primeira, primeiro
atração, atração
é, ser
,, ,
sem, sem
dúvida, dúvida
,, ,
uma, um
das, de o
melhores, bom
., .
No, em o
motel, motel
de, de
Norman, Norman
Bates, Bates
,, ,
o, o
psicótico, psicótico
vivido, viver
no, em o
cinema, cinema
por, por
Anthony, Anthony
Perkins, Perkins
,, ,
em, em
", "
Psicose, Psicose
", "
,, ,
do, de o
genial, genial
Alfred, Alfred
Hitchcock, Hitchcock
,, ,
a, o
cena, cena
das, de o
facadas, facar
debaixo, debaixo
do, de o
chuveiro, chuveiro
ganham, ganhar
um, um
realismo, realismo
assustador, assustador
., .
O, o
mesmo, mesmo
acontece, acontecer
em, em
", "
Tubarão, Tubarão
", "
,, ,
de, de
Steven, Steven
Spielberg, Spielberg
e, e
em, em
", "
De, de
Volta, Volta
Para, Para
o, o
Futuro, Futuro
", "
,, ,
de, de
Robert, Robert
Zemeckis, Zemeckis
., .

, 

Nos, em o
estúdios, estúdio
MGM, MGM
,, ,
a, o
aventura, aventura
começa, começar
na, em o
Hollywood, Hollywood
Boulevard, Boulevard
,, ,
uma, um
réplica, réplica
,, ,
em, em
estilo, estilo
", "
art, art
déco, décor
", "
,, ,
da, de o
meca, meca
do, de o
cinema, cinema
nos, em o
anos, ano
40, 40
., .
O, o
caminho, caminho
leva, levar
até, até
o, o
Chinese, Chinese
Theatre, Theatre
,, ,
onde, onde
se, se
realizavam, realizar
as, o
", "
premières, premières
", "
do, de o
passado, passado
,, ,
e, e
leva, levar
até, até
o, o
Great, Great
Movie, Movie
Ride, Ride
., .
Lá, lá
,, ,
os, o
técnicos, técnico
Disney, Disney
mostram, mostrar
que, que
sabem, saber
o, o
que, que
fazem, fazer
quando, quando
o, o
assunto, assunto
é, ser
audio-animatronic, audio-animatronic
(, (
bonecos, boneco
computadorizados, computadorizar
), )
., .
Humphrey, Humphrey
Bogart, Bogart
se, se
despede, despeder
de, de
Ingrid, Ingrid
Bergman, Bergman
em, em
", "
Casablanca, Casablanca
", "
,, ,
Gene, Gene
Kelly, Kelly
dança, dançar
na, em o
chuva, chuva
em, em
", "
Singin'in, Singin'in
the, the
Rain, Rain
", "
e, e
Sigourney, Sigourney
Weaver, Weaver
se, se
vê, ver
às, a o
voltas, volta
com, com
", "
Alien, Alien
,, ,
o, o
Oitavo, Oitavo
Passageiro, passageiro
", "
., .
Não, não
deixe, deixar
MGM, MGM
sem, sem
ver, ver
", "
ET, ET
", "
e, e
", "
Guerra, Guerra
nas, em o
Estrelas, Estrelas
", "
e, e
", "
ET, ET
", "
., .

, 

Nos, em o
dois, dois
parques, parque
–, –
arqui-rivais, arqui-rival
,, ,
por, por
sinal, sinal
–, –
,, ,
há, haver
muito, muito
o, o
que, que
se, se
ver, ver
e, e
o, o
ideal, ideal
é, ser
passar, passar
em, em
cada, cada
um, um
deles, de ele
pelo, por o
menos, menos
um, um
dia, dia
inteiro, inteiro
., .
Ambos, ambos
mostram, mostrar
a, o
agitada, agitado
vida, vida
que, que
há, haver
por, por
trás, trás
das, de o
câmaras, câmara
cinematográficas, cinematográfico
,, ,
os, o
", "
backstages, Backstages
", "
,, ,
e, e
oferecem, oferecer
a, o
oportunidade, oportunidade
de, de
o, o
visitante, visitante
participar, participar
do, de o
espetáculo, espetáculo
,, ,
como, como
em, em
", "
Indiana, Indiana
Jones, Jones
-, -
Os, Os
Caçadores, Caçadores
da, de o
Arca, Arca
Perdida, Perdida
", "
., .
(, (
Patrícia, Patrícia
Trudes, Trudes
da, de o
Veiga, Veiga
), )

, 

DICA, DICA
-, -
Se, se
tiver, ter
que, que
escolher, escolher
entre, entre
MGM, MGM
e, e
Universal, Universal
,, ,
não, não
hesite, hesitar
., .
Universal, Universal
dá, dar
de, de
dez, dez
a, a
zero, zero
., .

, 

