Cordiais, ﻿Cordial
ou, ou
nem, nem
tanto, tanto
., .
É, é
na, em o
mesma, mesmo
rua, rua
15, 15
de, de
Novembro, novembro
que, que
o, o
espírito, espírito
curitibano, curitibano
reservou, reservar
um, um
espaço, espaço
para, para
gentilezas, gentileza
–, –
a, o
Rua, Rua
das, de o
Flores, Flores
–, –
e, e
maledicências, maledicêncio
–, –
a, o
Boca, Boca
Maldita, Maldita
., .
A, o
Rua, Rua
das, de o
Flores, Flores
foi, ser
o, o
primeiro, primeiro
calçadão, calçadão
do, de o
país, país
e, e
está, estar
fechada, fechado
ao, a o
trânsito, trânsito
das, de o
máquinas, máquina
mortíferas, mortífero
desde, desde
1972, 1972
., .
É, ser
um, um
lugar, lugar
em, em
que, que
floreiras, floreira
e, e
mesas, meso
na, em o
calçada, calçada
de, de
pedras, pedra
", "
petit, petit
pavê, pavê
", "
contribuem, contribuem
para, para
a, o
chamada, chamado
alegria, alegrio
de, de
viver, viver
., .
Na, em o
Boca, Boca
Maldita, Maldita
,, ,
", "
subdistrito, subdistrito
", "
da, de o
Rua, Rua
das, de o
Flores, Flores
,, ,
ao, a o
contrário, contrário
,, ,
vale, valer
tudo, tudo
,, ,
principalmente, principalmente
infernizar, infernizar
a, o
vida, vida
alheia, alheio
., .
O, o
lema, lema
,, ,
pasmem, pasmer
,, ,
é, ser
", "
nada, nada
vejo, vejo
,, ,
nada, nada
ouço, ouço
,, ,
nada, nada
falo, falar
", "
., .

, 

São, ser
dois, dois
dos, de o
cenários, cenário
indicados, indicar
pela, por o
Linha, Linha
Pinhão, pinhão
no, em o
trecho, trecho
que, que
vai, ir
da, de o
Universidade, Universidade
Federal, Federal
do, de o
Paraná, Paraná
à, a o
praça, praça
General, General
Osório, Osório
,, ,
espécie, espécie
de, de
sala, sala
de, de
visita, visita
de, de
Curitiba, Curitiba
., .
Entre, entre
dois, dois
marcos, marco
da, de o
arquitetura, arquitetura
local, local
,, ,
o, o
majestoso, majestoso
edifício, edifício
da, de o
Universidade, universidade
,, ,
a, o
primeira, primeiro
do, de o
país, país
,, ,
e, e
o, o
Teatro, Teatro
Guaíra, Guaíra
,, ,
o, o
maior, grande
da, de o
América, América
Latina, Latina
,, ,
a, o
praça, praça
Santos, Santos
Andrade, Andrade
recebe, receber
os, o
visitantes, visitante
com, com
o, o
porte, porte
de, de
suas, seu
araucárias, araucária
e, e
seu, seu
jeito, jeito
de, de
tempos, tempo
menos, menos
hostis, hostil
., .

, 

É, ser
na, em o
praça, praça
que, que
a, o
cidade, cidade
organiza, organizar
um, um
dos, de o
dois, dois
grandes, grande
espetáculos, espetáculo
com, com
os, o
quais, qual
quer, querer
se, se
firmar, firmar
,, ,
também, também
,, ,
como, como
a, o
", "
capital, capital
do, de o
Natal, Natal
", "
., .
Este, este
ano, ano
,, ,
as, o
colunas, coluna
da, de o
fachada, fachada
neoclássica, neoclássico
da, de o
Universidade, Universidade
abrigaram, abrigar
um, um
presépio, presépio
gigante, gigante
e, e
um, um
espetáculo, espetáculo
natalino, natalino
–, –
o, o
outro, outro
espetáculo, espetáculo
aconteceu, acontecer
no, em o
palácio, palácio
Avenida, Avenida
,, ,
sede, sede
do, de o
Bamerindus, Bamerindus
,, ,
na, em o
esquina, esquina
da, de o
rua, rua
15, 15
de, de
Novembro, novembro
e, e
travessa, travessa
Oliveira, Oliveira
Bello, Bello
., .
Saindo, saindo
da, de o
praça, praça
,, ,
passa-se, passar se
por, por
prédios, prédio
como, como
o, o
Correio, Correio
Velho, Velho
e, e
o, o
Grande, Grande
Hotel, Hotel
Moderno, Moderno
,, ,
marcos, marco
da, de o
arquitetura, arquitetura
e, e
do, de o
estilo, estilo
de, de
vida, vida
da, de o
capital, capital
paranaense, paranaense
., .

, 

Outros, outro
marcos, marco
se, se
distribuem, distribuir
pela, por o
rua, rua
15, 15
de, de
Novembro, novembro
., .
Como, como
as, o
Livrarias, Livrarias
Ghignone, Ghignone
,, ,
com, com
sua, seu
célebre, célebre
porta, porta
de, de
madeira, Madeira
de, de
lei, lei
,, ,
cantada, cantar
em, em
verso, verso
e, e
prosa, proso
;, ;
a, o
Galeria, Galeria
Schaffer, Schaffer
,, ,
ex-sede, ex-sede
da, de o
antiga, antigo
Confeitaria, Confeitaria
Schaffer, Schaffer
e, e
hoje, hoje
,, ,
depois, depois
do, de o
incêndio, incêndio
de, de
1978, 1978
,, ,
um, um
dos, de o
pontos, ponto
culturais, cultural
da, de o
cidade, cidade
;, ;
a, o
Confeitaria, Confeitaria
das, de o
