O, ﻿O
primeiro, primeiro
grito, grito
de, de
Carnaval, carnaval
do, de o
centro, Centro
do, de o
Recife, Recife
vai, ir
ser, ser
dado, dar
oficialmente, oficialmente
às, a o
18h, 18h
de, de
sexta-feira, sexta-feira
,, ,
11, 11
de, de
fevereiro, fevereiro
., .
A, a
partir, partir
daí, de aí
,, ,
cerca, cerca
de, de
1,5, 1,5
milhão, milhão
de, de
pessoas, pessoa
deverá, dever
sair, sair
às, a o
ruas, rua
atrás, atrás
dos, de o
trios, trio
elétricos, elétrico
,, ,
blocos, bloco
de, de
 ,  
frevo, frevo
e, e
maracatus, maracatus
,, ,
numa, em um
festa, festa
que, que
só, só
deve, dever
terminar, terminar
dez, dez
dias, dia
depois, depois
., .

, 

A, o
cidade, cidade
se, se
preparou, preparar
como, como
nunca, nunca
este, este
ano, ano
., .
Quer, querer
competir, competir
com, com
Salvador, Salvador
e, e
,, ,
para, para
isso, isso
,, ,
investiu, investir
cerca, cerca
de, de
US$, US$
4, 4
milhões, milhão
na, em o
folia, folia
,, ,
com, com
o, o
patrocínio, patrocínio
de, de
empresas, empresa
privadas, privado
., .
Na, em o
decoração, decoração
,, ,
mais, mais
de, de
100, 100
mil, mil
lâmpadas, lâmpada
e, e
60, 60
estruturas, estrutura
com, com
até, até
15, 15
metros, metro
de, de
altura, altura
estão, estar
sendo, ser
instaladas, instalar
., .

, 

Cerca, cerca
de, de
300, 300
agremiações, agremiação
vão, ir
animar, animar
os, o
foliões, folião
,, ,
que, que
,, ,
além, além
do, de o
centro, centro
da, de o
cidade, cidade
,, ,
poderão, poder
se, se
divertir, divertir
também, também
na, em o
praia, praia
de, de
Boa, Boa
Viagem, Viagem
., .
No, em o
centro, centro
,, ,
a, o
maior, grande
atração, atração
é, ser
o, o
Galo, Galo
da, de o
Madrugada, Madrugada
,, ,
que, que
este, este
ano, ano
quer, querer
entrar, entrar
no, em o
", "
Guiness, Guiness
", "
como, como
o, o
maior, grande
bloco, bloco
de, de
frevo, frevo
do, de o
mundo, mundo
,, ,
capaz, capaz
de, de
