Que, ﻿Que
há, haver
para, para
fazer, fazer
em, em
Palo, Palo
Alto, Alto
?, ?
Turisticamente, turisticamente
,, ,
nada, nada
., .
Palo, Palo
Alto, Alto
é, ser
a, o
típica, típica
cidadezinha, cidadezinhar
de, de
subúrbio, subúrbio
norte-americana, norte-americana
–, –
lá, lá
,, ,
quase, quase
que, que
exclusivamente, exclusivamente
se, se
mora, morar
., .
A, o
sua, seu
população, população
gira, giro
em, em
torno, torno
de, de
15, 15
mil, mil
ou, ou
20, 20
mil, mil
habitantes, habitante
,, ,
na, em o
dependência, dependência
dos, de o
picos, pico
de, de
frequência, frequência
da, de o
universidade, universidade
de, de
Stanford, Stanford
,, ,
a, o
sua, seu
atração, atração
principal, principal
., .
Aliás, aliás
,, ,
uma, um
população, população
riquíssima, riquíssimo
,, ,
a, o
renda, renda
per, per
capita, capitar
em, em
torno, torno
dos, de o
US$, US$
20, 20
mil, mil
,, ,
uma, um
das, de o
maiores, grande
dos, de o
EUA, EUA
., .

, 

Trata-se, tratar se
de, de
uma, um
cidadezinha, cidadezinha
basicamente, basicamente
plana, plano
,, ,
mais, mais
árvores, árvore
do, de o
que, que
pessoas, pessoa
em, em
cada, cada
quarteirão, quarteirão
,, ,
um, um
cachorro, cachorro
ao, a o
menos, menos
em, em
cada, cada
casa, casa
., .
Em, em
Palo, Palo
Alto, Alto
,, ,
os, o
cães, cão
são, ser
respeitados, respeitar
como, como
pessoas, pessoa
., .
Várias, várias
lojas, loja
e, e
vários, vários
restaurantes, restaurante
permitem, permitir
a, o
sua, seu
entrada, entrada
na, em o
companhia, companhia
dos, de o
proprietários, proprietário
., .

, 

O, o
programa, programa
da, de o
juventude, juventude
de, de
Palo, Palo
Alto, Alto
é, ser
o, o
esporte, esporte
ao, a o
ar, ar
livre, livre
., .
A, o
cidadezinha, cidadezinha
ostenta, ostentar
uma, um
infinidade, infinidade
de, de
quadras, quadra
de, de
tênis, tênis
,, ,
abertas, aberto
a, a
quem, quem
quiser, querer
utilizá-las, utilizá-las
., .
Nas, em o
suas, seu
ruas, rua
e, e
avenidas, avenir
existem, existir
margens, margem
reservadas, reservar
para, para
os, o
ciclistas, ciclista
ou, ou
os, o
praticantes, praticante
das, de o
corridas, corrida
., .
E, e
,, ,
embora, embora
sejam, ser
poucos, pouco
os, o
semáforos, semáforo
,, ,
a, o
parada, parada
é, ser
obrigatória, obrigatório
em, em
quase, quase
todos, todo
os, o
cruzamentos, cruzamento
., .
Quem, quem
chega, chegar
ao, a o
xis, xis
estanca, estanca
automaticamente, automaticamente
o, o
seu, seu
veículo, veículo
,, ,
mesmo, mesmo
que, que
não, não
haja, haver
nenhum, nenhum
outro, outro
carro, carro
na, em o
mesma, mesmo
situação, situação
., .
Também, também
é, ser
compulsória, compulsório
a, o
parada, parada
diante, diante
da, de o
travessia, travessia
de, de
um, um
pedestre, pedestre
,, ,
mesmo, mesmo
que, que
o, o
cidadão, cidadão
não, não
esteja, estar
na, em o
sua, seu
faixa, faixa
de, de
proteção, proteção
., .
O, o
motorista, motorista
,, ,
muitas, muitas
vezes, vez
,, ,
não, não
se, se
apercebe, aperceber
da, de o
presença, presença
do, de o
policial, policial
., .

, 

Sem, sem
pontos, ponto
turísticos, turístico
,, ,
Palo, Palo
Alto, Alto
fica, ficar
perto, perto
,, ,
no, em o
entanto, entanto
,, ,
de, de
muitas, muito
instalações, instalação
de, de
lazer, lazer
,, ,
shoppings, shoppings
,, ,
lanchonetes, lanchonete
e, e
restaurantes, restaurante
., .
Num, em um
raio, raio
de, de
50, 50
quilômetros, quilômetro
existe, existir
meia, meia
dúzia, dúzia
de, de
clubes, clube
de, de
golfe, golfe
,, ,
o, o
dobro, dobro
de, de
minigolfe, minigolfe
,, ,
o, o
quádruplo, quádruplo
de, de
conjuntos, conjunto
de, de
sinuca, sinuca
e, e
fliperama, fliperama
., .
A, o
meros, mero
dez, dez
minutos, minuto
fica, ficar
,, ,
no, em o
alto, alto
da, de o
Sierra, Sierra
,, ,
a, o
falha, falha
de, de
San, San
Andreas, Andreas
,, ,
com, com
a, o
sua, seu
ameaça, ameaça
permanente, permanente
de, de
um, um
novo, novo
terremoto, terremoto
., .

, 

Isso, isso
assusta, assustar
?, ?
Para, para
quem, quem
deseja, desejar
um, um
turismo, turismo
acadêmico, acadêmico
,, ,
porém, porém
,, ,
a, o
universidade, universidade
de, de
Stanford, Stanford
dispõe, dispor
de, de
uma, um
das, de o
melhores, bom
bibliotecas, biblioteca
do, de o
planeta, planeta
–, –
mesmo, mesmo
duas, dois
décadas, década
atrás, atrás
,, ,
lá, lá
eu, eu
já, já
lia, lia
os, o
principais, principal
periódicos, periódico
do, de o
Brasil, Brasil
no, em o
dia, dia
seguinte, seguinte
à, a o
publicação, publicação
., .
Tem, ter
uma, um
excelente, excelente
galeria, galeria
de, de
arte, arte
., .
Um, um
majestoso, majestoso
hospital, hospital
de, de
pesquisa, pesquisa
básica, básico
., .
E, e
uma, um
coleção, coleção
de, de
20, 20
ganhadores, ganhador
do, de o
Prêmio, Prêmio
Nobel, Nobel
., .
Certa, certa
ocasião, ocasião
,, ,
num, em um
vestiário, vestiário
,, ,
perdi, perdi
o, o
sabonete, sabonete
num, em um
ralo, ralo
., .
Um, um
senhor, senhor
me, eu
emprestou, emprestar
o, o
dele, de ele
., .
Depois, depois
me, eu
disseram, dizer
o, o
seu, seu
nome, nome
,, ,
professor, professor
Bill, Bill
Shockley, Shockley
,, ,
Nobel, Nobel
de, de
56, 56
,, ,
apenas, apenas
o, o
inventor, inventor
do, de o
transistor, transistor
., .
(, (
Sílvio, Sílvio
Lancellotti, Lancellotti
), )

, 

