Já, ﻿Já
foi, ser
mais, mais
difícil, difícil
tirar, tirar
o, o
passaporte, passaporte
., .
Hoje, hoje
dá, dar
até, até
para, para
fazê-lo, fazer ele
pelo, por o
correio, correio
., .
É, ser
mais, mais
caro, caro
,, ,
mas, mas
o, o
usuário, usuário
não, não
fica, ficar
em, em
filas, fila
e, e
nem, nem
precisa, precisar
ir, ir
à, a o
Polícia, Polícia
Federal, Federal
., .
E, e
recebe, receber
entre, entre
sete, sete
e, e
dez, dez
dias, dia
úteis, útil
., .

, 

O, o
kit-passaporte, kit-passaporte
vendido, vender
nas, em o
agências, agência
do, de o
correio, correio
custa, custar
CR$, CR$
14,3, 14,3
mil, mil
., .
Contém, Contém
um, um
envelope, envelope
de, de
Sedex, Sedex
especial, especial
,, ,
uma, um
solicitação, solicitação
do, de o
documento, documento
pré-endereçada, pré-endereçadar
à, a o
PF, PF
,, ,
dois, dois
formulários, formulário
de, de
requerimento, requerimento
e, e
dois, dois
de, de
aviso, aviso
de, de
recebimento, recebimento
., .
Dentro, dentro
devem, dever
ser, ser
colocados, colocar
os, o
documentos, documento
–, –
originais, original
ou, ou
xerox, xerox
., .

, 

As, o
cópias, cópia
podem, poder
ser, ser
autenticadas, autenticar
no, em o
correio, correio
., .
O, o
usuário, usuário
recebe, receber
o, o
aviso, aviso
de, de
chegada, chegada
do, de o
passaporte, passaporte
e, e
tem, ter
30, 30
dias, dia
para, para
retirá-lo, retirar ele
., .

, 

Quem, quem
quer, querer
gastar, gastar
menos, menos
,, ,
deve, dever
ir, ir
direto, direto
à, a o
PF, PF
e, e
pagar, pagar
antes, antes
no, em o
banco, banco
o, o
Darf, Darf
–, –
taxa, taxa
de, de
CR$, CR$
3.960,00, 3.960,00
., .
Em, em
São, São
Paulo, Paulo
–, –
o, o
atendimento, atendimento
é, ser
das, de o
8h, 8h
às, a o
16h, 16h
–, –
,, ,
o, o
passaporte, passaporte
sai, sair
no, em o
mesmo, mesmo
dia, dia
para, para
quem, quem
der, dar
entrada, entrada
até, até
as, o
12h, 12h
., .
Caso, caso
contrário, contrário
,, ,
só, só
no, em o
dia, dia
seguinte, seguinte
., .

, 

