Requebrar, ﻿Requebrar
., .
É, ser
esse, esse
o, o
verbo, verbo
que, que
vai, ir
reger, reger
o, o
Carnaval, carnaval
baiano, baiano
deste, de este
ano, ano
., .
A, o
música, música
", "
Requebra, Requebra
", "
,, ,
da, de o
dupla, dupla
Onasis, Onasis
e, e
Nego, Nego
,, ,
do, de o
Olodum, Olodum
,, ,
já, já
virou, virar
hit, hit
da, de o
estação, estação
., .
Turistas, turista
desajeitados, desajeitar
–, –
e, e
outros, outro
nem, nem
tanto, tanto
–, –
já, já
aderiram, aderir
ao, a o
refrão, refrão
", "
requebra, requebra
,, ,
requebra, requebra
,, ,
requebra, requebrar
assim, assim
,, ,
pode, poder
falar, falar
,, ,
pode, poder
rir, rir
de, de
mim, eu
", "
e, e
tentam, tentar
seguir, seguir
com, com
a, o
cara, cara
,, ,
a, o
coragem, coragem
e, e
o, o
quadril, quadril
o, o
jogo, jogo
de, de
cintura, cintura
que, que
só, só
o, o
baiano, baiano
tem, ter
., .

, 

Além, além
de, de
sua, seu
música, música
ser, ser
das, de o
mais, mais
tocadas, tocada
,, ,
o, o
Olodum, Olodum
promete, prometer
também, também
a, o
maior, grande
estrela, estrela
deste, de este
Carnaval, carnaval
., .
O, o
bloco, bloco
aproveitou, aproveitar
a, o
deixa, deixa
do, de o
diretor, diretor
norte-americano, norte-americano
Spike, Spike
Lee, Lee
–, –
que, que
encomendou, encomendar
aos, a o
tambores, tambor
do, de o
Pelourinho, Pelourinho
uma, um
música, música
para, para
a, o
trilha, trilha
de, de
seu, seu
próximo, próximo
filme, filme
–, –
e, e
o, ele
convidou, convidar
para, para
cair, cair
na, em o
folia, folia
paramentado, paramentar
com, com
as, o
cores, cor
verde, verde
,, ,
amarelo, amarelo
,, ,
vermelho, vermelho
e, e
preto, preto
., .

, 

Furacão, furacão
baiano, baiano
de, de
93, 93
–, –
e, e
apesar, apesar
de, de
ainda, ainda
fazer, fazer
sucesso, sucesso
–, –
,, ,
a, o
cantora, cantora
Daniela, Daniela
Mercury, Mercury
corre, correr
o, o
risco, risco
de, de
ter, ter
que, que
disputar, disputar
seu, seu
título, título
de, de
rainha, rainha
da, de o
axé, axé
music, music
., .
A, o
bela, belo
e, e
também, também
talentosa, talentoso
cantora, cantor
Simone, Simone
Moreno, Moreno
tem, ter
aquecido, aquecido
e, e
chacoalhado, chacoalhar
os, o
candidatos, candidato
a, a
foliões, folião
,, ,
mostrando, mostrar
que, que
vai, ir
pintar, pintar
,, ,
bordar, bordar
e, e
reinar, reinar
este, este
ano, ano
., .

, 

Outras, outro
mulheres, mulher
também, também
prometem, prometer
fazer, fazer
barulho, barulho
:, :
o, o
conjunto, conjunto
Bolacha, Bolacha
Maria, Maria
,, ,
versão, versão
feminina, feminino
–, –
mais, mais
modesta, modesto
–, –
da, de o
Timbalada, Timbalada
de, de
Carlinhos, Carlinhos
Brown, Brown
., .
As, o
meninas, menina
cantam, cantar
e, e
tocam, tocar
em, em
panelas, panelas
e, e
tampas, tampa
., .

, 

