Turista, ﻿Turista
sofre, sofrer
!, !
Entre, entre
um, um
parque, parque
e, e
outro, outro
–, –
", "
maior, grande
ainda, ainda
", "
,, ,
clamam, clamar
os, o
pés, pé
–, –
,, ,
sempre, sempre
encontra, encontrar
um, um
jeito, jeito
de, de
arranhar, arranhar
o, o
carro, carro
da, de o
locadora, locadora
,, ,
comprar, comprar
confusão, confusão
por, por
causa, causa
da, de o
gorjeta, gorjeta
,, ,
perder, perder
os, o
cheques, cheque
de, de
viagem, viagem
., .
Isso, isso
quando, quando
,, ,
na, em o
véspera, véspera
da, de o
volta, volta
,, ,
não, não
dá, dar
de, de
cara, cara
com, com
a, o
porta, porta
fechada, fechar
daquele, de aquele
museu, museu
com, com
o, o
qual, qual
sonhou, sonhar
toda, todo
a, o
vida, vida
., .

, 

É, ser
para, para
resolver, resolver
problemas, problema
desse, de esse
tipo, tipo
–, –
e, e
,, ,
obviamente, obviamente
,, ,
conduzir, conduzir
o, o
leitor, leitor
pelos, por o
labirintos, labirinto
turísticos, turístico
–, –
que, que
existem, existir
os, o
guias, guia
de, de
viagem, viagem
., .
Como, como
é, ser
impossível, impossível
atender, atender
todas, todo
as, o
expectativas, expectativa
e, e
situações, situação
,, ,
os, o
guias, guia
surgem, surgir
e, e
vivem, viver
editorialmente, editorialmente
com, com
suas, seu
deficiências, deficiência
conceituais, conceitual
–, –
ou, ou
seu, seu
pecado, pecado
original, original
., .

, 

Entre, entre
os, o
títulos, título
consagrados, consagrado
–, –
Baedeker, Baedeker
e, e
companhia, companhia
–, –
,, ,
os, o
guias, guia
American, American
Express, Express
/, /
Globo, Globo
se, se
colocam, colocar
entre, entre
aqueles, aquele
que, que
melhor, melhor
cumprem, cumprir
a, o
função, função
de, de
informar, informar
e, e
,, ,
talvez, talvez
,, ,
formar, formar
o, o
gosto, gosto
do, de o
viajante, viajante
., .
", "
Los, Los
Angeles, Angeles
&, &
San, San
Francisco, Francisco
", "
e, e
", "
Roma, Roma
", "
são, ser
os, o
novos, novo
destinos, destino
da, de o
série, série
em, em
português, português
., .

, 

Antes, antes
de, de
embarcar, embarcar
na, em o
leitura, leitura
do, de o
miolo, miolo
A-Z, A-Z
que, que
relaciona, relacionar
o, o
que, que
deve, dever
ser, ser
visto, ver
nas, em o
cidades, cidade
,, ,
quem, quem
quiser, querer
evitar, evitar
problemas, problema
,, ,
ou, ou
saber, saber
como, como
sair, sair
deles, de eles
,, ,
deve, dever
atentar, atentar
para, para
as, o
páginas, página
iniciais, inicial
,, ,
com, com
informações, informação
básicas, básico
para, para
marinheiros, marinheiro
de, de
primeira, primeira
,, ,
segunda, segundo
ou, ou
terceira, terceiro
viagem, viagem
., .
De, de
documentos, documento
para, para
a, o
viagem, viagem
ao, a o
guarda-roupa, guarda-roupa
indicado, indicar
,, ,
dos, de o
cuidados, cuidado
com, com
a, o
alfândega, alfândega
à, a o
época, época
ideal, ideal
para, para
viajar, viajar
,, ,
tudo, tudo
está, estar
lá, lá
., .
Há, haver
até, até
uma, um
página, página
que, que
só, só
trata, tratar
de, de
emergências, emergência
., .

, 

Depois, depois
,, ,
é, ser
só, só
escolher, escolher
,, ,
em, em
ordem, ordem
alfabética, alfabético
,, ,
o, o
que, que
ver, ver
,, ,
onde, onde
ficar, ficar
,, ,
comer, comer
e, e
comprar, comprar
., .
Achar, Achar
defeitos, defeito
lembra, lembrar
procurar, procurar
pulga, pulga
em, em
elefante, elefante
., .
As, o
vezes, vez
os, o
verbetes, verbete
são, ser
muito, muito
curtos, curto
ou, ou
muito, muito
longos, longo
,, ,
mas, mas
quem, quem
sabe, saber
a, o
medida, medida
da, de o
curiosidade, curiosidade
do, de o
leitor, leitor
?, ?
A, o
escolha, escolha
deste, de este
hotel, hotel
ou, ou
daquele, de aquele
restaurante, restaurante
é, ser
a, o
manifestação, manifestação
de, de
um, um
gosto, gosto
pessoal, pessoal
,, ,
mas, mas
qual, qual
seria, ser
a, o
maneira, maneira
de, de
indicar, indicar
as, o
centenas, centena
de, de
estabelecimentos, estabelecimento
de, de
uma, um
metrópole, metrópole
?, ?

, 

Há, haver
erros, erro
,, ,
sim, sim
,, ,
e, e
graves, grave
,, ,
como, como
a, o
inversão, inversão
dos, de o
símbolos, símbolo
referentes, referente
à, a o
categoria, categoria
de, de
preços, preço
dos, de o
hotéis, hotel
., .
Por, por
um, um
passe, passe
de, de
mágica, mágica
,, ,
ou, ou
um, um
erro, erro
na, em o
montagem, montagem
das, de o
páginas, página
,, ,
o, o
", "
muito, muito
caro, caro
", "
saiu, sair
como, como
", "
muito, muito
barato, barato
", "
., .
Assim, assim
,, ,
em, em
Roma, Roma
,, ,
quem, quem
se, se
instalar, instalar
no, em o
", "
muito, muito
barato, barato
", "
hotel, hotel
Hassler-Villa, Hassler-Villa
Medici, Medici
deve, dever
se, se
armar, armar
de, de
uma, um
boa, bom
explicação, explicação
na, em o
hora, hora
de, de
pagar, pagar
a, o
astronômica, astronômico
conta, conta
., .
O, o
erro, erro
se, se
repete, repetir
no, em o
guia, guia
de, de
Los, Los
Angeles, Angeles
&, &
San, San
Francisco, Francisco
., .

, 

Pelas, por o
informações, informação
,, ,
mapas, mapa
,, ,
critérios, critério
racionais, racional
e, e
tamanho, tamanho
adequado, adequado
–, –
preço, preço
nem, nem
tanto, tanto
–, –
,, ,
compareça, comparecer
à, a o
estréia, estréia
do, de o
Brasil, Brasil
na, em o
Copa, copa
com, com
o, o
guia, guia
", "
Los, Los
Angeles, Angeles
&, &
San, San
Francisco, Francisco
", "
e, e
,, ,
a, a
qualquer, qualquer
momento, momento
,, ,
embarque, embarque
para, para
a, o
Cidade, Cidade
Eterna, Eterna
com, com
", "
Roma, Roma
", "
na, em o
mala, mala
., .
Talvez, talvez
você, você
sofra, sofrar
um, um
pouco, pouco
menos, menos
–, –
a, a
não, não
ser, ser
que, que
perca, percar
os, o
guias, guia
logo, logo
no, em o
início, início
da, de o
viagem, viagem
., .

, 

", "
LOS, LOS
ANGELES, ANGELES
&, &
SAN, SAN
FRANCISCO, FRANCISCO
", "
,, ,
de, de
Brian, Brian
Eads, Eads
,, ,
tradução, tradução
de, de
Lise, Lise
Aron, Aron
e, e
Sheila, Sheila
Mazzolenis, Mazzolenis
,, ,
260, 260
páginas, página
,, ,
e, e
", "
ROMA, ROMA
", "
,, ,
de, de
