"How, ﻿"How
was, Was
your, Your
trip, trip
", "
,, ,
perguntou, perguntar
Doug, Doug
Cleghorn, Cleghorn
,, ,
sócio-proprietário, sócio-proprietário
da, de o
Orange, Orange
Blosson, Blosson
Balloons, Balloons
., .
", "
Unforgettable, Unforgettable
", "
,, ,
respondi, respondi
., .
Foi, ser
a, o
única, único
palavra, palavra
que, que
encontrei, encontrar
naquele, em aquele
minuto, minuto
para, para
resumir, resumir
minha, meu
sensação, sensação
de, de
sobrevoar, sobrevoar
de, de
balão, balão
os, o
parques, parque
de, de
Walt, Walt
Disney, disney
World, World
., .
Ainda, ainda
estava, estar
extasiada, extasiado
., .

, 

Minha, minha
aventura, aventura
começou, começar
de, de
madrugada, madrugada
., .
Praticar, praticar
balonismo, balonismo
requer, requerer
certos, certos
esforços, esforço
., .
O, o
primeiro, primeiro
deles, de ele
foi, ser
colocar, colocar
o, o
despertador, despertador
para, para
bem, bem
cedo, cedo
,, ,
antes, antes
mesmo, mesmo
das, de o
5h, 5h
., .
Deixei, Deixei
o, o
hotel, hotel
antes, antes
das, de o
6h, 6h
,, ,
sem, sem
café, café
da, de o
manhã, manhã
–, –
recomendação, recomendação
expressa, express
para, para
", "
balonistas, balonista
de, de
primeira, primeiro
viagem, viagem
", "
., .
Os, o
ventos, vento
mais, mais
propícios, propício
sopram, soprar
por, por
volta, volta
das, de o
7h, 7h
., .
E, e
lá, lá
estávamos, estar
., .

, 

O, o
sol, sol
ainda, ainda
era, ser
uma, um
imensa, imenso
bola, bola
vermelha, vermelho
no, em o
horizonte, horizonte
quando, quando
iniciamos, iniciar
a, o
montagem, montagem
dos, de o
balões, balão
., .
Foi, ser
um, um
espetáculo, espetáculo
à, a o
parte, parte
., .
A, o
imensa, imenso
lona, lona
foi, ser
atada, atar
ao, a o
cesto, cesto
e, e
esticada, esticar
sobre, sobre
o, o
gramado, gramado
., .
Um, um
potente, potente
ventilador, ventilador
encheu-a, encheu-a
de, de
ar, ar
frio, frio
,, ,
que, que
foi, ser
aquecido, aquecir
por, por
um, um
ruidoso, ruidoso
maçarico, maçarico
., .
Doug, Doug
explicou, explicar
que, que
aquecer, aquecer
o, o
ar, ar
sempre, sempre
que, que
se, se
deseja, desejar
ganhar, ganhar
altura, altura
e, e
esfriar, esfriar
o, o
ar, ar
sempre, sempre
que, que
se, se
deseja, desejar
perder, perder
altura, altura
eram, ser
os, o
mecanismos, mecanismo
fundamentais, fundamental
para, para
dirigir, dirigir
um, um
balão, balão
., .
Já, já
o, o
ponto, ponto
de, de
chegada, chegada
,, ,
segundo, segundo
ele, ele
,, ,
", "
nobody, nobody
knows, Knows
", "
,, ,
fica, ficar
ao, a o
sabor, sabor
das, de o
eventuais, eventual
rajadas, rajada
de, de
vento, vento
., .

, 

As, o
8h, 8h
,, ,
subi, subi
aos, a o
céus, céu
excentricamente, excentricamente
acomodada, acomodar
em, em
um, um
cesto, cesto
de, de
vime, vime
., .
Não, não
consegui, conseguir
esconder, esconder
um, um
certo, certo
friozinho, friozinho
no, em o
estômago, estômago
., .
Mas, mas
a, o
suavidade, suavidade
com, com
que, que
o, o
balão, balão
vai, ir
ganhando, ganhar
altura, altura
me, eu
surpreendia, surpreendia
., .
E, e
a, o
paisagem, paisagem
foi, ser
se, se
revelando, revelar
:, :
árvores, árvore
,, ,
lagoas, lagoa
e, e
a, o
Disney, Disney
,, ,
num, em um
ângulo, ângulo
superexclusivo, superexclusivo
., .

, 

O, o
tempo, tempo
passou, passar
,, ,
literalmente, literalmente
,, ,
voando, voar
., .
", "
Vamos, ir
pousar, pousar
", "
,, ,
disse, dizer
o, o
piloto, piloto
,, ,
já, já
sobrevoando, sobrevoar
a, o
copa, copa
das, de o
árvores, árvore
,, ,
a, a
poucos, pouco
metros, metro
do, de o
chão, chão
., .
", "
Atenção, atenção
,, ,
segurem, segur
firme, firme
., .
", "
E, e
o, o
cesto, cesto
de, de
vime, vime
caiu, cair
violentamente, violentamente
sobre, sobre
o, o
solo, solo
,, ,
encerrando, encerrar
os, o
60, 60
minutos, minuto
mais, mais
inesquecíveis, inesquecível
de, de
uma, um
viagem, viagem
a, a
Orlando, Orlando
., .
(, (
Patrícia, Patrícia
Trudes, Trudes
da, de o
Veiga, Veiga
), )

, 

QUANTO, qUANTO
CUSTA, CUSTA
-, -
US$, US$
150, 150
(, (
adulto, adulto
), )
e, e
US$, US$
110, 110
(, (
criança, criança
), )
,, ,
na, em o
Orange, Orange
Blossom, Blossom
Balloons, Balloons
,, ,
tel., tel.
(, (
407, 407
), )
239-7677, 239-7677
,, ,
em, em
Orlando, Orlando
., .

, 

