Circunscrever, ﻿Circunscrever
ao, a o
Estado, estado
de, de
São, São
Paulo, Paulo
as, o
opções, opção
de, de
saída, saída
no, em o
primeiro, primeiro
feriado, feriado
emendado, emendar
de, de
94, 94
do, de o
paulistano, paulistano
é, ser
uma, um
injustiça, injustiça
., .
Afinal, afinal
,, ,
há, haver
roteiros, roteiro
organizados, organizar
por, por
agências, agência
do, de o
Rio, Rio
à, a o
Bahia, Bahia
., .
Veja, Veja
só, só
:, :

, 

Ilha, Ilha
de, de
Itanhangá, Itanhangá
:, :
protegida, protegir
pela, por o
baía, baía
de, de
Ilha, Ilha
Grande, Grande
(, (
RJ, RJ
), )
,, ,
essa, esse
pequena, pequeno
ilha, ilha
abriga, abrigar
uma, um
pousada, pousado
rústica, rústico
sem, sem
luz, luz
elétrica, elétrico
., .
A, o
Biotrip, Biotrip
(, (
011-572-1029, 011-572-1029
), )
oferece, oferecer
pacote, pacote
de, de
21, 21
a, a
25/1, 25/1
que, que
inclui, incluir
transporte, transporte
,, ,
pensão, pensão
completa, completo
e, e
passeio, passeio
de, de
barco, barco
., .
Custa, custar
US$, US$
227, 227
(, (
CR$, CR$
79,5, 79,5
mil, mil
), )
por, por
pessoa, pessoa
., .

, 

Ilha, Ilha
Grande, Grande
(, (
RJ, RJ
):, ):
excursão, excursão
organizada, organizar
pela, por o
Freeway, Freeway
(, (
011-884-9966, 011-884-9966
), )
,, ,
com, com
passeios, passeio
de, de
escuna, escuna
,, ,
mergulhos, mergulho
e, e
muito, muito
", "
trekking, trekking
", "
,, ,
inclui, incluir
transporte, transporte
,, ,
hospedagem, hospedagem
em, em
pousada, pousar
,, ,
refeições, refeição
e, e
seguro-viagem, seguro-viagem
., .
Preço, preço
:, :
US$, US$
245, 245
(, (
CR$, CR$
85,8, 85,8
mil, mil
), )
por, por
pessoa, pessoa
., .

, 

Parque, Parque
Nacional, Nacional
do, de o
Caraça, Caraça
(, (
MG, MG
):, ):
11,2, 11,2
mil, mil
hectares, hectare
de, de
mata, mata
cercam, cercar
um, um
ex-convento, ex-convento
e, e
colégio, colégio
religioso, religioso
cuja, cujo
origem, origem
data, data
do, de o
século, século
18, 18
,, ,
hoje, hoje
uma, um
hospedaria, hospedaria
., .
Pela, por o
Trilhabrasil, Trilhabrasil
(, (
011-258-5220, 011-258-5220
), )
,, ,
pacote, pacote
de, de
21, 21
a, a
25/1, 25/1
custa, custar
US$, US$
200, 200
(, (
CR$, CR$
70, 70
mil, mil
), )
por, por
pessoa, pessoa
., .
Inclui, Inclui
transporte, transporte
em, em
microônibus, microônibu
,, ,
hospedagem, hospedagem
em, em
quarto, quarto
duplo, duplo
ou, ou
triplo, triplo
no, em o
colégio, colégio
,, ,
pensão, pensão
completa, completo
e, e
seguro-viagem, seguro-viagem
., .

, 

Pantanal, Pantanal
(, (
MS, MS
):, ):
pacote, pacote
da, de o
Ecotrip, Ecotrip
(, (
011-284-5434, 011-284-5434
), )
desvenda, desvendar
a, o
região, região
do, de o
rio, rio
Vermelho, Vermelho
., .
Com, com
transporte, transporte
em, em
ônibus-leito, ônibus-leito
,, ,
hospedagem, hospedagem
,, ,
pensão, pensão
completa, completo
e, e
seguro-viagem, seguro-viagem
,, ,
custa, custar
US$, US$
345, 345
(, (
CR$, CR$
120,8, 120,8
mil, mil
), )
por, por
pessoa, pessoa
., .

, 

Porto, Porto
Seguro, Seguro
(, (
BA, BA
):, ):
programa, programa
para, para
quem, quem
pode, poder
emendar, emendar
alguns, algum
dias, dia
a, a
mais, mais
no, em o
feriado, feriado
é, ser
oferecido, oferecer
pela, por o
agência, agência
da, de o
Associação, Associação
Paulista, Paulista
de, de
Albergues, Albergues
da, de o
Juventude, Juventude
(, (
011-35-3077, 011-35-3077
), )
., .
São, ser
dez, dez
dias, dia
(, (
saída, saída
em, em
21/1, 21/1
), )
no, em o
albergue, albergue
Maracaia, Maracaia
–, –
o, o
melhor, bom
do, de o
Brasil, Brasil
,, ,
dizem, dizer
., .
Com, com
transporte, transporte
,, ,
seguro-viagem, seguro-viagem
e, e
café, café
da, de o
manhã, manhã
,, ,
custa, custar
US$, US$
254, 254
(, (
CR$, CR$
88,9, 88,9
mil, mil
), )
por, por
pessoa, pessoa
., .
É, ser
preciso, preciso
ter, ter
carteirinha, carteirinha
de, de
alberguista, alberguista
,, ,
obtida, obter
na, em o
Apaj, Apaj
por, por
CR$, CR$
7.0000,00, 7.0000,00
(, (
validade, validade
de, de
um, um
ano, ano
), )
., .
O, o
alojamento, alojamento
é, ser
coletivo, coletivo
., .
(, (
CK, CK
), )

, 

