Os, ﻿Os
argentinos, argentino
Alejandro, Alejandro
Estrella, Estrella
,, ,
26, 26
,, ,
e, e
Mônica, Mônica
Sanchez, Sanchez
,, ,
26, 26
,, ,
de, de
Buenos, Buenos
Aires, Aires
,, ,
afirmam, afirmar
que, que
se, se
surpreenderam, surpreender
com, com
qualidade, qualidade
da, de o
hotelaria, hotelaria
nacional, nacional
,, ,
nas, em o
duas, dois
vezes, vez
em, em
que, que
estiveram, estar
no, em o
Brasil, Brasil
., .

, 

Eles, eles
pretendiam, pretender
voltar, voltar
ao, a o
seu, seu
país, país
depois, depois
de, de
uma, um
semana, semana
de, de
lua-de-mel, lua-de-mel
em, em
Florianópolis, Florianópolis
(, (
SC, SC
), )
., .
Quando, quando
namoravam, namorar
,, ,
conheceram, conhecer
Foz, Foz
do, de o
Iguaçu, Iguaçu
(, (
PR, PR
), )
,, ,
onde, onde
tiveram, ter
a, o
mesma, mesmo
impressão, impressão
., .

, 

`, `
`, `
A, o
hotelaria, hotelaria
foi, ser
o, o
que, que
realmente, realmente
mais, mais
me, eu
agradou, agradar
em, em
nossas, nosso
viagens, viagem
ao, a o
Brasil, Brasil
., .
Aqui, aqui
,, ,
um, um
hotel, hotel
de, de
quatro, quatro
estrelas, estrela
é, ser
de, de
quatro, quatro
estrelas, estrela
., .
Lá, lá
,, ,
um, um
de, de
três, três
é, ser
como, como
se, se
fosse, ser
de, de
duas, dois
'', ''
,, ,
afirmou, afirmar
Estrella, Estrella
., .

, 

