Desde, ﻿Desde
o, o
século, século
16, 16
,, ,
há, haver
quem, quem
conte, conte
nos, em o
mapas, mapa
da, de o
região, região
de, de
Angra, Angra
dos, de o
Reis, Reis
_, _
também, também
chamada, chamar
baía, baía
de, de
Reis, Reis
_, _
exatas, exato
365, 365
ilhas, ilha
,, ,
uma, um
para, para
cada, cada
dia, dia
do, de o
ano, ano
., .

, 

Passados, Passados
quatro, quatro
séculos, século
da, de o
descoberta, descoberta
dessas, de esse
costas, costa
por, por
André, André
Gonçalves, Gonçalves
,, ,
que, que
aqui, aqui
veio, vir
na, em o
expedição, expedição
de, de
Américo, Américo
Vespúcio, Vespúcio
,, ,
em, em
1502, 1502
,, ,
essa, esse
porção, porção
idílica, idílico
do, de o
litoral, litoral
brasileiro, brasileiro
ainda, ainda
conserva, conservar
muito, muito
de, de
suas, seu
características, característica
originais, original
., .

, 

Mesmo, mesmo
transformada, transformar
no, em o
local, local
que, que
sedia, sediar
as, o
usinas, usina
nucleares, nuclear
brasileiras, brasileiro
desde, desde
os, o
70, 70
,, ,
Angra, Angra
dos, de o
Reis, Reis
ainda, ainda
hoje, hoje
se, se
distingue, distinguir
pela, por o
beleza, beleza
de, de
suas, seu
ilhas, ilha
,, ,
pelas, por o
construções, construção
coloniais, colonial
e, e
pelo, por o
encanto, encanto
rudimentar, rudimentar
de, de
suas, seu
embarcações, embarcação
., .

, 

No, em o
calendário, calendário
real, real
,, ,
que, que
se, se
conta, contar
em, em
dias, dia
e, e
não, não
em, em
ilhas, ilha
,, ,
o, o
tempo, tempo
passa, passar
docemente, docemente
e, e
é, ser
marcado, marcar
por, por
festas, festa
singelas, singela
,, ,
como, como
a, o
procissão, procissão
marítima, marítimo
de, de
1º, 1º
de, de
janeiro, janeiro
,, ,
o, o
aniversário, aniversário
da, de o
cidade, cidade
no, em o
Dia, Dia
dos, de o
Reis, Reis
Magos, Magos
(, (
6, 6
de, de
janeiro, janeiro
), )
e, e
uma, um
outra, outro
romaria, romaria
de, de
barcos, barco
que, que
homenageia, homenagear
o, o
Senhor, Senhor
do, de o
Bonfim, Bonfim
no, em o
segundo, segundo
domingo, domingo
de, de
maio, maio
., .

, 

(, (
Silvio, Silvio
Cioffi, Cioffi
), )

, 

