A, ﻿A
angra, angro
_, _
uma, um
baía, baía
aberta, aberto
,, ,
cercada, cercar
de, de
montanhas, montanha
e, e
localizada, localizar
a, a
cerca, cerca
de, de
160, 160
km, km
ao, a o
sul, sul
do, de o
Rio, Rio
_, _
foi, ser
descoberta, descobrir
a, a
6, 6
de, de
janeiro, janeiro
de, de
1502, 1502
e, e
batizada, batizar
de, de
Angra, Angra
dos, de o
Reis, Reis
em, em
homenagem, homenagem
aos, a o
reis, rei
magos, mago
., .

, 

Mas, mas
essa, esse
região, região
,, ,
hoje, hoje
apelidada, apelidar
de, de
Costa, Costa
Verde, Verde
,, ,
só, só
seria, ser
descoberta, descobrir
pelos, por o
turistas, turista
na, em o
década, década
de, de
70, 70
,, ,
com, com
a, o
inauguração, inauguração
da, de o
rodovia, rodovia
Rio-Santos, Rio-Santos
(, (
BR-101, BR-101
), )
., .

, 

Entre, entre
o, o
verde, verde
da, de o
Mata, Mata
Atlântica, Atlântica
e, e
o, o
mar, mar
surgiram, surgir
,, ,
nos, em o
anos, ano
seguintes, seguinte
,, ,
grandes, grande
empreendimentos, empreendimento
hoteleiros, hoteleiro
e, e
o, o
hotel, hotel
do, de o
Frade, Frade
,, ,
construído, construir
em, em
1972, 1972
pelo, por o
empresário, empresário
carioca, carioca
Carlos, Carlos
Borges, Borges
,, ,
20, 20
km, km
mais, mais
ao, a o
sul, sul
,, ,
foi, ser
o, o
pioneiro, pioneiro
., .

, 

Com, com
uma, um
paisagem, paisagem
dominada, dominar
pelo, por o
pico, pico
do, de o
Frade, Frade
,, ,
de, de
1.640, 1.640
m, m
,, ,
o, o
resort, resort
tem, ter
área, área
de, de
80, 80
hectares, hectare
,, ,
o, o
equivalente, equivalente
à, a o
metade, metade
do, de o
parque, parque
do, de o
Ibirapuera, Ibirapuera
(, (
SP, SP
), )
., .

, 

Mas, mas
isso, isso
é, ser
só, só
a, o
ponta, ponta
de, de
um, um
iceberg, iceberg
., .
O, o
complexo, complexo
_, _
uma, um
espécie, espécie
de, de
ilha, ilha
da, de o
fantasia, fantasia
nesse, em esse
litoral, litoral
de, de
tantas, tanto
ilhas, ilha
_, _
é, ser
cercado, cercar
por, por
uma, um
fazenda, fazenda
onde, onde
há, haver
ruínas, ruína
e, e
por, por
uma, um
floresta, floresta
nativa, nativo
que, que
,, ,
juntas, juntar
,, ,
somam, somar
1.700, 1.700
hectares, hectare
(, (
16, 16
km2, km2
), )
., .

, 

LEIA, LEIA
MAIS, MAIS

, 

Sobre, sobre
a, o
região, região
de, de
Angra, Angra
dos, de o
Reis, Reis
(, (
RJ, RJ
), )
nas, em o
págs, pág
., .
6-12, 6-12
e, e
6-13, 6-13
., .

, 

SILVIO, SILVIO
CIOFFI, CIOFFI
viajou, viajar
à, a o
convite, convite
da, de o
Transbrasil, Transbrasil
e, e
do, de o
hotel, hotel
do, de o
Frade, Frade

, 

