Você, ﻿Você
ficaria, ficar
até, até
duas, dois
horas, hora
perdido, perder
numa, em um
fila, fila
,, ,
sob, sob
sol, sol
escaldante, escaldante
,, ,
à, a o
espera, espera
de, de
poucos, pouco
minutos, minuto
de, de
emoção, emoção
?, ?

, 

É, ser
o, o
que, que
milhares, milhar
de, de
pessoas, pessoa
fazem, fazer
diariamente, diariamente
para, para
ver, ver
a, o
nova, novo
atração, atração
da, de o
Disneylândia, Disneylândia
:, :
`, `
`, `
As, As
Aventuras, Aventuras
de, de
Indiana, Indiana
Jones, Jones
'', ''
., .

, 

Vale, Vale
a, o
pena, pena
., .
É, ser
de, de
mexer, mexer
com, com
a, o
adrenalina, adrenalina
., .
A, o
fila, fila
termina, terminar
com, com
o, o
embarque, embarque
em, em
um, um
jipe, jipe
que, que
conduz, conduzir
o, o
visitante, visitante
a, a
uma, um
viagem, viagem
pelo, por o
Templo, Templo
do, de o
Olho, Olho
Proibido, Proibido
., .

, 

A, o
cada, cada
curva, curvar
,, ,
uma, um
surpresa, surpresa
., .
Às, a o
vezes, vez
,, ,
é, ser
necessária, necessário
a, o
orientação, orientação
de, de
Indiana, Indiana
Jones, Jones
(, (
um, um
boneco, boneco
perfeito, perfeito
do, de o
ator, ator
Harrison, Harrison
Ford, Ford
), )
para, para
livrar, livrar
os, o
passageiros, passageiro
do, de o
perigo, perigo
iminente, iminente
., .

, 

No, em o
fim, fim
do, de o
percurso, percurso
,, ,
a, o
maior, grande
surpresa, surpresa
., .
Uma, um
enorme, enorme
pedra, pedra
rolando, rolar
ameaça, ameaçar
massacrar, massacrar
toda, todo
a, o
tripulação, tripulação
do, de o
jipe, jipe
., .
Mais, mais
uma, uma
vez, vez
,, ,
o, o
herói, herói
Jones, Jones
intervém, intervém
., .

, 

O, o
sonho, sonho
de, de
Walt, Walt
Disney, disney
de, de
proporcionar, proporcionar
divertimento, divertimento
para, para
pais, pai
e, e
filhos, filho
juntos, junto
continua, continuar
sendo, ser
realizado, realizar
40, 40
anos, ano
depois, depois
na, em o
Disneylândia, Disneylândia
da, de o
Califórnia, Califórnia
., .

, 

Ao, a o
entrar, entrar
pelo, por o
portão, portão
principal, principal
do, de o
parque, parque
,, ,
o, o
mundo, mundo
real, Real
é, ser
esquecido, esquecer
do, de o
lado, lado
de, de
fora, fora
., .
Diversão, diversão
e, e
encanto, encanto
tomam, tomar
conta, conta
das, de o
pessoas, pessoa
,, ,
independentemente, independentemente
da, de o
idade, idade
., .

, 

Aberto, Aberto
em, em
julho, julho
de, de
1955, 1955
e, e
localizado, localizar
na, em o
cidade, cidade
de, de
Anaheim, Anaheim
,, ,
a, a
20, 20
minutos, minuto
de, de
Los, Los
Angeles, Angeles
,, ,
o, o
parque, parque
está, estar
se, se
inovando, inovar
., .
Aventura, aventura
,, ,
Velho, Velho
Oeste, Oeste
e, e
cidades, cidade
do, de o
início, início
do, de o
século, século
fazem, fazer
parte, parte
do, de o
cenário, cenário
., .

, 

É, ser
preciso, preciso
tempo, tempo
para, para
desfrutar, desfrutar
cada, cada
uma, um
das, de o
centenas, centena
de, de
atrações, atração
que, que
a, o
Disney, Disney
oferece, oferecer
., .
Além, além
da, de o
tradicional, tradicional
parada, parar
pelas, por o
ruas, rua
do, de o
parque, parque
_, _
um, um
verdadeiro, verdadeiro
show, show
que, que
acontece, acontecer
todos, todo
os, os
dias, dias
no, em o
período, período
da, de o
tarde, tarde
_, _
,, ,
o, o
visitante, visitante
pode, poder
se, se
encontrar, encontrar
a, a
qualquer, qualquer
momento, momento
com, com
Mickey, Mickey
,, ,
Minnie, Minnie
,, ,
Pluto, Pluto
,, ,
Cinderela, Cinderela
e, e
outras, outro
dezenas, dezena
de, de
personagens, personagem
criados, criar
por, por
Walt, Walt
Disney, Disney
., .

, 

Os, o
brinquedos, brinquedo
são, ser
atração, atração
à, a o
parte, parte
., .
Todos, todo
com, com
longa, longo
fila, fila
de, de
espera, espera
,, ,
levam, levar
a, a
uma, um
corrida, corrida
de, de
trem, tr
pelo, por o
Velho, Velho
Oeste, Oeste
,, ,
a, a
uma, um
batalha, batalha
nas, em o
estrelas, estrela
,, ,
a, a
uma, um
viagem, viagem
no, em o
escuro, escuro
por, por
uma, um
montanha-russa, montanha-russa
ou, ou
a, a
uma, um
emocionante, emocionante
queda, queda
nas, em o
águas, água
da, de o
`, `
`, `
Splash, Splash
Mountain, Mountain
'', ''
., .

, 

No, em o
roteiro, roteiro
nessa, em esse
terra, terra
da, de o
fantasia, fantasia
,, ,
não, não
pode, poder
faltar, faltar
uma, um
viagem, viagem
pela, por o
casa, casa
dos, de o
Piratas, Piratas
do, de o
Caribe, Caribe
e, e
a, o
companhia, companhia
dos, de o
fantasmas, fantasma
da, de o
Mansão, Mansão
Assombrada, Assombrada
., .

, 

A, o
entrada, entrada
na, em o
Disneylândia, Disneylândia
custa, custar
US$, US$
33, 33
e, e
a, o
participação, participação
é, ser
livre, livre
em, em
todos, todo
as, o
atrações, atração
do, de o
parque, parque
., .

, 

(, (
MZ, MZ
), )

, 

