Menos, ﻿Meno
povoada, povoar
e, e
desenvolvida, desenvolver
das, de o
três, três
ilhas, ilha
do, de o
ABC, ABC
caribenho, caribenho
,, ,
Bonaire, Bonaire
é, ser
o, o
paraíso, paraíso
dos, de o
mergulhadores, mergulhador
., .
Ela, ela
é, ser
considerada, considerar
um, um
dos, de o
melhores, bom
pontos, ponto
para, para
a, o
prática, prática
do, de o
esporte, esporte
no, em o
mundo, mundo
., .

, 

A, o
ilha, ilha
é, ser
um, um
recife, recife
de, de
coral, coral
,, ,
rodeada, rodear
por, por
águas, água
cristalinas, cristalino
que, que
permitem, permitir
uma, um
visibilidade, visibilidade
de, de
mais, mais
de, de
40, 40
metros, metro
de, de
distância, distância
., .

, 

A, o
rica, rico
fauna, fauna
marinha, marinho
da, de o
ilha, ilha
está, estar
protegida, protegido
por, por
uma, um
lei, lei
de, de
1971, 1971
que, que
bane, baner
a, o
pesca, pesco
submarina, submarino
e, e
agressões, agressão
aos, a o
corais, coral
., .

, 

A, o
capital, capital
,, ,
Kralendjik, Kralendjik
,, ,
tem, ter
pouco, pouco
mais, mais
de, de
2.000, 2.000
habitantes, habitante
., .
Uma, um
das, de o
principais, principal
atrações, atração
da, de o
cidade, cidade
é, ser
o, o
mercado, mercado
de, de
peixes, peixe
,, ,
construído, construir
no, em o
estilo, estilo
dos, de o
templos, templo
gregos, grego
., .

, 

A, a
apenas, apenas
um, um
quilômetro, quilômetro
está, estar
situada, situado
a, o
inabitada, inabitar
ilha, ilha
de, de
Klein, Klein
Bonaire, Bonaire
(, (
pequena, pequeno
Bonaire, Bonaire
), )
., .
Ela, ela
também, também
é, ser
muito, muito
procurada, procurar
por, por
mergulhadores, mergulhador
e, e
iatistas, iatista
., .
Nas, em o
praias, praia
mais, mais
frequentadas, frequentado
,, ,
Lac, Lac
Bay, Bay
ao, a o
sul, sul
e, e
Playa, Playa
Funchi, Funchi
ao, a o
norte, norte
da, de o
ilha, ilha
,, ,
é, ser
possível, possível
alugar, alugar
pranchas, prancha
de, de
surf, surf
,, ,
windsurf, windsurf
e, e
catamarãs, catamarã
., .

, 

Na, em o
primeira, primeiro
quinzena, quinzena
de, de
outubro, outubro
acontece, acontecer
o, o
Bonaire, Bonaire
Sailing, Sailing
Regatta, Regatta
,, ,
um, um
evento, evento
náutico, náutico
internacional, internacional
que, que
dura, durar
cinco, cinco
dias, dia
e, e
reúne, reunir
desde, desde
iates, iate
até, até
barcos, barco
de, de
pesca, pesca
., .

, 

(, (
Isabelle, Isabelle
Somma, Somma
), )

, 

