Fundada, ﻿Fundar
há, há
359, 359
anos, ano
,, ,
em, em
1636, 1636
,, ,
às, a o
margens, margem
do, de o
rio, rio
Charles, Charles
,, ,
que, que
separa, separar
a, o
aconchegante, aconchegante
Cambridge, Cambridge
,, ,
sua, seu
sede, sede
,, ,
de, de
Boston, Boston
,, ,
a, a
Harvard, Harvard
Business, Business
School, School
é, ser
o, o
alvo, alvo
de, de
cada, cada
estudante, estudante
de, de
negócios, negócio
de, de
todo, todo
o, o
mundo, mundo
que, que
almeja, almejar
ser, ser
um, um
dia, dia
um, um
bem-sucedido, bem-sucedido
CEO, CEO
(, (
Chief, Chief
Executive, Executive
Officer, Officer
,, ,
o, o
principal, principal
executivo, executivo
de, de
uma, um
grande, grande
empresa, empresa
global, global
), )
., .

, 

Entre, entre
os, o
mais, mais
conhecidos, conhecer
ex-alunos, ex-aluno
de, de
Harvard, Harvard
está, estar
o, o
filho, filho
mais, mais
famoso, famoso
de, de
Boston, Boston
,, ,
John, John
Fitzgerald, Fitzgerald
Kennedy, Kennedy
,, ,
presidente, presidente
norte-americano, norte-americano
de, de
1961, 1961
até, até
seu, seu
trágico, trágico
assassinato, assassinato
em, em
novembro, novembro
de, de
1963, 1963
,, ,
em, em
Dallas, Dallas
(, (
Texas, Texas
,, ,
centro, centro
dos, de o
EUA, EUA
), )
., .

, 

O, o
mestrado, mestrado
na, em o
Harvard, Harvard
Business, Business
School, School
é, ser
o, o
diploma, diploma
do, de o
desejo, desejo
de, de
cerca, cerca
de, de
800, 800
jovens, jovem
de, de
todo, todo
o, o
mundo, mundo
a, a
cada, cada
ano, ano
., .
No, em o
Brasil, Brasil
de, de
hoje, hoje
,, ,
um, um
exemplo, exemplo
disso, de isso
é, ser
Mark, Mark
Hogan, Hogan
,, ,
43, 43
,, ,
comandante, comandante
da, de o
General, general
Motors, Motors
do, de o
Brasil, Brasil
,, ,
formado, formar
na, em o
Harvard, Harvard
Business, Business
School, School
,, ,
em, em
77, 77
., .

, 

Ele, ele
está, estar
entre, entre
os, o
poucos, pouco
privilegiados, privilegiado
,, ,
escolhidos, escolher
entre, entre
7.000, 7.000
esperançosos, esperançoso
candidatos, candidato
de, de
todo, todo
o, o
mundo, mundo
,, ,
que, que
chegam, chegar
anualmente, anualmente
à, a o
`, `
`, `
Atenas, Atenas
da, de o
América, América
do, de o
Norte, Norte
'', ''
,, ,
uma, um
deferência, deferência
ao, a o
alto, alto
nível, nível
da, de o
vida, vida
cultural, cultural
de, de
Boston, Boston
,, ,
`, `
`, `
a, o
mais, mais
européia, européio
das, de o
cidades, cidade
dos, de o
EUA, EUA
'', ''
., .

, 

Uma, uma
vez, vez
aluno, aluno
da, de o
Harvard, Harvard
Business, Business
School, School
,, ,
a, o
experiência, experiência
nunca, nunca
é, ser
esquecida, esquecer
., .
Os, o
ex-alunos, ex-aluno
,, ,
dos, de o
quais, qual
mais, mais
de, de
300, 300
são, ser
brasileiros, brasileiro
,, ,
se, se
reúnem, reúnem
anualmente, anualmente
,, ,
uma, uma
vez, vez
nos, em o
EUA, EUA
,, ,
outra, outro
num, em um
outro, outro
país, país
,, ,
para, para
uma, um
conferência, conferência
global, global
., .

, 

Neste, em este
ano, ano
,, ,
há, haver
dois, dois
meses, mês
,, ,
a, o
reunião, reunião
foi, ser
realizada, realizar
em, em
São, São
Paulo, Paulo
,, ,
a, o
primeira, primeiro
vez, vez
na, em o
América, América
Latina, Latina
., .

, 

Em, em
dezembro, dezembro
de, de
94, 94
,, ,
a, a
Harvard, Harvard
,, ,
cuja, cujo
biblioteca, biblioteca
tem, ter
525, 525
mil, mil
livros, livro
sobre, sobre
a, o
América, América
Latina, Latina
,, ,
criou, criar
o, o
David, David
Rockfeller, Rockfeller
Center, Center
for, for
Latin, Latin
America, America
Studies, Studies
,, ,
com, com
o, o
objetivo, objetivo
de, de
fortalecer, fortalecer
os, o
laços, laço
entre, entre
Harvard, Harvard
e, e
os, o
países, país
latino-americanos, latino-americano
., .

, 

