Por, ﻿Por
US$, US$
541, 541
milhões, milhão
_, _
o, o
equivalente, equivalente
a, a
30, 30
prêmios, prêmio
da, de o
Supersena, supersena
acumulada, acumular
nesta, em este
semana, semana
_, _
o, o
grupo, grupo
japonês, japonês
Aoki, Aoki
,, ,
proprietário, proprietário
no, em o
Brasil, Brasil
da, de o
rede, rede
de, de
hotéis, hotel
Caesar, Caesar
Park, Park
,, ,
acaba, acabar
de, de
vender, vender
a, a
Westin, Westin
Hotel, Hotel
Group, Group
na, em o
América, América
do, de o
Norte, Norte
., .

, 

Do, de o
outro, outro
lado, lado
da, de o
mesa, mesa
estavam, estar
os, o
investidores, investidor
norte-americanos, norte-americano
Starwood, Starwood
Capital, Capital
Group, Group
,, ,
do, de o
setor, setor
imobiliário, imobiliário
,, ,
Edward, Edward
Thomas, Thomas
Companies, Companies
,, ,
que, que
atua, atuar
na, em o
hotelaria, hotelaria
,, ,
e, e
o, o
banco, banco
de, de
investimento, investimento
Goldman, Goldman
,, ,
Sachs, Sachs
&, &
Co, Co
., .

, 

`, `
`, `
Vendemos, Vendemos
a, o
empresa, empresa
gerenciadora, gerenciador
desses, de esse
hotéis, hotel
na, em o
América, América
do, de o
Norte, Norte
., .
Eles, eles
agora, agora
têm, ter
também, também
o, o
direito, direito
de, de
usar, usar
a, o
marca, marca
Westin, Westin
na, em o
América, América
Latina, Latina
e, e
Europa, Europa
,, ,
mas, mas
não, não
na, em o
Ásia, Ásia
,, ,
onde, onde
a, o
Aoki, Aoki
continua, continuar
detendo, deter
a, o
marca, marca
Westin, Westin
'', ''
,, ,
esclarece, esclarecer
Jorge, Jorge
Nishimura, Nishimura
,, ,
37, 37
,, ,
vice-presidente, vice-presidente
da, de o
rede, rede
Caesar, Caesar
Park, Park
., .

, 

A, o
transação, transação
é, ser
tão, tão
complexa, complexo
quanto, quanto
milionária, milionár
e, e
a, o
Aoki, Aoki
_, _
que, que
tem, ter
sua, seu
principal, principal
atividade, atividade
na, em o
construção, construção
civil, civil
_, _
vendeu, vender
na, em o
verdade, verdade
38, 38
dos, de o
81, 81
hotéis, hotel
que, que
administrava, administrar
com, com
a, o
marca, marca
Westin, Westin
., .

, 

`, `
`, `
Ficamos, Ficamos
com, com
os, o
hotéis, hotel
Caesar, Caesar
Park, Park
e, e
ainda, ainda
com, com
diversos, diverso
hotéis, hotel
de, de
prestígio, prestígio
como, como
o, o
Vierjahreszeiten, Vierjahreszeiten
de, de
Hamburgo, Hamburgo
(, (
Alemanha, Alemanha
), )
,, ,
o, o
Algonquin, Algonquin
de, de
Nova, Nova
York, York
(, (
EUA, EUA
), )
,, ,
o, o
Ritz, Ritz
de, de
Barcelona, Barcelona
(, (
Espanha, Espanha
), )
,, ,
o, o
Penha, Penha
Longa, Longa
de, de
Sintra, Sintra
(, (
Portugal, Portugal
), )
'', ''
,, ,
diz, dizer
Nishimura, nishimura
., .

, 

Primeiro, primeiro
braço, braço
hoteleiro, hoteleiro
da, de o
Aoki, Aoki
,, ,
a, o
rede, rede
Caesar, Caesar
Park, Park
nasceu, nascer
em, em
São, São
Paulo, Paulo
e, e
tem, ter
empreendimentos, empreendimento
no, em o
Rio, Rio
,, ,
Argentina, Argentina
,, ,
Panamá, Panamá
,, ,
México, México
,, ,
Portugal, Portugal
e, e
em, em
Taiwan, Taiwan
., .

, 

Detém, Detém
ainda, ainda
_, _
concluída, concluir
a, o
transação, transação
_, _
a, o
propriedade, propriedade
ou, ou
o, o
gerenciamento, gerenciamento
de, de
43, 43
hotéis, hotel
(, (
com, com
20, 20
mil, mil
apartamentos, apartamento
), )
e, e
espera, esperar
faturar, faturar
US$, US$
1, 1
bilhão, bilhão
por, por
ano, ano
,, ,
dez, dez
vezes, vez
mais, mais
que, que
em, em
1988, 1988
,, ,
quando, quando
adquiriu, adquirir
a, o
Westin, Westin
., .

, 

(, (
Silvio, Silvio
Cioffi, Cioffi
), )

, 

