Encravada, ﻿Encravar
entre, entre
duas, dois
cordilheiras, cordilheira
,, ,
a, o
dos, de o
Andes, Andes
e, e
a, a
da, de o
Costa, Costa
,, ,
Santiago, Santiago
do, de o
Chile, Chile
une, unir
traços, traço
naturais, natural
inusitados, inusitar
a, a
uma, um
história, história
urbana, urbano
que, que
começou, começar
em, em
1541, 1541
., .

, 

Cerca, cerca
de, de
duas, dois
horas, hora
de, de
carro, carro
a, a
separam, separ
de, de
estações, estação
de, de
esqui, esqui
e, e
do, de o
oceano, oceano
Pacífico, Pacífico
., .

, 

Com, com
a, o
chegada, chegada
do, de o
inverno, inverno
,, ,
a, o
cordilheira, cordilheira
dos, de o
Andes, andes
tem, ter
mais, mais
atrativos, atrativo
., .
O, o
turista, turista
pode, poder
ficar, ficar
na, em o
capital, capital
e, e
fazer, fazer
viagens, viagem
diárias, diária
às, a o
estações, estação
de, de
esqui, esqui
mais, mais
próximas, próximo
., .

, 

Um, um
dos, de o
principais, principal
atrativos, atrativo
de, de
Santiago, Santiago
são, ser
os, o
monumentos, monumento
históricos, histórico
., .
O, o
morro, morro
Santa, Santa
Luzia, Luzia
(, (
centro, centro
), )
é, ser
um, um
bom, bom
ponto, ponto
de, de
partida, partida
., .

, 

Saindo, saindo
de, de
Santa, Santa
Luzia, Luzia
,, ,
o, o
visitante, visitante
pode, poder
ir, ir
à, a o
praça, praça
de, de
Armas, Armas
., .
Ali, ali
está, estar
a, o
catedral, catedral
de, de
Santiago, Santiago
(, (
1551, 1551
), )
., .

, 

No, em o
praça, praça
,, ,
veja, ver
as, o
sedes, sede
do, de o
correio, correio
,, ,
da, de o
municipalidade, municipalidade
de, de
Santiago, Santiago
e, e
do, de o
Museu, Museu
Histórico, Histórico
Nacional, Nacional
., .

, 

Ainda, ainda
no, em o
centro, centro
estão, estar
o, o
Palácio, Palácio
de, de
La, La
Moneda, Moneda
,, ,
sede, sede
do, de o
governo, governo
,, ,
e, e
a, o
Igreja, Igreja
de, de
São, São
Francisco, Francisco
(, (
1572, 1572
), )
., .
Do, de o
outro, outro
lado, lado
do, de o
rio, rio
Mapocho, Mapocho
,, ,
que, que
corta, cortar
Santiago, Santiago
,, ,
fica, ficar
o, o
bairro, bairro
boêmio, boêmio
Bela, Bela
Vista, Vista
,, ,
onde, onde
morou, morar
o, o
poeta, poeta
Pablo, Pablo
Neruda, Neruda
., .

, 

A, o
casa, casa
de, de
Neruda, Neruda
,, ,
a, o
`, `
`, `
Chascona, Chascona
'', ''
,, ,
hoje, hoje
é, ser
um, um
museu, museu
., .
O, o
ingresso, ingresso
custa, custar
US$, US$
2,30, 2,30
., .

, 

Mais, mais
distante, distante
do, de o
centro, Centro
está, estar
o, o
palácio, palácio
Cousiño, Cousiño
(, (
1870-1878, 1870-1878
), )
,, ,
construído, construir
pela, por o
família, família
Cousiño, Cousiño
,, ,
fabricante, fabricante
do, de o
vinho, vinho
Cousiño-Macul, Cousiño-Macul
(, (
ingresso, ingresso
a, a
US$, US$
1,30, 1,30
), )
., .

, 

A, o
vida, vida
noturna, noturno
se, se
concentra, concentrar
nos, em o
bairros, bairro
de, de
Bela, Bela
Vista, Vista
e, e
Providencia, Providencia
., .
Bela, Bela
Vista, Vista
tem, ter
bares, bar
com, com
cantores, cantor
locais, local
e, e
restaurantes, restaurante
,, ,
a, o
maioria, maioria
na, em o
rua, rua
Pio, Pio
Nono, Nono
., .
Em, em
Providencia, Providencia
,, ,
os, o
melhores, bom
endereços, endereço
ficam, ficar
na, em o
rua, rua
Suécia, Suécia
., .

, 

LEIA, LEIA
MAIS, MAIS

, 

Sobre, sobre
o, o
Chile, Chile
nas, em o
págs, págs
., .
6-9, 6-9
e, e
6-10, 6-10
., .

, 

CLÁUDIA, CLÁUDIA
TREVISAN, TREVISAN
viajou, viajar
a, a
convite, convite
da, de o
Sulamerica, Sulamerica
Viagens, Viagens
e, e
Turismo, Turismo
e, e
da, de o
Ladeco, Ladeco
., .

, 

