Nos, ﻿Nos
últimos, último
20, 20
anos, ano
,, ,
alguma, algum
coisa, coisa
mudou, mudar
em, em
Lima, Lima
., .
Os, o
monumentos, monumento
e, e
os, o
passeios, passeio
históricos, histórico
na, em o
capital, capital
peruana, peruano
ainda, ainda
são, ser
os, o
mesmos, mesmo
,, ,
mas, mas
respira-se, respirar se
um, um
outro, outro
ar, ar
., .

, 

A, o
cidade, cidade
está, estar
mais, mais
limpa, limpa
e, e
os, o
cheiros, cheiro
não, não
incomodam, incomodar
tanto, tanto
., .
Os, o
peruanos, peruano
_, _
sempre, sempre
muito, muito
hospitaleiros, hospitaleiro
_, _
agora, agora
têm, ter
consciência, consciência
da, de o
importância, importância
do, de o
turismo, turismo
para, para
a, o
economia, economia
local, local
., .
Eles, eles
se, se
esforçam, esforçar
para, para
agradar, agradar
o, o
visitante, visitante
., .

, 

A, o
praça, praça
de, de
Armas, Armas
,, ,
o, o
Palácio, Palácio
do, de o
Governo, Governo
,, ,
as, o
ruelas, ruela
(, (
ou, ou
`, `
`, `
jirones, jirone
'', ''
), )
com, com
casario, casario
centenário, centenário
,, ,
a, o
padaria, padaria
La, La
Flor, Flor
de, de
la, la
Canela, Canela
,, ,
o, o
passeio, passeio
da, de o
República, República
têm, ter
mais, mais
ambulantes, ambulante
do, de o
que, que
sempre, sempre
., .
A, o
recuperação, recuperação
do, de o
país, país
não, não
contempla, contemplar
o, o
subemprego, subemprego
., .

, 

O, o
velho, velho
hotel, hotel
Sheraton, Sheraton
,, ,
majestoso, majestoso
e, e
decadente, decadente
,, ,
oferece, oferecer
um, um
cassino, cassino
,, ,
onde, onde
se, se
podem, poder
gastar, gastar
alguns, algum
trocados, trocado
nas, em o
máquinas, máquina
de, de
vídeo-pôquer, vídeo-pôquer
ou, ou
apostar, apostar
alto, alto
nas, em o
mesas, mesa
de, de
carteado, carteado
., .
Programa, programa
garantido, garantir
para, para
os, o
brasileiros, brasileiro
`, `
`, `
sem-cassino, sem-cassino
'', ''
., .

, 

Os, o
principais, principal
cinemas, cinema
da, de o
cidade, cidade
exibem, exibem
o, o
filme, filme
`, `r
`, `
Epidemia, Epidemia
'', ''
,, ,
mas, mas
ninguém, ninguém
comenta, comentar
sobre, sobre
o, o
cólera, cólera
,, ,
que, que
parece, parecer
distante, distante
,, ,
limitado, limitar
às, a o
áreas, área
mais, mais
pobres, pobre
do, de o
país, país
., .

, 

Recomendam, Recomendam
tomar, tomar
água, água
mineral, mineral
., .
Embora, embora
a, o
qualidade, qualidade
da, de o
água, água
seja, ser
assegurada, assegurar
pela, por o
indústria, indústria
turística, turístico
,, ,
tem, ter
sabor, sabor
comprometido, comprometer
pelo, por o
tratamento, tratamento
que, que
recebe, receber
., .

, 

No, em o
feriado, feriado
,, ,
os, o
`, `
`, `
provinciales, provinciales
'', ''
_, _
pessoas, pessoa
que, que
vieram, vier
do, de o
interior, interior
para, para
ganhar, ganhar
a, o
vida, vida
em, em
Lima, Lima
_, _
tomam, tomar
na, em o
praça, praça
de, de
Armas, Armas
,, ,
sorvetes, sorvete
e, e
Inka, Inka
Cola, Cola
,, ,
o, o
refrigentae, refrigentae
local, local
., .
Entram, Entram
para, para
rezar, rezar
na, em o
Catedral, Catedral
Nossa, Nossa
Senhora, Senhora
de, de
Assunção, Assunção
,, ,
ou, ou
na, em o
igreja, igreja
de, de
Santo, Santo
Domingo, Domingo
,, ,
onde, onde
estão, estar
os, o
restos, resto
de, de
Santa, Santa
Rosa, Rosa
de, de
Lima, Lima
num, em um
dos, de o
altares, altar
., .

, 

Os, o
restaurantes, restaurante
mais, mais
econômicos, econômico
oferecem, oferecer
grelhados, grelhado
honestos, honesto
e, e
falam, falar
bem, bem
das, de o
cervejas, cerveja
locais, local
,, ,
a, o
Cristal, Cristal
e, e
a, o
Cuzquena, Cuzquena
., .

, 

(, (
JB, JB
), )

, 

