Existem, ﻿Existem
dois, dois
tipos, tipo
de, de
trens, trem
que, que
ligam, ligar
Cuzco, Cuzco
a, a
Machu, Machu
Picchu, Picchu
,, ,
um, um
exclusivo, exclusivo
para, para
turistas, turista
., .
Dependendo, depender
do, de o
roteiro, roteiro
,, ,
pode-se, poder se
fazer, fazer
a, o
viagem, viagem
a, a
partir, partir
de, de
Ollantaytambo, Ollantaytambo
,, ,
que, que
fica, ficar
na, em o
metade, metade
do, de o
percurso, percurso
de, de
três, três
horas, hora
entre, entre
Cuzco, Cuzco
e, e
a, o
cidade, cidade
sagrada, sagrar
dos, de o
incas, inca
., .

, 

Nas, em o
poucas, pouco
paradas, parada
,, ,
o, o
comércio, comércio
local, local
se, se
desloca, deslocar
para, para
a, o
estação, estação
., .

, 

Durante, durante
a, o
viagem, viagem
pelo, por o
Vale, Vale
Sagrado, Sagrado
,, ,
uma, um
belíssima, belíssimo
paisagem, paisagem
,, ,
pode, poder
se, se
ter, ter
a, o
sorte, sorte
de, de
se, se
ver, ver
um, um
ou, ou
outro, outro
condor, condor
sobrevoando, sobrevoar
os, o
cumes, cume
das, de o
montanhas, montanha
nevadas, nevar
enquanto, enquanto
do, de o
alto-falante, alto-falante
interno, interno
se, se
ouve, ouve
o, o
`, `
`, `
hino, hino
'', ''
El, El
Condor, Condor
Pasa, Pasa
., .

, 

Há, haver
um, um
serviço, serviço
de, de
bordo, bordo
com, com
café, café
ou, ou
chá, chá
e, e
croissant, croissant
., .
No, em o
trem, tr
também, também
são, ser
vendidos, vender
livros, livro
e, e
vídeos, vídeo
sobre, sobre
a, o
história, história
dos, de o
incas, inca
., .

, 

Japoneses, Japoneses
,, ,
europeus, europeu
e, e
americanos, americano
são, ser
os, o
turistas, turista
em, em
maior, grande
número, número
., .
Eles, eles
passam, passar
a, o
maior, grande
parte, parte
da, de o
viagem, viagem
em, em
silêncio, silêncio
., .
Certamente, certamente
,, ,
as, o
belas, belo
imagens, imagem
produzidas, produzir
pela, por o
geografia, geografia
e, e
a, o
expectativa, expectativa
de, de
se, se
conhecer, conhecer
Machu, Machu
Picchu, Picchu
são, ser
responsáveis, responsável
por, por
isso, isso
., .

, 

(, (
JB, JB
), )

, 

SERVIÇO, SERVIÇO
:, :
Há, haver
partidas, partida
diárias, diária
entre, entre
Cuzco, Cuzco
e, e
Águas, Águas
Calientes, Calientes
., .
A, o
viagem, viagem
ida, er
e, e
volta, volta
no, em o
trem, tr
turístico, turístico
custa, custar
US$, US$
46, 46
., .
O, o
passeio, passeio
incluindo, incluir
trem, tr
,, ,
ingresso, ingresso
das, de o
ruínas, ruína
e, e
ônibus, ônibus
(, (
subida, subida
e, e
descida, descida
), )
sai, sair
por, por
US$, US$
70, 70
., .

, 

