Visão, ﻿Visão
um, um
pouco, pouco
mais, mais
otimista, otimista
sobre, sobre
o, o
deserto, deserto
norte-americano, norte-americano
teve, ter
o, o
cineasta, cineasta
canadense, canadense
Percy, Percy
Adlon, Adlon
com, com
`, `
Bagdad, Bagdad
Café, Café
', '
., .

, 

Para, para
o, o
diretor, diretor
,, ,
aquela, aquele
parte, parte
do, de o
país, país
pode, poder
ser, ser
simbolizada, simbolizar
por, por
um, um
café, café
onde, onde
todas, todo
as, o
pessoas, pessoa
de, de
qualquer, qualquer
parte, parte
do, de o
mundo, mundo
se, se
encontram, encontrar
,, ,
tendo, ter
como, como
resultado, resultado
final, final
a, o
felicidade, felicidade
., .

, 

Outra, outro
aparição, aparição
célebre, célebre
da, de o
Califórnia, Califórnia
no, em o
cinema, cinema
,, ,
aconteceu, acontecer
em, em
`, `
`, `
Manhattan, Manhattan
'', ''
(, (
1979, 1979
), )
,, ,
do, de o
diretor, diretor
Woody, Woody
Allen, Allen
., .

, 

Uma, um
declaração, declaração
de, de
amor, amor
à, a o
cidade, cidade
de, de
Nova, Nova
York, York
,, ,
onde, onde
Allen, Allen
cria, criar
,, ,
para, para
um, um
nova-iorquino, nova-iorquino
,, ,
a, o
melhor, bom
definição, definição
da, de o
Califórnia, Califórnia
e, e
suas, seu
lendas, lenda
:, :
`, `
`, `
Um, um
lugar, lugar
onde, onde
a, o
única, único
vantagem, vantagem
cultural, cultural
é, ser
poder, poder
guiar, guiar
na, em o
contramão, contramão
'', ''
., .

, 

