Segundo, ﻿Segur
a, o
pesquisa, pesquisa
Datafolha, Datafolha
,, ,
46, 46
%, %
dos, de o
turistas, turista
estrangeiros, estrangeiro
gostariam, gostar
de, de
morar, morar
no, em o
Brasil, Brasil
., .

, 

Os, o
que, que
já, já
haviam, haver
tomado, tomar
essa, esse
decisão, decisão
e, e
hoje, hoje
vivem, viver
no, em o
país, país
têm, ter
em, em
comum, comum
,, ,
além, além
do, de o
sotaque, sotaque
,, ,
a, o
opinião, opinião
de, de
que, que
a, o
questão, questão
social, social
é, ser
o, o
maior, grande
problema, problema
., .

, 

As, o
belezas, beleza
naturais, natural
e, e
o, o
humor, humor
do, de o
brasileiro, brasileiro
são, ser
os, o
atrativos, atrativo
., .

, 

`, `
`, `
Acho, achar
que, que
é, ser
hora, hora
de, de
diminuir, diminuir
a, o
diferença, diferença
entre, entre
as, o
classes, classe
'', ''
,, ,
diz, dizer
a, a
a, o
francesa, francesa
Dominique, Dominique
Ketzinger, Ketzinger
,, ,
66, 66
,, ,
dona, donar
de, de
restaurante, restaurante
., .

, 

Antes, antes
de, de
desembarcar, desembarcar
no, em o
Rio, Rio
de, de
Janeiro, Janeiro
,, ,
há, haver
41, 41
anos, ano
,, ,
Dominique, Dominique
não, não
sabia, saber
quase, quase
nada, nada
sobre, sobre
o, o
Brasil, Brasil
., .
`, `
`, `
Eu, eu
só, só
sabia, saber
que, que
o, o
Rio, Rio
tinha, ter
uma, um
beleza, beleza
fora, fora
do, de o
comum, comum
., .
'', ''

, 

O, o
austríaco, austríaco
Thomas, Thomas
Binder, Binder
,, ,
30, 30
,, ,
ficou, ficar
impressionado, impressionado
com, com
o, o
que, que
viu, ver
nas, em o
ruas, rua
de, de
São, São
Paulo, Paulo
., .
`, `
`, `
Ver, ver
tantos, tanto
pobres, pobre
dá, dar
tristeza, tristeza
., .
'', ''

, 

Antes, antes
de, de
chegar, chegar
,, ,
Binder, Binder
sabia, saber
que, que
brasileiros, brasileiro
haviam, haver
sido, ser
torturados, torturar
durante, durante
o, o
período, período
militar, militar
., .

, 

O, o
austríaco, austríaco
afirma, afirmar
que, que
conviver, conviver
com, com
um, um
povo, povo
bem-humorado, bem-humorado
é, ser
uma, um
das, de o
vantagens, vantagem
de, de
morar, morar
no, em o
Brasil, Brasil
., .
`, `
`, `
Na, em o
Áustria, Áustria
eles, eles
só, só
pensam, pensar
em, em
trabalho, trabalho
'', ''
,, ,
lembra, lembrar
., .

, 

