Cuzco, ﻿Cuzco
ainda, ainda
é, ser
a, o
capital, capital
do, de o
Império, Império
Inca, Inca
., .
É, é
ali, ali
que, que
começa, começar
os, o
que, que
os, o
peruanos, peruano
costumam, costumar
chamar, chamar
de, de
`, `
`, `
peregrinação, peregrinação
'', ''
., .
Ou, ou
seja, ser
,, ,
uma, um
visita, visita
às, a o
ruínas, ruína
desse, de esse
império, império
,, ,
cujo, cujo
ponto, ponto
principal, principal
é, ser
Machu, Machu
Picchu, Picchu
., .

, 

O, o
rio, rio
Urubamba, Urubamba
passa, passar
a, a
se, se
chamar, chamar
Vilcanota, Vilcanota
., .
As, o
plantações, plantação
de, de
quinua, quinua
(, (
um, um
tipo, tipo
de, de
arroz, arroz
cultivado, cultivar
desde, desde
os, o
tempos, tempo
dos, de o
incas, inca
), )
insinuam, insinuar
um, um
jardim, jardim
., .

, 

Em, em
cerimônias, cerimônia
milenares, milenar
pequenas, pequeno
folhas, folha
de, de
coca, coca
são, ser
esfareladas, esfarelar
ao, a o
vento, vento
e, e
oferecidas, oferecir
à, a o
`, `
`, `
Pachamama, Pachamama
'', ''
(, (
a, o
mãe, mãe
terra, terra
), )
., .

, 

Cidades, cidade
adormecidas, adormecir
nas, em o
encostas, encosta
do, de o
chamado, chamado
Vale, Vale
Sagrado, Sagrado
,, ,
como, como
Pisaq, Pisaq
,, ,
Ollantaytambo, Ollantaytambo
e, e
Yucay, Yucay
,, ,
guardam, guardar
as, o
ruínas, ruína
incas, inco
de, de
tesouros, tesouro
saqueados, saquear
., .

, 

Essas, esse
cidades, cidade
,, ,
que, que
vivem, viver
basicamente, basicamente
da, de o
agricultura, agricultura
,, ,
encontraram, encontrar
no, em o
turismo, turismo
uma, um
de, de
suas, seu
maiores, grande
fontes, fonte
de, de
renda, renda
., .
Os, o
ambulantes, ambulante
estão, estar
por, por
toda, todo
a, o
parte, parte
,, ,
vendendo, vender
camisetas, camiseta
,, ,
agasalhos, agasalho
,, ,
abridores, abridor
de, de
garrafa, garrafa
e, e
muitas, muito
histórias, história
., .

, 

Da, de o
estação, estação
de, de
Ollantaytambo, Ollantaytambo
,, ,
parte, parter
o, ele
trem, tr
para, para
Machu, Machu
Picchu, Picchu
., .
Nos, em o
vagões, vagão
,, ,
turistas, turista
tomam, tomar
todos, todo
os, o
lugares, lugar
_, _
há, haver
dois, dois
trens, trem
,, ,
um, um
deles, de ele
exclusivo, exclusivo
para, para
visitantes, visitante
., .
São, ser
japoneses, japonês
,, ,
americanos, americano
,, ,
europeus, europeu
., .
Viajam, viajam
em, em
silêncio, silêncio
,, ,
como, como
se, se
fossem, ser
para, para
uma, um
cerimônia, cerimônia
religiosa, religioso
., .

, 

Os, o
trilhos, trilho
de, de
bitola, Bitola
estreita, estreito
vão, ir
margeando, margear
o, o
rio, rio
Vilcanota, Vilcanota
_, _
continuação, continuação
do, de o
Urubamba, Urubamba
_, _
e, e
o, o
vale, vale
se, se
afunila, afunilar
entre, entre
as, o
montanhas, montanha
com, com
cumes, cume
cobertos, coberto
de, de
neve, neve
., .

, 

Luzes, Luzes
filtradas, filtrar
pela, por o
rica, rico
e, e
colorida, colorido
vegetação, vegetação
_, _
afinal, afinal
estamos, estar
na, em o
fronteira, fronteira
da, de o
selva, selva
amazônica, amazônico
_, _
deixam, deixar
um, um
mistério, mistério
no, em o
ar, ar
., .

, 

A, o
primeira, primeiro
parada, parada
é, ser
no, em o
Machu, Machu
Picchu, Picchu
Pueblo, Pueblo
Hotel, Hotel
,, ,
um, um
estabelecimento, estabelecimento
novo, novo
,, ,
agradável, agradável
e, e
sem, sem
problemas, problema
com, com
água, água
quente, quente
a, a
exemplo, exemplo
do, de o
que, que
ocorre, ocorrer
em, em
muitos, muito
hotéis, hotel
da, de o
região, região
., .

, 

Fica, ficar
a, a
800, 800
metros, metro
da, de o
estação, estação
da, de o
vila, vila
de, de
Machu, Machu
Picchu, Picchu
., .
É, ser
dali, de ali
que, que
um, um
ônibus, ônibus
subirá, subir
a, o
montanha, montanha
em, em
direção, direção
ao, a o
santuário, santuário
inca, inca
., .

, 

O, o
antropólogo, antropólogo
Hiram, Hiram
Bingham, Bingham
,, ,
descobridor, descobridor
de, de
Machu, Machu
Picchu, Picchu
,, ,
disse, dizer
que, que
sua, seu
beleza, beleza
é, ser
incomparável, incomparável
e, e
apostou, apostar
no, em o
poder, poder
de, de
seu, seu
feitiço, feitiço
., .

, 

Cada, cada
pedra, pedra
tem, ter
seu, seu
símbolo, símbolo
., .
Tudo, tudo
tem, ter
uma, um
explicação, explicação
que, que
empurra, empurrar
o, o
viajante-peregrino, viajante-peregrino
para, para
outras, outro
questões, questão
., .

, 

Todas, todo
as, o
montanhas, montanha
em, em
volta, volta
,, ,
os, o
cânions, cânion
,, ,
os, o
cumes, cume
nevados, nevar
quase, quase
podem, poder
ser, ser
tocados, tocar
com, com
as, o
mãos, mão
., .
História, História
e, e
geografia, Geografia
conspiram, conspir
com, com
os, o
deuses, deuses
., .

, 

(, (
João, João
Bittar, Bittar
), )

, 

