Alberto, ﻿Alberto
Fujimori, Fujimori
foi, ser
reeleito, reeleger
presidente, presidente
do, de o
Peru, Peru
no, em o
último, último
dia, dia
9, 9
de, de
abril, abril
porque, porque
conseguiu, conseguir
reduzir, reduzir
a, o
inflação, inflação
e, e
dar, dar
um, um
golpe, golpe
de, de
morte, morte
nos, em o
grupos, grupo
terroristas, terrorista
Sendero, Sendero
Luminoso, Luminoso
e, e
Tupac, Tupac
Amaru, Amaru
., .

, 

Em, em
cinco, cinco
anos, ano
,, ,
Fujimori, Fujimori
derrotou, derrotar
nas, em o
urnas, urna
os, o
dois, dois
peruanos, peruano
mais, mais
famosos, famoso
fora, fora
do, de o
país, país
:, :
o, o
escritor, escritor
Mario, Mario
Vargas, Vargas
Llosa, Llosa
e, e
o, o
diplomata, diplomata
Javier, Javier
Pérez, Pérez
de, de
Cuellar, Cuellar
,, ,
ex-secretário-geral, ex-secretário-geral
da, de o
Organização, Organização
das, de o
Nações, Nações
Unidas, Unidas
(, (
ONU, ONU
), )
., .

, 

Nesse, em esse
período, período
o, o
Peru, Peru
também, também
travou, travar
uma, um
guerra, guerra
de, de
fronteira, fronteira
,, ,
ainda, ainda
mal-explicada, mal-explicado
,, ,
com, com
o, o
Equador, Equador
., .
Os, o
dois, dois
países, país
disputam, disputar
a, o
soberania, soberania
sobre, sobre
a, o
cordilheira, cordilheira
do, de o
Condor, Condor
,, ,
na, em o
região, região
andina, andino
., .

, 

Ao, a o
assumir, assumir
a, o
Presidência, presidência
,, ,
Fujimori, Fujimori
encontrou, encontrar
um, um
país, país
com, com
inflação, inflação
de, de
7.650, 7.650
%, %
ao, a o
ano, ano
e, e
o, o
PIB, PIB
(, (
Produto, Produto
Interno, Interno
Bruto, Bruto
), )
caindo, cair
., .

, 

Em, em
1992, 1992
,, ,
guerrilheiros, guerrilheiro
do, de o
Sendero, Sendero
Luminoso, Luminoso
explodiam, explodir
bombas, bomba
em, em
Lima, Lima
., .
Em, em
abril, abril
desse, de esse
ano, ano
,, ,
um, um
golpe, golpe
de, de
Estado, estado
deu, dar
a, a
Fujimori, Fujimori
plenos, pleno
poderes, poder
., .
O, o
presidente, presidente
mandou, mandar
o, o
Exército, exército
fechar, fechar
o, o
Congresso, Congresso
e, e
demitiu, demitir
os, o
juízes, juíz
., .

, 

Fujimori, Fujimori
argumentou, argumentar
que, que
precisava, precisar
dos, de o
poderes, poder
para, para
consertar, consertar
a, o
economia, economia
e, e
combater, combater
o, o
terrorismo, terrorismo
., .

, 

O, o
programa, programa
de, de
estabilização, estabilização
baixou, baixar
a, o
inflação, inflação
para, para
apenas, apenas
um, um
dígito, dígito
e, e
as, o
reformas, reforma
na, em o
economia, economia
atraíram, atraír
investimentos, investimento
externos, externo
., .

, 

A, o
receita, receita
peruana, peruano
é, ser
semelhante, semelhante
à, a o
da, de o
maior, grande
parte, parte
da, de o
América, América
Latina, Latina
:, :
liberalização, liberalização
e, e
privatização, privatização
., .

, 

Mas, mas
as, o
reformas, reforma
não, não
conseguiram, conseguir
eliminar, eliminar
a, o
pobreza, pobreza
crônica, crônico
., .
Segundo, segundo
o, o
Instituto, Instituto
Cuanto, Cuanto
,, ,
50, 50
%, %
dos, de o
peruanos, peruano
vivem, viver
abaixo, abaixo
da, de o
linha, linha
da, de o
pobreza, pobreza
., .

, 

Desde, desde
a, o
fundação, fundação
do, de o
grupo, grupo
maoísta, maoísta
Sendero, Sendero
Luminoso, Luminoso
,, ,
pelo, por o
menos, menos
30, 30
mil, mil
pessoas, pessoa
morreram, morrer
nas, em o
ações, ação
dos, de o
rebeldes, rebelde
e, e
da, de o
repressão, repressão
militar, militar
., .
Fundado, Fundado
pelo, por o
professor, professor
Abimael, abimael
Guzmán, Guzmán
,, ,
o, o
grupo, grupo
chegou, chegar
a, a
ter, ter
entre, entre
5.000, 5.000
e, e
10, 10
mil, mil
combatentes, combatente
., .
O, o
primeiro, primeiro
golpe, golpe
contra, contra
o, o
grupo, grupo
foi, ser
dado, dar
em, em
1992, 1992
,, ,
com, com
a, o
prisão, prisão
de, de
Guzmán, Guzmán
., .

, 

Menos, menos
de, de
um, um
ano, ano
depois, depois
,, ,
Fujimori, Fujimori
apresentou, apresentar
cartas, carta
que, que
teriam, ter
sido, ser
enviadas, enviar
por, por
Guzmán, Guzmán
nas, em o
quais, qual
pede, pedir
aos, a o
senderistas, senderista
que, que
deixem, deixar
a, o
luta, luta
., .
Centenas, centena
se, se
entregaram, entregar
em, em
troca, troca
de, de
redução, redução
de, de
pena, pena
., .

, 

