Para, ﻿Par
agradar, agradar
marinheiros, marinheiro
de, de
uma, um
ou, ou
muitas, muito
viagens, viagem
fazem, fazer
parte, parte
do, de o
cotidiano, cotidiano
do, de o
hotel, hotel
do, de o
Frade, Frade
toda, todo
sorte, sorte
de, de
esportes, esporte
náuticos, náutico
., .

, 

Mas, mas
para, para
aqueles, aquele
que, que
mesmo, mesmo
à, a o
beira-mar, beira-mar
se, se
sentem, sentar
peixes, peixe
fora, fora
d'água, d'água
,, ,
o, o
empreendimento, empreendimento
também, também
dispõe, dispor
de, de
um, um
campo, campo
de, de
golfe, golfe
com, com
18, 18
buracos, buraco
e, e
de, de
seis, seis
quadras, quadra
de, de
tênis, tênis
frequentadas, frequentar
por, por
tenistas, tenista
como, como
Gabriela, Gabriela
Sabatini, Sabatini
,, ,
Jayme, Jayme
Oncins, Oncins
e, e
Luiz, Luiz
Mattar, Mattar
., .

, 

Quem, quem
não, não
dá, dar
bola, bola
para, para
golfe, golfe
e, e
nem, nem
para, para
tênis, tênis
pode, poder
tentar, tentar
hipismo, hipismo
ou, ou
canoagem, canoagem
,, ,
passear, passear
de, de
bicicleta, bicicleta
,, ,
explorar, explorar
uma, um
floresta, floresta
pontilhada, pontilhar
por, por
cachoeiras, cachoeira
., .

, 

Deu, Deu
fome, fome
?, ?
Além, além
dos, de o
restaurantes, restaurante
do, de o
hotel, hotel
,, ,
existem, existir
ainda, ainda
no, em o
empreendimento, empreendimento
um, um
bistrô, bistrô
francês, francês
,, ,
o, o
Chez, Chez
Dominique, Dominique
,, ,
e, e
um, um
sushi-bar, sushi-bar
., .

, 

Ilha, Ilha
da, de o
fantasia, fantasia

, 

Localizado, Localizar
no, em o
km, km
123, 123
da, de o
rodovia, rodovia
Rio-Santos, Rio-Santos
,, ,
o, o
Frade, Frade
é, ser
também, também
hotel-fazenda, hotel-fazendar
e, e
hotel, hotel
ecológico, ecológico
., .

, 

Áreas, Áreas
que, que
já, já
foram, ser
ocupadas, ocupar
por, por
pastagens, pastagem
estão, estar
sendo, ser
reflorestadas, reflorestar
com, com
palmeiras, palmeira
da, de o
espécie, espécie
Bactris, Bactris
Gasipaes, Gasipaes
(, (
conhecidas, conhecer
popularmente, popularmente
como, como
pupunha, pupunhar
), )
,, ,
nativas, nativa
da, de o
Amazônia, Amazônia
., .

, 

Ao, ao
contrário, contrário
das, de o
palmeiras, palmeira
mais, mais
conhecidas, conhecer
,, ,
que, que
demoram, demor
7, 7
anos, ano
para, para
crescer, crescer
e, e
que, que
são, ser
boas, bom
para, para
um, um
único, único
corte, corte
,, ,
essa, esse
espécie, espécie
brota, broto
novamente, novamente
dois, dois
anos, ano
depois, depois
da, de o
extração, extração
do, de o
palmito, palmito
., .

, 

Um, um
outro, outro
restaurante, restaurante
dentro, dentro
do, de o
empreendimento, empreendimento
,, ,
o, o
Morro, Morro
do, de o
Coco, Coco
_, _
que, que
fica, ficar
numa, em um
elevação, elevação
de, de
onde, onde
se, se
tem, ter
vista, ver
de, de
360, 360
graus, grau
e, e
aberto, abrir
aos, a o
não-hóspedes, não-hóspede
_, _
tem, ter
no, em o
cardápio, cardápio
a, o
salada, salar
com, com
o, o
palmito, palmito
pupunha, pupunhar
desfiado, desfiar
., .

, 

Ingredientes, Ingredientes

, 

Atraídos, Atraídos
por, por
uma, um
receita, receita
que, que
junta, juntar
litoral, litoral
,, ,
estrutura, estrutura
de, de
fazenda, fazenda
e, e
mata, mata
Atlântica, Atlântica
até, até
onde, onde
a, o
vista, vista
alcança, alcança
,, ,
vêm, vir
aos, a o
140, 140
apartamentos, apartamento
do, de o
hotel, hotel
do, de o
Frade, frade
cariocas, carioco
(, (
25, 25
%, %
), )
,, ,
paulistas, paulista
(, (
25, 25
%, %
), )
,, ,
brasileiros, brasileiro
de, de
outros, outro
Estados, estado
(, (
10, 10
%, %
), )
,, ,
argentinos, argentino
(, (
20, 20
%, %
), )
,, ,
outros, outro
latino-americanos, latino-americano
(, (
10, 10
%, %
), )
,, ,
norte-americanos, norte-americano
(, (
2, 2
%, %
), )
e, e
asiáticos, asiático
(, (
2, 2
%, %
), )
., .

, 

Cerca, cerca
de, de
30, 30
%, %
dos, de o
hóspedes, hóspede
desse, de esse
resort, resort
integram, integrar
convenções, convenção
_, _
o, o
hotel, hotel
pode, poder
sediar, sediar
eventos, evento
de, de
até, até
160, 160
pessoas, pessoa
., .

, 

Já, já
os, o
marinheiros, marinheiro
de, de
verdade, verdade
,, ,
que, que
vêm, vir
com, com
seus, seu
