Transportar, ﻿Transportar
malas, mala
pesadas, pesar
em, em
viagem, viagem
internacional, internacional
pode, poder
trazer, trazer
dores, dor
na, em o
coluna, coluna
e, e
no, em o
bolso, bolso
., .
Para, para
não, não
exceder, exceder
o, o
limite, limite
de, de
bagagem, bagagem
estabelecido, estabelecer
por, por
cada, cada
companhia, companhia
aérea, aéreo
saiba, saber
antes, antes
de, de
viajar, viajar
quanto, quanto
cada, cada
uma, um
delas, de ele
permite, permitir
levar, levar
., .

, 

O, o
passageiro, passageiro
que, que
deseja, desejar
embarcar, embarcar
ou, ou
desembarcar, desembarcar
nos, em o
Estados, Estados
Unidos, Unidos
tem, ter
direito, direito
a, a
apenas, apenas
dois, dois
volumes, volume
de, de
32, 32
kg, kg
cada, cada
., .

, 

As, o
dimensões, dimensão
das, de o
malas, mala
não, não
podem, poder
ultrapassar, ultrapassar
158, 158
cm, cm
(, (
soma, soma
da, de o
altura, altura
,, ,
largura, largura
e, e
comprimento, comprimento
), )
na, em o
primeira, primeiro
classe, classe
e, e
executiva, executivo
., .
Na, em o
classe, classe
econômica, econômico
,, ,
a, o
segunda, segundo
mala, mala
deve, dever
medir, medir
até, até
115, 115
cm, cm
., .

, 

A, o
maioria, maioria
das, de o
companhias, companhia
aéreas, aéreo
define, definir
o, o
limite, limite
de, de
bagagem, bagagem
por, por
classe, classe
quando, quando
o, o
destino, destino
é, ser
a, o
Europa, Europa
., .

, 

É, ser
o, o
que, que
ocorre, ocorrer
com, com
a, o
Aeroflot, Aeroflot
,, ,
Air, Air
France, France
,, ,
Alitalia, Alitalia
,, ,
Iberia, Iberia
,, ,
KLM, KLM
,, ,
TAP, TAP
,, ,
Vasp, Vasp
e, e
Varig, Varig
., .

, 

Os, o
passageiros, passageiro
da, de o
classe, classe
econômica, econômico
só, só
podem, poder
levar, levar
até, até
20, 20
kg, kg
., .
Na, em o
British, British
Airways, Airways
o, o
limite, limite
é, ser
maior, grande
:, :
23, 23
kg, kg
por, por
passageiro, passageiro
., .

, 

Na, em o
classe, classe
executiva, executivo
há, haver
tolerância, tolerância
até, até
30, 30
kg, kg
e, e
,, ,
na, em o
primeira, primeiro
classe, classe
,, ,
o, o
máximo, máximo
é, ser
de, de
40, 40
kg, kg
., .

, 

Para, para
a, o
América, América
do, de o
Sul, Sul
,, ,
as, o
companhias, companhia
variam, variar
., .
As, o
Aerolineas, Aerolineas
Argentinas, Argentinas
,, ,
a, o
Ladeco, Ladeco
e, e
a, o
Viasa, Viasa
permitem, permitir
20, 20
kg, kg
para, para
a, o
classe, classe
econômica, econômico
,, ,
30, 30
kg, kg
para, para
a, o
classe, classe
executiva, executivo
e, e
40, 40
kg, kg
na, em o
primeira, primeiro
classe, classe
., .

, 

Pluna, Pluna
,, ,
Lanchile, Lanchile
e, e
Air, Air
Vias, Vias
permitem, permitir
apenas, apenas
20, 20
kg, kg
de, de
bagagem, bagagem
por, por
cada, cada
passageiro, passageiro
., .

, 

Para, para
cada, cada
quilo, quilo
a, a
mais, mais
transportado, transportado
costuma-se, costuma-se
cobrar, cobrar
1, 1
%, %
do, de o
valor, valor
da, de o
passagem, passagem
aérea, aéreo
,, ,
em, em
alguns, algum
casos, caso
sem, sem
os, o
descontos, desconto
., .

, 

As, o
companhias, companhia
que, que
usam, usar
o, o
padrão, padrão
americano, americano
(, (
duas, dois
peças, peça
de, de
32, 32
kg, kg
cada, cada
), )
cobram, cobr
por, por
volume, volume
transportado, transportar
a, a
mais, mais
., .

, 

A, o
tarifa, tarifa
cobrada, cobrar
em, em
vôos, vôo
para, para
os, o
Estados, Estados
Unidos, Unidos
varia, variar
entre, entre
US$, US$
75, 75
(, (
Miami, Miami
e, e
Orlando, Orlando
), )
e, e
US$, US$
85, 85
(, (
Nova, Nova
York, York
,, ,
Los, Los
Angeles, Angeles
e, e
Washington, Washington
), )
., .

, 

