Universitário, ﻿Universitário
do, de o
curso, curso
de, de
Ciências, Ciências
Econômicas, Econômicas
,, ,
e, e
funcionário, funcionário
de, de
uma, um
loja, loja
de, de
eletrodomésticos, eletrodoméstico
,, ,
Estrella, Estrella
disse, dizer
que, que
também, também
a, o
qualidade, qualidade
da, de o
comida, comida
e, e
o, o
jeito, jeito
`, `
`, `
muito, muito
amável, amável
'', ''
dos, de o
brasileiros, brasileiro
são, ser
um, um
diferencial, diferencial
em, em
relação, relação
à, a o
o, o
que, que
acontece, acontecer
na, em o
Argentina, Argentina
., .

, 

Antes, antes
de, de
conhecerem, conhecer
o, o
Brasil, Brasil
,, ,
o, o
que, que
sabiam, sab
do, de o
país, país
se, se
resumia, resumia
a, a
informações, informação
de, de
agências, agência
de, de
viagem, viagem
., .

, 

A, o
cidade, cidade
catarinense, catarinense
de, de
Florianópolis, Florianópolis
foi, ser
a, o
opção, opção
para, para
a, o
lua-de-mel, lua-de-mel
,, ,
por, por
conjugar, conjugar
mar, mar
,, ,
areia, areiar
,, ,
montanhas, montanha
e, e
uma, um
natureza, natureza
`, `
`, `
hermosa, hermoso
'', ''
(, (
formosa, formoso
), )
., .

, 

`, `
`, `
Não, não
temos, ter
nada, nada
disso, de isso
., .
Em, em
Mar, Mar
del, del
Plata, Plata
,, ,
por, por
exemplo, exemplo
,, ,
não, não
há, haver
montanhas, montanha
., .
A, o
costa, costa
é, ser
aberta, abrir
,, ,
a, o
areia, areia
é, ser
de, de
pedra, pedra
e, e
a, o
água, água
é, ser
gelada, gelar
,, ,
mesmo, mesmo
no, em o
verão, verão
'', ''
,, ,
diz, dizer
Estrella, Estrella
., .

, 

Rio, Rio
de, de
Janeiro, Janeiro

, 

Mônica, Mônica
,, ,
secretária, secretário
e, e
também, também
universitária, universitário
,, ,
afirma, afirmar
que, que
só, só
se, se
sentiu, sentir
insegura, insegura
ao, a o
verificar, verificar
que, que
os, o
motoristas, motorista
de, de
ônibus, ônibus
dirigem, dirigir
em, em
alta, alto
velocidade, velocidade
,, ,
mesmo, mesmo
em, em
subidas, subida
e, e
descidas, descida
de, de
morros, morro
., .

, 

O, o
casal, casal
pensou, pensar
em, em
conhecer, conhecer
o, o
Rio, Rio
,, ,
mas, mas
acabou, acabar
descartando, descartar
a, o
idéia, idéia
diante, diante
da, de o
fama, fama
de, de
violência, violência
., .

, 

A, o
cidade, cidade
tem, ter
essa, esse
imagem, imagem
também, também
no, em o
país, país
de, de
origem, origem
do, de o
casal, casal
,, ,
a, o
Argentina, Argentina
,, ,
onde, onde
as, o
notícias, notícia
sobre, sobre
os, o
conflitos, conflito
no, em o
Rio, Rio
de, de
Janeiro, Janeiro
chegam, chegar
constantemente, constantemente
., .

, 

Eles, eles
esperam, esperar
voltar, voltar
para, para
mais, mais
uma, um
visita, visita
ao, a o
Brasil, Brasil
., .
Ele, ele
diz, dizer
que, que
até, até
moraria, moraria
no, em o
país, país
,, ,
porque, porque
as, o
pessoas, pessoa
são, ser
simpáticas, simpático
e, e
não, não
parecem, parecer
de, de
maneira, maneira
alguma, algum
ambiciosas, ambiciosa
., .

, 

Preços, preço

, 

Ela, ela
não, não
compartilha, compartilha
da, de o
mesma, mesmo
opinião, opinião
sobre, sobre
a, o
simpatia, simpatia
do, de o
povo, povo
brasileiro, brasileiro
., .
Disse, dizer
não, não
pensar, pensar
em, em
sair, sair
do, de o
lugar, lugar
onde, onde
nasceu, nascer
., .

, 

Ambos, ambos
afirmam, afirmar
que, que
as, o
políticas, política
governamentais, governamental
nos, em o
dois, dois
países, país
se, se
assemelham, assemelham
muito, muito
., .
Mas, mas
diferem, difer
em, em
relação, relação
a, a
alguns, algum
aspectos, aspecto
econômicos, econômico
., .

, 

Dizem, Dizem
que, que
os, o
preços, preço
no, em o
Brasil, Brasil
assustam, assustar
., .
`, `
`, `
Como, como
alguém, alguém
vive, viver
com, com
o, o
salário, salário
mínimo, mínimo
de, de
apenas, apenas
R$, R$
100, 100
?, ?
A, o
comida, comida
e, e
as, o
roupas, roupa
são, ser
muito, muito
mais, mais
caras, cara
do, de o
que, que
na, em o
Argentina, Argentina
., .
Os, o
preços, preço
no, em o
Brasil, Brasil
estão, estar
loucos, louco
., .
E, e
não, não
apenas, apenas
para, para
os, o
estrangeiros, estrangeiro
., .
Estão, Estão
caros, caro
também, também
para, para
os, o
brasileiros, brasileiro
'', ''
,, ,
afirmou, afirmar
Estrella, Estrella
., .

, 

