À, ﻿À
primeira, primeira
vista, vista
é, ser
possível, possível
notar, notar
que, que
Curaçao, Curaçao
não, não
tem, ter
só, só
belas, belo
praias, praia
em, em
sua, seu
costa, costa
,, ,
mar, mar
e, e
Sol, Sol
., .
Há, haver
também, também
prédios, prédio
típicos, típico
da, de o
arquitetura, arquitetura
caribenha, caribenha
., .
Cada, cada
um, um
deles, de ele
conta, contar
um, um
pouco, pouco
da, de o
história, história
da, de o
colonização, colonização
da, de o
ilha, ilha
., .

, 

As, o
construções, construção
antigas, antigo
_, _
a, o
maioria, maioria
recentemente, recentemente
restauradas, restaurar
pelo, por o
governo, governo
de, de
Curaçao, Curaçao
_, _
são, ser
de, de
típica, típico
arquitetura, arquitetura
do, de o
período, período
da, de o
colonização, colonização
holandesa, holandês
., .

, 

A, o
ponte, ponte
Queen, Queen
Emma, Emma
é, ser
uma, um
das, de o
principais, principal
atrações, atração
., .
Trata-se, tratar se
de, de
uma, um
`, `
`, `
ponte, ponte
flutuante, flutuante
'', ''
,, ,
que, que
abre, abrir
e, e
fecha, fecha
(, (
em, em
determinado, determinar
tempo, tempo
fica, ficar
encostada, encostar
a, a
uma, um
das, de o
margens, margem
do, de o
canal, canal
), )
para, para
a, o
passagem, passagem
de, de
barcos, barco
e, e
navios, navio
., .
A, o
ponte, ponte
abre, abrir
e, e
fecha, fechar
cerca, cerca
de, de
40, 40
vezes, vez
por, por
dia, dia
., .

, 

Construída, construída
em, em
1888, 1888
,, ,
a, o
ponte, ponte
fica, ficar
na, em o
entrada, entrada
do, de o
porto, porto
da, de o
baía, baía
de, de
Saint, Saint
Anna, Anna
e, e
separa, separar
as, o
duas, dois
principais, principal
áreas, área
de, de
Willemstad, Willemstad
(, (
a, o
maior, grande
cidade, cidade
da, de o
ilha, ilha
e, e
capital, capital
das, de o
Antilhas, Antilhas
Holandesas, Holandesas
):, ):
Punda, punda
e, e
Otrobanda, Otrobanda
., .

, 

Outro, outro
importante, importante
ponto, ponto
histórico, histórico
da, de o
ilha, ilha
é, ser
o, o
Forte, Forte
Nassao, Nassao
,, ,
construído, construir
em, em
1796, 1796
e, e
onde, onde
hoje, hoje
está, estar
instalado, instalado
um, um
restaurante, restaurante
., .
O, o
forte, forte
fica, ficar
a, a
uma, um
altura, altura
de, de
60, 60
metros, metro
acima, acima
do, de o
nível, nível
do, de o
mar, mar
., .

, 

Do, de o
forte, forte
,, ,
que, que
fica, ficar
no, em o
topo, topo
do, de o
monte, monte
Ararat, Ararat
,, ,
se, se
tem, ter
uma, um
visão, visão
ampla, amplo
do, de o
porto, porto
de, de
Curaçao, Curaçao
,, ,
o, o
primeiro, primeiro
do, de o
Caribe, Caribe
,, ,
e, e
das, de o
refinarias, refinaria
de, de
petróleo, petróleo
que, que
ainda, ainda
existem, existir
na, em o
cidade, cidade
., .

, 

Em, em
Curaçao, Curaçao
vale, valer
uma, um
visita, visita
à, a o
primeira, primeiro
sinagoga, sinagoga
do, de o
Ocidente, ocidente
,, ,
construída, construir
no, em o
ano, ano
de, de
1732, 1732
., .

, 

No, em o
local, local
ainda, ainda
há, haver
uma, um
réplica, réplica
do, de o
cemitério, cemitério
Bet, Bet
Chayim, Chayim
,, ,
localizado, localizar
em, em
Israel, Israel
., .

, 

Ainda, ainda
em, em
Punda, punda
é, ser
possível, possível
conhecer, conhecer
o, o
Mercado, Mercado
Flutuante, Flutuante
,, ,
um, um
porto, porto
em, em
que, que
os, o
barcos, barco
ficam, ficar
ancorados, ancorado
e, e
comercializam, comercializar
frutas, fruta
,, ,
legumes, legume
e, e
peixes, peixe
exportados, exportar
principalmente, principalmente
da, de o
Venezuela, Venezuela
., .

, 

A, o
viagem, viagem
de, de
barco, barco
entre, entre
Curaçao, Curaçao
e, e
o, o
continente, continente
dura, durar
cerca, cerca
de, de
seis, seis
horas, hora
., .

, 

O, o
mercado, mercado
está, estar
sendo, ser
reformado, reformar
e, e
funciona, funcionar
diariamente, diariamente
das, de o
6h, 6h
às, a o
19h, 19h
., .
As, o
obras, obra
de, de
restauração, restauração
terminam, terminar
no, em o
próximo, próximo
mês, mês
de, de
dezembro, dezembro
., .

, 

O, o
forte, forte
Amsterdã, Amsterdã
é, ser
atualmente, atualmente
ocupado, ocupar
pelo, por o
palácio, palácio
do, de o
governo, governo
de, de
Curaçao, Curaçao
,, ,
mas, mas
é, ser
permitido, permitir
ao, a o
turista, turista
visitá-lo, visitar ele
., .

, 

Ao, a o
lado, lado
fica, ficar
a, o
praça, praça
`, `
`, `
Os, o
Arcos, Arcos
das, de o
Águas, Águas
'', ''
,, ,
que, que
fazia, fazer
parte, parte
do, de o
forte, forte
e, e
onde, onde
funciona, funcionar
hoje, hoje
um, um
centro, centro
comercial, comercial
., .

, 

(, (
Lélio, Lélio
Pagioro, Pagioro
), )

, 

