Até, ﻿Até
o, o
ano, ano
passado, passado
a, o
corrida, corrida
das, de o
500, 500
Milhas, milha
era, ser
a, o
única, único
competição, competição
anual, anual
no, em o
autódromo, autódromo
Indianapolis, Indianapolis
Motor, Motor
Speedway, Speedway
., .

, 

Mas, mas
em, em
agosto, agosto
de, de
94, 94
foi, ser
introduzida, introduzir
uma, um
nova, novo
corrida, corrida
,, ,
a, o
Brickyard, Brickyard
400, 400
,, ,
de, de
`, `
`, `
stock, stock
cars, cars
'', ''
da, de o
qual, qual
participaram, participar
85, 85
carros, carro
., .

, 

A, o
competição, competição
tornou-se, tornar se
o, o
segundo, segundo
evento, evento
esportivo, esportivo
de, de
um, um
dia, dia
no, em o
mundo, mundo
,, ,
ultrapassando, ultrapassar
a, o
disputa, disputa
pela, por o
primeira, primeiro
posição, posição
nas, em o
500, 500
Milhas, milha
., .

, 

Este, este
ano, ano
a, o
segunda, segundo
edição, edição
da, de o
corrida, corrida
acontece, acontecer
no, em o
dia, dia
5, 5
de, de
agosto, agosto
., .
O, o
autódromo, autódromo
também, também
é, ser
,, ,
desde, desde
1993, 1993
,, ,
palco, palco
de, de
um, um
campeonato, campeonato
de, de
golfe, golfe
., .

, 

