Ao, X
contrário, ADJ
de, ADP
outros, DET
amistosos, NOUN
,, PUNCT
Zagallo, PROPN
sabe, VERB
o, PRON
que, PRON
esperar, VERB
de, ADP
Israel, PROPN
., PUNCT

, SPACE
Ele, PRON
assistiu, VERB
aos, ADP
videoteipes, NOUN
de, ADP
Israel, PROPN
0, PROPN
x, ADP
0, NUM
França, PROPN
e, CCONJ
Polônia, PROPN
4, PROPN
x, ADP
3, NUM
Israel, PROPN
,, PUNCT
pelo, ADP
Campeonato, PROPN
Europeu, PROPN
de, ADP
Seleções, PROPN
., PUNCT

, SPACE
A, DET
seleção, NOUN
de, ADP
Israel, PROPN
está, AUX
em, ADP
terceiro, ADJ
no, ADP
seu, DET
grupo, NOUN
., PUNCT

, SPACE
Zagallo, PROPN
afirmou, VERB
que, SCONJ
a, DET
dupla, NOUN
de, ADP
ataque, NOUN
Túlio, PROPN
e, CCONJ
Ronaldo, PROPN
tem, VERB
`, NOUN
`, NOUN
boas, ADJ
chances, NOUN
'', NUM
de, SCONJ
ser, AUX
a, DET
titular, NOUN
da, ADP
Copa, PROPN
América, PROPN
., PUNCT

, SPACE
Se, SCONJ
Bebeto, PROPN
e, CCONJ
Romário, PROPN
confirmarem, VERB
a, DET
intenção, NOUN
de, SCONJ
não, ADV
disputar, VERB
a, DET
competição, NOUN
,, PUNCT
as, DET
duas, NUM
vagas, NOUN
do, ADP
ataque, NOUN
serão, AUX
disputadas, VERB
pelos, ADP
dois, NUM
mais, ADV
o, DET
flamenguista, NOUN
Sávio, PROPN
,, PUNCT
que, PRON
não, ADV
foi, AUX
convocado, VERB
., PUNCT

, SPACE
No, ADP
treino, NOUN
de, ADP
marcação, NOUN
,, PUNCT
Zagallo, PROPN
deixou, VERB
que, SCONJ
Rivaldo, PROPN
ficasse, VERB
mais, ADV
adiantado, ADJ
do, ADP
que, PRON
os, DET
meias, NOUN
Dunga, PROPN
e, CCONJ
Doriva, PROPN
,, PUNCT
o, PRON
que, PRON
não, ADV
aconteceu, VERB
quando, ADV
Souza, PROPN
estava, AUX
no, ADP
time, NOUN
., PUNCT

, SPACE
", NUM
Depende, VERB
um, DET
pouco, ADV
do, ADP
estilo, NOUN
de, ADP
cada, DET
um, NUM
'', NUM
,, PUNCT
afirmou, VERB
., PUNCT

, SPACE
Contra, ADP
um, DET
adversário, NOUN
que, PRON
considera, VERB
inferior, ADJ
ao, ADP
Brasil, PROPN
,, PUNCT
Zagallo, PROPN
quer, VERB
que, SCONJ
o, DET
time, NOUN
ataque, NOUN
desde, ADP
o, DET
primeiro, ADJ
minuto, NOUN
., PUNCT

, SPACE
", NUM
O, DET
Brasil, PROPN
sempre, ADV
ataca, VERB
,, PUNCT
quando, ADV
tem, VERB
a, DET
bola, NOUN
., PUNCT
Não, ADV
tem, VERB
fase, NOUN
de, ADP
estudos, NOUN
,, PUNCT
não, ADV
., PUNCT
'', NUM

, SPACE
No, ADP
coletivo, NOUN
de, ADP
ontem, ADV
,, PUNCT
o, DET
técnico, NOUN
interrompeu, VERB
várias, DET
vezes, NOUN
o, DET
jogo, NOUN
para, SCONJ
treinar, VERB
jogadas, NOUN
de, ADP
bola, NOUN
parada, VERB
., PUNCT

, SPACE
Viu, PROPN
que, SCONJ
Rivaldo, PROPN
,, PUNCT
Juninho, PROPN
e, CCONJ
Dunga, PROPN
são, AUX
opções, NOUN
para, SCONJ
cobrar, VERB
faltas, NOUN
perto, ADV
da, ADP
área, NOUN
., PUNCT
Juninho, PROPN
também, ADV
cobra, VERB
os, DET
escanteios, NOUN
pela, ADP
esquerda, NOUN
., PUNCT

, SPACE
(, PUNCT
MD, PROPN
), PUNCT

, SPACE
