À, ADV
primeira, ADJ
vista, NOUN
é, AUX
possível, ADJ
notar, VERB
que, SCONJ
Curaçao, PROPN
não, ADV
tem, VERB
só, ADV
belas, ADJ
praias, NOUN
em, ADP
sua, DET
costa, NOUN
,, PUNCT
mar, NOUN
e, CCONJ
Sol, NOUN
., PUNCT
Há, VERB
também, ADV
prédios, NOUN
típicos, ADJ
da, ADP
arquitetura, NOUN
caribenha, NOUN
., PUNCT
Cada, DET
um, NUM
deles, PRON
conta, VERB
um, DET
pouco, ADV
da, ADP
história, NOUN
da, ADP
colonização, NOUN
da, ADP
ilha, NOUN
., PUNCT

, SPACE
As, DET
construções, NOUN
antigas, ADJ
_, PUNCT
a, DET
maioria, NOUN
recentemente, ADV
restauradas, VERB
pelo, ADP
governo, NOUN
de, ADP
Curaçao, PROPN
_, PUNCT
são, AUX
de, ADP
típica, ADJ
arquitetura, NOUN
do, ADP
período, NOUN
da, ADP
colonização, NOUN
holandesa, ADJ
., PUNCT

, SPACE
A, DET
ponte, NOUN
Queen, PROPN
Emma, PROPN
é, AUX
uma, NUM
das, ADP
principais, ADJ
atrações, NOUN
., PUNCT
Trata-se, VERB
de, ADP
uma, DET
`, NOUN
`, NOUN
ponte, NOUN
flutuante, ADV
'', NUM
,, PUNCT
que, PRON
abre, VERB
e, CCONJ
fecha, NOUN
(, PUNCT
em, ADP
determinado, VERB
tempo, NOUN
fica, VERB
encostada, VERB
a, ADP
uma, NUM
das, ADP
margens, NOUN
do, ADP
canal, NOUN
), PUNCT
para, ADP
a, DET
passagem, NOUN
de, ADP
barcos, NOUN
e, CCONJ
navios, NOUN
., PUNCT
A, DET
ponte, NOUN
abre, VERB
e, CCONJ
fecha, VERB
cerca, ADV
de, ADP
40, NUM
vezes, NOUN
por, ADP
dia, NOUN
., PUNCT

, SPACE
Construída, VERB
em, ADP
1888, NUM
,, PUNCT
a, DET
ponte, NOUN
fica, VERB
na, ADP
entrada, NOUN
do, ADP
porto, NOUN
da, ADP
baía, NOUN
de, ADP
Saint, PROPN
Anna, PROPN
e, CCONJ
separa, VERB
as, DET
duas, NUM
principais, ADJ
áreas, NOUN
de, ADP
Willemstad, PROPN
(, PUNCT
a, DET
maior, ADJ
cidade, NOUN
da, ADP
