A, ADP
pesquisa, NOUN
Datafolha, PROPN
mostra, VERB
que, SCONJ
a, DET
imagem, NOUN
que, PRON
os, DET
turistas, NOUN
fazem, VERB
do, ADP
Brasil, PROPN
é, AUX
multifacetada, VERB
., PUNCT

, SPACE
Segundo, ADP
os, DET
dados, NOUN
,, PUNCT
o, DET
país, NOUN
abriga, VERB
gente, NOUN
cordial, ADJ
e, CCONJ
é, AUX
dono, NOUN
de, ADP
uma, DET
miséria, NOUN
que, PRON
incomoda, VERB
tanto, ADV
os, DET
olhos, NOUN
locais, ADJ
quanto, ADV
os, DET
vindos, NOUN
de, ADP
fora, ADV
., PUNCT

, SPACE
Para, ADP
os, DET
estrangeiros, NOUN
,, PUNCT
a, DET
beleza, NOUN
natural, ADJ
e, CCONJ
a, DET
imagem, NOUN
de, ADP
um, DET
país, NOUN
exuberante, ADV
e, CCONJ
exótico, ADJ
continuam, VERB
sendo, AUX
o, DET
principal, ADJ
chamariz, NOUN
., PUNCT

, SPACE
As, DET
respostas, NOUN
à, ADP
pergunta, NOUN
sobre, ADP
a, DET
primeira, ADJ
imagem, NOUN
que, PRON
vinha, VERB
à, ADP
cabeça, NOUN
desses, ADP
turistas, NOUN
quando, ADV
pensavam, VERB
no, ADP
Brasil, PROPN
antes, ADV
de, ADP
viajar, VERB
são, AUX
prova, NOUN
disso, PRON
(, PUNCT
veja, VERB
quadro, NOUN
ao, ADP
lado, NOUN
), PUNCT
., PUNCT

, SPACE
Terminada, VERB
a, DET
viagem, NOUN
,, PUNCT
28, NUM
%, SYM
dos, ADP
estrangeiros, NOUN
saem, VERB
daqui, ADV
tendo, VERB
como, ADP
primeira, ADJ
idéia, NOUN
os, DET
aspectos, NOUN
sociais, ADJ
negativos, ADJ
., PUNCT

, SPACE
E, CCONJ
esse, DET
tipo, NOUN
de, ADP
impressão, NOUN
se, PRON
impregna, VERB
de, ADP
maneira, NOUN
tão, ADV
forte, ADJ
nos, ADP
estrangeiros, NOUN
que, PRON
32, NUM
%, SYM
deles, PRON
apontaram, VERB
a, DET
miséria, NOUN
e, CCONJ
pobreza, NOUN
brasileiros, NOUN
como, ADP
aquilo, PRON
que, PRON
mais, ADV
detestaram, VERB
em, ADP
suas, DET
visitas, NOUN
ao, ADP
país, NOUN
., PUNCT

, SPACE
Brasileiros, NOUN
e, CCONJ
estrangeiros, NOUN
concordam, VERB
quanto, ADV
ao, ADP
melhor, NOUN
do, ADP
país, NOUN
:, PUNCT
as, DET
praias, NOUN
e, CCONJ
a, DET
hospitalidade, NOUN
., PUNCT
O, DET
próprio, ADJ
brasileiro, NOUN
se, PRON
espantou, VERB
com, ADP
a, DET
recepção, NOUN
encontrada, VERB
., PUNCT
Em, ADP
pergunta, NOUN
sobre, ADP
o, PRON
que, PRON
mais, ADV
surpreendeu, VERB
na, ADP
viagem, NOUN
,, PUNCT
13, NUM
%, SYM
de, ADP
estrangeiros, NOUN
e, CCONJ
brasileiros, NOUN
escolheram-na, VERB
., PUNCT

, SPACE
As, DET
respostas, NOUN
dos, ADP
turistas, NOUN
estrangeiros, ADJ
mostram, VERB
que, SCONJ
não, ADV
é, AUX
mero, ADJ
folclore, ADJ
a, DET
idéia, NOUN
de, SCONJ
que, SCONJ
o, DET
Rio, PROPN
de, ADP
Janeiro, PROPN
e, CCONJ
a, DET
beleza, NOUN
das, ADP
mulheres, NOUN
são, AUX
símbolos, ADJ
nacionais, ADJ
reconhecidos, VERB
no, ADP
mundo, NOUN
todo, DET
., PUNCT

, SPACE
Também, ADV
são, AUX
os, DET
estrangeiros, NOUN
os, DET
mais, ADV
otimistas, NOUN
quanto, ADV
ao, DET
futuro, NOUN
do, ADP
Brasil, PROPN
., PUNCT
Entre, ADP
os, DET
brasileiros, NOUN
,, PUNCT
31, NUM
%, SYM
não, ADV
acreditam, VERB
que, SCONJ
o, DET
país, NOUN
passe, VERB
para, ADP
o, DET
Primeiro, PROPN
Mundo, PROPN
contra, ADP
24, NUM
%, SYM
dos, ADP
estrangeiros, NOUN
., PUNCT

, SPACE
Para, SCONJ
melhorar, VERB
o, DET
país, NOUN
,, PUNCT
32, NUM
%, SYM
dos, ADP
estrangeiros, NOUN
e, CCONJ
48, NUM
%, SYM
dos, ADP
brasileiros, NOUN
acreditam, VERB
que, SCONJ
é, AUX
preciso, ADJ
investir, VERB
na, ADP
educação, NOUN
., PUNCT

, SPACE
