Toninho, ﻿toninho
Cerezo, cerezo
não, não
defende, defend
mais, mai
o, o
São, são
Paulo, paulo
., .
Resignado, resignado
,, ,
o, o
jogador, jogador
comunicou, comunic
ontem, ontem
que, que
não, não
conseguiu, conseguiu
um, um
acerto, acerto
com, com
a, a
diretoria, diretoria
., .
Cerezo, cerezo
,, ,
que, que
tem, tem
propostas, proposta
do, do
Flamengo, flamengo
e, e
do, do
Atlético-MG, atlético-mg
,, ,
admitiu, admitiu
que, que
ficou, ficou
chateado, chateado
., .
", "
Não, não
guardo, guardo
rancor, rancor
dos, do
dirigentes, dirigent
,, ,
isso, isso
faz, faz
parte, part
do, do
futebol, futebol
", "
,, ,
afirmou, afirm
., .

, 

Cerezo, cerezo
,, ,
que, que
é, é
dono, dono
do, do
próprio, próprio
passe, pass
,, ,
havia, havia
proposto, proposto
contrato, contrato
de, de
um, um
ano, ano
como, como
jogador, jogador
e, e
mais, mai
dois, doi
como, como
auxiliar-técnico, auxiliar-técnico
de, de
Telê, telê
Santana, santana
., .
A, a
contra-proposta, contra-proposta
do, do
clube, clube
ficou, ficou
bem, bem
aquém, aquém
:, :
oito, oito
meses, mese
,, ,
como, como
jogador, jogador
., .
Financeiramente, financeirament
,, ,
também, também
,, ,
", "
não, não
valia, valia
a, a
pena, pena
", "
,, ,
avaliou, avali
Cerezo, cerezo
., .

, 

Com, com
vários, vário
títulos, título
conquistados, conquistado
pelo, pelo
São, são
Paulo, paulo
,, ,
inclusive, inclus
o, o
bicampeonato, bicampeonato
mundial, mundial
,, ,
Cerezo, cerezo
espera, espera
que, que
o, o
clube, clube
permita, permita
a, a
ele, ele
,, ,
pelo, pelo
menos, meno
,, ,
treinar, treinar
no, no
CT, ct
nos, no
próximos, próximo
seis, sei
meses, mese
., .
", "
Seria, seria
complicado, complicado
me, me
transferir, transferir
agora, agora
para, para
Belo, belo
Horizonte, horizont
., .
Meus, meu
filhos, filho
estão, estão
estudando, estudando
aqui, aqui
", "
,, ,
afirmou, afirm
., .
Quanto, quanto
a, a
outras, outra
propostas, proposta
,, ,
Cerezo, cerezo
espera, espera
novos, novo
contatos, contato
,, ,
mas, ma
reconhece, reconhec
:, :
", "
Queria, queria
ficar, ficar
no, no
São, são
Paulo, paulo
", "
., .

, 

Cafu, cafu
se, se
reapresentou, reapresent
ontem, ontem
e, e
,, ,
nas, na
primeiras, primeira
avaliações, avaliaçõ
físicas, física
,, ,
já, já
superou, super
os, os
índices, índice
do, do
grupo, grupo
., .
Ele, ele
espera, espera
acertar, acertar
ainda, ainda
esta, esta
semana, semana
sua, sua
renovação, renovação
., .

, 

