José, ﻿josé
René, rené
Higuita, higuita
não, não
tem, tem
o, o
talhe, talh
e, e
o, o
porte, port
de, de
goleiro, goleiro
., .
Com, com
1,74, 1,74
m, m
e, e
70, 70
kg, kg
,, ,
também, também
não, não
ostenta, ostenta
o, o
talhe, talh
e, e
o, o
porte, port
de, de
um, um
zagueiro, zagueiro
., .
Talvez, talvez
por, por
isso, isso
ele, ele
seja, seja
um, um
e, e
outro, outro
ao, ao
mesmo, mesmo
tempo, tempo
., .
Nascido, nascido
na, na
periferia, periferia
de, de
Medellín, medellín
,, ,
em, em
18, 18
de, de
agosto, agosto
de, de
1966, 1966
,, ,
era, era
na, na
infância, infância
um, um
atacante, atacant
de, de
várzea, várzea
que, que
ocupava, ocupava
a, a
meta, meta
de, de
seu, seu
time, time
quando, quando
o, o
arqueiro, arqueiro
faltava, faltava
., .
Nos, no
juvenis, juveni
do, do
Nacional, nacion
de, de
Medellín, medellín
,, ,
jogou, jogou
de, de
zagueiro, zagueiro
a, a
ponteiro, ponteiro
., .
Luís, luí
Cubilla, cubilla
decidiu, decidiu
fixá-lo, fixá-lo
no, no
arco, arco
por, por
causa, causa
da, da
sua, sua
elasticidade, elasticidad
., .

, 

Foi, foi
Francisco, francisco
Maturana, maturana
,, ,
porém, porém
,, ,
quem, quem
transformou, transform
Higuita, higuita
no, no
goleiro-líbero, goleiro-líbero
do, do
time, time
e, e
da, da
seleção, seleção
,, ,
com, com
autorização, autorização
para, para
avançar, avançar
., .
Frase, frase
de, de
Maturana, maturana
:, :
", "
No, no
futebol, futebol
de, de
hoje, hoje
,, ,
quase, quas
ninguém, ninguém
chuta, chuta
de, de
longe, long
., .
Por, por
que, que
vou, vou
desperdiçar, desperdiçar
uma, uma
posição, posição
?, ?
", "
., .

, 

Mas, ma
,, ,
um, um
ano, ano
atrás, atrá
,, ,
ele, ele
se, se
envolveu, envolveu
num, num
caso, caso
de, de
sequestro, sequestro
., .
Acusado, acusado
de, de
cumplicidade, cumplicidad
,, ,
Higuita, higuita
ficou, ficou
preso, preso
quase, quas
oito, oito
meses, mese
e, e
só, só
foi, foi
libertado, libertado
por, por
um, um
indulto, indulto
de, de
Natal, natal
., .
Ao, ao
sair, sair
,, ,
enviou, enviou
um, um
recado, recado
a, a
Maturana, maturana
:, :
", "
Quero, quero
o, o
meu, meu
lugar, lugar
na, na
seleção, seleção
", "
., .
O, o
mister, mister
gostou, gostou
:, :
", "
Em, em
forma, forma
,, ,
Higuita, higuita
é, é
o, o
meu, meu
número, número
um, um
", "
., .
(, (
SL, sl
), )

, 

