Classificados, ﻿classificado
para, para
a, a
segunda, segunda
fase, fase
por, por
antecipação, antecipação
,, ,
Palmeiras, palmeira
e, e
São, são
Paulo, paulo
jogam, jogam
hoje, hoje
para, para
cumprir, cumprir
tabela, tabela
na, na
Copa, copa
São, são
Paulo, paulo
de, de
Juniores, junior
., .
Pela, pela
Série, série
C, c
,, ,
o, o
Pameiras, pameira
enfrenta, enfrenta
o, o
Caxias, caxia
no, no
Parque, parqu
Antarctica, antarctica
,, ,
às, às
17h, 17h
., .
O, o
adversário, adversário
precisa, precisa
do, do
empate, empat
para, para
garantir, garantir
sua, sua
classificação, classificação
., .

, 

Mais, mai
cedo, cedo
,, ,
às, às
13h, 13h
,, ,
no, no
Pacaembu, pacaembu
,, ,
São, são
Paulo, paulo
e, e
Londrina, londrina
,, ,
ambos, ambo
com, com
quatro, quatro
pontos, ponto
,, ,
decidem, decidem
quem, quem
sai, sai
como, como
líder, líder
da, da
Série, série
A, a
para, para
a, a
disputa, disputa
da, da
segunda, segunda
fase, fase
., .
O, o
técnico, técnico
do, do
São, são
Paulo, paulo
,, ,
Murici, murici
,, ,
acredita, acredita
que, que
este, est
será, será
o, o
primeiro, primeiro
grande, grand
teste, test
da, da
equipe, equip
no, no
torneio, torneio
., .

, 

Segundo, segundo
o, o
treinador, treinador
,, ,
o, o
Londrina, londrina
é, é
uma, uma
equipe, equip
perigosa, perigosa
e, e
que, que
vem, vem
jogando, jogando
há, há
muito, muito
tempo, tempo
junto, junto
., .
O, o
treinador, treinador
deve, deve
repetir, repetir
o, o
mesmo, mesmo
time, time
titular, titular
que, que
goleou, goleou
o, o
Volta, volta
Redonda, redonda
por, por
7, 7
a, a
0, 0
,, ,
anteontem, anteontem
., .

, 

No, no
Palmeiras, palmeira
,, ,
o, o
técnico, técnico
Niltinho, niltinho
espera, espera
um, um
melhor, melhor
rendimento, rendimento
de, de
seus, seu
jogadores, jogador
na, na
partida, partida
contra, contra
o, o
Caxias, caxia
., .
Mesmo, mesmo
usando, usando
três, trê
atletas, atleta
da, da
equipe, equip
principal, princip
(, (
Flávio, flávio
Conceição, conceição
,, ,
Amaral, amar
e, e
Magrão, magrão
), )
,, ,
o, o
time, time
não, não
conseguiu, conseguiu
convencer, convenc
., .
Venceu, venceu
seus, seu
dois, doi
jogos, jogo
por, por
1, 1
a, a
0, 0
., .
Reflexo, reflexo
,, ,
também, também
,, ,
da, da
troca, troca
de, de
técnicos, técnico
que, que
aconteceu, aconteceu
na, na
véspera, véspera
da, da
estréia, estréia
no, no
torneio, torneio
., .

, 

Pela, pela
Série, série
H, h
,, ,
a, a
Portuguesa, portuguesa
enfrenta, enfrenta
o, o
Grêmio, grêmio
de, de
Porto, porto
Alegre, alegr
,, ,
às, às
17h, 17h
,, ,
no, no
Canindé, canindé
., .
Já, já
classificado, classificado
,, ,
o, o
time, time
paulista, paulista
deve, deve
no, no
mínimo, mínimo
empatar, empatar
para, para
garantir, garantir
a, a
liderança, liderança
do, do
grupo, grupo
., .
Grêmio, grêmio
e, e
Mirassol, mirassol
,, ,
que, que
joga, joga
com, com
o, o
Matsubara, matsubara
,, ,
têm, têm
dois, doi
pontos, ponto
cada, cada
e, e
lutam, lutam
pela, pela
outra, outra
vaga, vaga
da, da
chave, chave
., .

, 

NA, na
TV, tv

, 

Gazeta, gazeta
/, /
CNT, cnt
,, ,
videoteipe, videoteip
de, de
São, são
Paulo, paulo
x, x
Londrina, londrina
,, ,
às, às
15h, 15h
., .
Gols, gol
nos, no
telejornais, telejornai
noturnos, noturno
., .

, 

