Representantes, ﻿representant
de, de
clubes, clube
de, de
sete, sete
Estados, estado
decidiram, decidiram
legalizar, legalizar
a, a
criação, criação
da, da
Liga, liga
Nacional, nacion
masculina, masculina
de, de
basquete, basquet
., .
A, a
decisão, decisão
foi, foi
tomada, tomada
em, em
reunião, reunião
na, na
Federação, federação
Paulista, paulista
de, de
Basquete, basquet
,, ,
equipes, equip
de, de
Minas, mina
Gerais, gerai
,, ,
Rio, rio
Grande, grand
do, do
Sul, sul
,, ,
Santa, santa
Catarina, catarina
,, ,
Brasília, brasília
,, ,
Rio, rio
,, ,
Paraná, paraná
e, e
São, são
Paulo, paulo
., .
Dos, do
principais, principai
times, time
paulistas, paulista
,, ,
apenas, apena
Blue, blue
Life, life
e, e
Guaru, guaru
não, não
compareceram, compareceram
., .

, 

Está, está
elaborado, elaborado
um, um
projeto, projeto
do, do
estatuto, estatuto
da, da
liga, liga
,, ,
que, que
os, os
clubes, clube
devem, devem
analisar, analisar
para, para
que, que
o, o
mesmo, mesmo
possa, possa
ser, ser
colocado, colocado
novamente, novament
em, em
discussão, discussão
na, na
próxima, próxima
reunião, reunião
,, ,
marcada, marcada
para, para
o, o
dia, dia
5, 5
., .
(, (
EA, ea
), )

, 

