Flores, ﻿flore
,, ,
bolo, bolo
e, e
uma, uma
toalha, toalha
., .
Com, com
estes, est
presentes, present
,, ,
a, a
atacante, atacant
Hilma, hilma
festejou, festej
anteontem, anteontem
em, em
Bremen, bremen
seu, seu
22.º, 22.º
aniversário, aniversário
., .
A, a
festa, festa
começou, começ
na, na
quadra, quadra
,, ,
com, com
a, a
vitória, vitória
sobre, sobr
a, a
Ucrânia, ucrânia
., .
", "
Foi, foi
demais, demai
., .
O, o
público, público
aplaudiu, aplaudiu
e, e
cantou, cantou
parabéns, parabén
naquela, naquela
língua, língua
danada, danada
", "
,, ,
disse, diss
a, a
jogadora, jogadora
., .
Na, na
véspera, véspera
,, ,
o, o
namorado, namorado
Jurandir, jurandir
já, já
havia, havia
lhe, lhe
telefonado, telefonado
., .
Depois, depoi
,, ,
foi, foi
a, a
vez, vez
dos, do
familiares, familiar
., .

, 

Eleita, eleita
a, a
melhor, melhor
jogadora, jogadora
da, da
partida, partida
contra, contra
as, as
ucranianas, ucraniana
,, ,
Hilma, hilma
voltou, voltou
para, para
o, o
hotel, hotel
e, e
,, ,
depois, depoi
de, de
jantar, jantar
,, ,
foi, foi
direto, direto
para, para
o, o
quarto, quarto
,, ,
onde, ond
assistiu, assistiu
a, a
programação, programação
da, da
MTV, mtv
alemã, alemã
., .
Mas, ma
,, ,
antes, ant
de, de
dormir, dormir
,, ,
ligou, ligou
o, o
walkman, walkman
para, para
ouvir, ouvir
Jorge, jorg
Ben, ben
Jor, jor
., .
(, (
Sérgio, sérgio
Kraselis, krase
), )

, 

